"","species","lon","lat"
"12214","Pentas_lanceolata",37.971944,-4.254444
"12215","Pentas_lanceolata",29.630833,-4.667499
"12233","Pentas_lanceolata",38.55,-6.166667
"12304","Pentas_lanceolata",38.633333,-5.05
"12305","Pentas_lanceolata",36.537222,-3.282499
"12306","Pentas_lanceolata",37.974999,-4.258333
"14128","Pentas_lanceolata",-3.722004,5.226186
"19618","Pentas_lanceolata",37.912778,-4.355556
"19733","Pentas_lanceolata",37.495278,-6.098611
"34564","Pentas_lanceolata",38.25,5.5
"34675","Pentas_lanceolata",36.666389,-3.265833
"35178","Pentas_lanceolata",35.85,-8.583333
"36937","Pentas_lanceolata",-76.586389,3.570278
"37421","Pentas_lanceolata",36.447222,-3.265
"39439","Pentas_lanceolata",37.72341,-5.99679
"39597","Pentas_lanceolata",39.195833,-10.103889
"49906","Pentas_lanceolata",37.72341,-5.99679
"50081","Pentas_lanceolata",36.08694,-3.40138
"50131","Pentas_lanceolata",37.495278,-6.098611
"50144","Pentas_lanceolata",36.21194,-2.87583
"50176","Pentas_lanceolata",37.95,-4.2
"50188","Pentas_lanceolata",49.541667,-13.229167
"56761","Pentas_lanceolata",-3.7081,40.3766
"57228","Pentas_lanceolata",37.95,-4.2167
"57262","Pentas_lanceolata",37.9864,-4.2697
"57568","Pentas_lanceolata",37.9903,-4.2492
"66338","Pentas_lanceolata",38.42,-5.07
"66355","Pentas_lanceolata",38.02,-4.37
"66364","Pentas_lanceolata",36.21,-2.92
"67924","Pentas_lanceolata",38.066667,4.9
"68901","Pentas_lanceolata",36.211944,-2.875833
"70877","Pentas_lanceolata",31.190001,31.190001
"78918","Pentas_lanceolata",37.36667,-3.38333
"84284","Pentas_lanceolata",101.56752,21.475834
"93869","Pentas_lanceolata",38.016667,-4.366667
"93900","Pentas_lanceolata",36.583333,-3.25
"93914","Pentas_lanceolata",36.716667,-1.366667
"93916","Pentas_lanceolata",36.798055,-2.513611
"95026","Pentas_lanceolata",36.25,-2.9
"95045","Pentas_lanceolata",37.93,-4.3
"95056","Pentas_lanceolata",30.5,-0.37
"95057","Pentas_lanceolata",36.09,-3.39
"95079","Pentas_lanceolata",36.8,-2.51
"133993","Pentas_lanceolata",-81.99976,29.72009
"134187","Pentas_lanceolata",-82.41078,29.61382
"136190","Pentas_lanceolata",37.983333,-4.25
"136245","Pentas_lanceolata",37.92861,-4.29583
