"","species","lon","lat"
"1","Perca_fluviatilis",26.243592,61.097736
"2","Perca_fluviatilis",25.872514,61.173664
"3","Perca_fluviatilis",30.950596,62.839271
"4","Perca_fluviatilis",28.574619,61.321796
"5","Perca_fluviatilis",25.229892,66.609347
"6","Perca_fluviatilis",28.57462,61.321796
"7","Perca_fluviatilis",26.246074,61.095488
"8","Perca_fluviatilis",25.620324,62.282925
"9","Perca_fluviatilis",12.396,50.106
"10","Perca_fluviatilis",23.05,41.11
"11","Perca_fluviatilis",15.806,48.369
"12","Perca_fluviatilis",17.003,48.749
"13","Perca_fluviatilis",8.42109,49.5424
"14","Perca_fluviatilis",146.75,-42.53
"15","Perca_fluviatilis",11.914,50.324
"16","Perca_fluviatilis",22.754,41.195
"17","Perca_fluviatilis",11.097,48.03
"18","Perca_fluviatilis",14.716,48.189
"19","Perca_fluviatilis",151.016667,-29.916667
"20","Perca_fluviatilis",144.99499,-35.58449
"21","Perca_fluviatilis",142.72009,-36.91826
"22","Perca_fluviatilis",147.02255,-36.0994
"23","Perca_fluviatilis",18.9411,54.2673
"24","Perca_fluviatilis",145.99971,-36.016
"25","Perca_fluviatilis",147.733,-35.283
"26","Perca_fluviatilis",18.36,49.86
"27","Perca_fluviatilis",38.8,56.79
"28","Perca_fluviatilis",14.72,48.19
"29","Perca_fluviatilis",144.4403,-37.2415
"30","Perca_fluviatilis",144.9521,-35.9561
"31","Perca_fluviatilis",142.178,-36.728
"32","Perca_fluviatilis",146.741,-36.1444
"33","Perca_fluviatilis",143.4675,-36.9117
"34","Perca_fluviatilis",145.2293,-37.7317
"35","Perca_fluviatilis",143.4997,-36.8289
"36","Perca_fluviatilis",142.0475,-36.7794
"37","Perca_fluviatilis",144.739,-37.546
"38","Perca_fluviatilis",147.2464,-36.3996
"39","Perca_fluviatilis",144.7134,-37.2565
"40","Perca_fluviatilis",143.6125,-35.4098
"41","Perca_fluviatilis",146.6317,-35.9992
"42","Perca_fluviatilis",145.3528,-37.6799
"43","Perca_fluviatilis",143.0557,-37.1043
"44","Perca_fluviatilis",147.1982,-36.7459
"45","Perca_fluviatilis",145.0998,-36.0314
