"","species","lon","lat"
"45182","Piaractus_brachypomus",-64.9136,6.9942
"45270","Piaractus_brachypomus",-64.7983,6.8922
"47889","Piaractus_brachypomus",-105.668243,35.548315
"59143","Piaractus_brachypomus",-77.065498,35.1427
"59267","Piaractus_brachypomus",-77.896599,34.363602
"59315","Piaractus_brachypomus",-78.575798,35.9398
"70800","Piaractus_brachypomus",90.419998,23.709999
"73905","Piaractus_brachypomus",-71.040886,42.45212
"84474","Piaractus_brachypomus",-79.92905,44.80572
"84823","Piaractus_brachypomus",-78.31528,44.11767
"85039","Piaractus_brachypomus",-78.95156,44.57539
"94299","Piaractus_brachypomus",-72.9294,4.1364
"96195","Piaractus_brachypomus",-67.9295,3.94888
"103938","Piaractus_brachypomus",-87.19292,43.37041
"108068","Piaractus_brachypomus",-97.66129,30.1688
"110691","Piaractus_brachypomus",-97.32479,30.11156
"117648","Piaractus_brachypomus",-94.82777,29.74498
"117658","Piaractus_brachypomus",-82.804642,34.496937
"117813","Piaractus_brachypomus",-80.31252,25.77072
"119493","Piaractus_brachypomus",-80.16841,25.95067
"120865","Piaractus_brachypomus",-111.03398,32.28619
"137548","Piaractus_brachypomus",-73.110001,-3.38
"153516","Piaractus_brachypomus",-67.93,3.95
"158195","Piaractus_brachypomus",-60.02,-3.1
"158818","Piaractus_brachypomus",-48.29,-6.121667
"164896","Piaractus_brachypomus",-70.425278,-3.800556
"164897","Piaractus_brachypomus",-70.457333,-3.799667
"164898","Piaractus_brachypomus",-70.407,-3.782333
"175848","Piaractus_brachypomus",-106.642444,35.196977
"195911","Piaractus_brachypomus",-106.642444,35.196977
"302566","Piaractus_brachypomus",-49.931944,-5.2775
"302567","Piaractus_brachypomus",-50.704444,-4.087222
"302568","Piaractus_brachypomus",-53.299167,-0.929167
"308158","Piaractus_brachypomus",-88.6591,30.7534
"308371","Piaractus_brachypomus",-89.6963,33.2999
"308959","Piaractus_brachypomus",-90.02294,32.4183
"308978","Piaractus_brachypomus",-88.914759,32.339882
"309047","Piaractus_brachypomus",-90.004058,32.470452
"320252","Piaractus_brachypomus",-77.64453,43.64223
"320254","Piaractus_brachypomus",-98.17427,29.11051
"324182","Piaractus_brachypomus",-113.51368,37.13712
"324195","Piaractus_brachypomus",-82.7737,27.8822
"361324","Piaractus_brachypomus",-69.961054,-4.188077
"361326","Piaractus_brachypomus",-69.946982,-4.224876
"361327","Piaractus_brachypomus",-67.488968,6.217891
"361330","Piaractus_brachypomus",-67.898651,3.895338
"361332","Piaractus_brachypomus",-69.953497,-4.193323
"361333","Piaractus_brachypomus",-69.957947,-4.192516
"361336","Piaractus_brachypomus",-67.488986,6.217901
"361822","Piaractus_brachypomus",-87.09799,31.0681
"365343","Piaractus_brachypomus",-50.003056,-9.246944
"365344","Piaractus_brachypomus",-58.962222,-3.481111
"365347","Piaractus_brachypomus",-60.692778,2.740556
"365352","Piaractus_brachypomus",-63.623889,-8.541944
"365353","Piaractus_brachypomus",-65.371667,-10.429444
"365354","Piaractus_brachypomus",-56.778056,-9.321667
"365356","Piaractus_brachypomus",-65.377222,-10.425556
"365357","Piaractus_brachypomus",-60.209444,-3.3475
"365359","Piaractus_brachypomus",-65.445,-9.693889
"365361","Piaractus_brachypomus",-62.333611,-6.710556
"365363","Piaractus_brachypomus",-65.441944,-9.678056
"365364","Piaractus_brachypomus",-61.111944,0.977222
"380968","Piaractus_brachypomus",-75.8676,6.83507
"380969","Piaractus_brachypomus",-75.829,6.97041
"380970","Piaractus_brachypomus",-75.7964,7.02624
"380971","Piaractus_brachypomus",-75.6913,7.0871
"380975","Piaractus_brachypomus",-75.84543,6.8673
"380978","Piaractus_brachypomus",-74.5377,8.47376
"380979","Piaractus_brachypomus",-75.8444,5.97001
"380980","Piaractus_brachypomus",-75.7591,7.04735
"395332","Piaractus_brachypomus",-105.668243,35.548315
"396210","Piaractus_brachypomus",-75.811944,-5.4175
"396798","Piaractus_brachypomus",99.528869,14.02326
"397072","Piaractus_brachypomus",-84.356375,33.542627
"397280","Piaractus_brachypomus",98.633267,14.746751
"397482","Piaractus_brachypomus",-87.782167,30.39645
"397654","Piaractus_brachypomus",-80.883222,28.492194
"397689","Piaractus_brachypomus",105.122443,10.70956
"397894","Piaractus_brachypomus",98.44989,15.14139
"397903","Piaractus_brachypomus",-80.403585,27.31186
"398566","Piaractus_brachypomus",-122.642913,38.114346
"398573","Piaractus_brachypomus",-121.862614,37.455132
"399821","Piaractus_brachypomus",-53.99515,-2.12897
"402677","Piaractus_brachypomus",-69.34583,8.82793
"403057","Piaractus_brachypomus",-86.773151,33.85443
"403122","Piaractus_brachypomus",-85.854074,32.719787
"423301","Piaractus_brachypomus",104.681944,12.154444
"445321","Piaractus_brachypomus",-54.858333,-2.188889
"463111","Piaractus_brachypomus",-70.010002,-4.15
"463347","Piaractus_brachypomus",-70.29,5.56
