"","species","lon","lat"
"21435","Picris_pauciflora",21.34083,40.10361
"21437","Picris_pauciflora",21.48833,40.13583
"21438","Picris_pauciflora",21.46083,40.11417
"21439","Picris_pauciflora",21.25917,40.15861
"21440","Picris_pauciflora",21.39222,40.13583
"21441","Picris_pauciflora",21.53833,40.06111
"21442","Picris_pauciflora",21.56167,40.24083
"21443","Picris_pauciflora",21.54,40.22389
"21444","Picris_pauciflora",21.51556,40.20056
"21445","Picris_pauciflora",21.575,40.06806
"21446","Picris_pauciflora",21.62417,40.15944
"21447","Picris_pauciflora",21.59611,40.18056
"21448","Picris_pauciflora",21.59361,40.22972
"21449","Picris_pauciflora",21.60972,40.2525
"21450","Picris_pauciflora",21.54833,40.29361
"21451","Picris_pauciflora",21.70806,40.31917
"21452","Picris_pauciflora",21.64083,40.31694
"21453","Picris_pauciflora",21.50194,40.29194
"21454","Picris_pauciflora",21.5225,40.27194
"21455","Picris_pauciflora",21.54111,40.27139
"21461","Picris_pauciflora",21.37722,40.07917
"21462","Picris_pauciflora",21.22917,39.95861
"21463","Picris_pauciflora",21.61528,40.17028
"21464","Picris_pauciflora",21.74917,40.65278
"21465","Picris_pauciflora",21.53722,40.65472
"21466","Picris_pauciflora",21.83389,40.49389
"21467","Picris_pauciflora",21.625,40.15111
"21468","Picris_pauciflora",21.52222,39.79583
"21469","Picris_pauciflora",21.64639,39.71889
"21470","Picris_pauciflora",21.49889,40.59361
"21471","Picris_pauciflora",21.80833,40.69917
"21472","Picris_pauciflora",21.60111,39.88667
"21473","Picris_pauciflora",21.56889,39.885
"21474","Picris_pauciflora",21.50806,39.65194
"21475","Picris_pauciflora",21.63167,39.72
"21476","Picris_pauciflora",21.78083,39.66639
"21477","Picris_pauciflora",21.04278,39.72583
"21478","Picris_pauciflora",21.50528,39.81611
"21479","Picris_pauciflora",21.76722,39.75417
"21480","Picris_pauciflora",21.72,39.75611
"21481","Picris_pauciflora",21.75806,40.74389
"21482","Picris_pauciflora",21.57639,39.93056
"21500","Picris_pauciflora",21.50028,40.18417
"21501","Picris_pauciflora",21.46194,40.18944
"22505","Picris_pauciflora",22.19139,37.68167
"22506","Picris_pauciflora",22.21944,37.73056
"22508","Picris_pauciflora",22.245,37.85556
"22510","Picris_pauciflora",22.22972,37.86167
"22620","Picris_pauciflora",22.17806,38.11194
"22621","Picris_pauciflora",22.17528,38.12028
"22622","Picris_pauciflora",22.38556,38.06722
"22623","Picris_pauciflora",22.3975,38.1
"22624","Picris_pauciflora",22.06667,38.14194
"22625","Picris_pauciflora",22.07861,38.15833
"22628","Picris_pauciflora",22.05222,38.12083
"22629","Picris_pauciflora",22.02639,38.05139
"22630","Picris_pauciflora",21.93694,38.00333
"22631","Picris_pauciflora",21.88389,38.03806
"22637","Picris_pauciflora",22.18167,37.83667
"22638","Picris_pauciflora",22.15861,37.83333
"22639","Picris_pauciflora",21.93472,38.07361
"22640","Picris_pauciflora",21.83944,38.09278
"22643","Picris_pauciflora",22.10167,37.895
"22644","Picris_pauciflora",22.06806,37.90417
"22645","Picris_pauciflora",22.14306,37.91972
"22646","Picris_pauciflora",22.15306,37.80389
"22647","Picris_pauciflora",22.13583,37.99556
"22648","Picris_pauciflora",22.02111,37.90444
"22651","Picris_pauciflora",22.13806,37.94333
"22656","Picris_pauciflora",22.72056,38.46417
"22663","Picris_pauciflora",22.71139,38.45611
"22664","Picris_pauciflora",22.8375,38.40333
"22666","Picris_pauciflora",23.14278,38.50333
"22667","Picris_pauciflora",23.17889,38.48056
"22668","Picris_pauciflora",23.0425,38.56667
"22669","Picris_pauciflora",22.68972,38.48639
"22672","Picris_pauciflora",22.64556,38.47528
"22673","Picris_pauciflora",23.265,38.14222
"22674","Picris_pauciflora",22.76778,38.37361
"22675","Picris_pauciflora",22.09278,38.18861
"22676","Picris_pauciflora",22.03611,38.27639
