"","species","lon","lat"
"1","Poecilia_reticulata",-66.987,18.111
"2","Poecilia_reticulata",106.638,10.768
"3","Poecilia_reticulata",36.9839,-1.44187
"4","Poecilia_reticulata",98.0904,2.87178
"5","Poecilia_reticulata",30.101,-0.326
"6","Poecilia_reticulata",-43.506,-17.472
"7","Poecilia_reticulata",30.234,-0.116
"8","Poecilia_reticulata",99.0352,2.5914
"9","Poecilia_reticulata",-61.352167,10.786167
"10","Poecilia_reticulata",-61.233,10.68555
"11","Poecilia_reticulata",-61.232883,10.68555
"12","Poecilia_reticulata",-61.3521,10.786167
"13","Poecilia_reticulata",-61.22365,10.650717
"14","Poecilia_reticulata",-61.352483,10.786167
"15","Poecilia_reticulata",-61.223583,10.650717
"16","Poecilia_reticulata",-61.223383,10.650717
"17","Poecilia_reticulata",-61.321783,10.740083
"18","Poecilia_reticulata",-71.6,4.7
"19","Poecilia_reticulata",-73.2125,7.253833
"20","Poecilia_reticulata",-73.214222,7.252972
"21","Poecilia_reticulata",-76.692944,3.649083
"22","Poecilia_reticulata",-76.683917,3.69025
"23","Poecilia_reticulata",-70.898944,6.820222
"24","Poecilia_reticulata",-76.966667,2.1
"25","Poecilia_reticulata",-73.15,7.166667
"26","Poecilia_reticulata",-72.095583,5.724
"27","Poecilia_reticulata",-71.856778,5.530528
"28","Poecilia_reticulata",-73.740194,3.466833
"29","Poecilia_reticulata",-73.670222,3.418167
"30","Poecilia_reticulata",-73.72,3.475222
"31","Poecilia_reticulata",-75.928694,5.043556
"32","Poecilia_reticulata",-76.616667,1.15
"33","Poecilia_reticulata",-71.913472,5.552194
"34","Poecilia_reticulata",-73.5166,5.6666
"35","Poecilia_reticulata",-73.568109,5.700702
"36","Poecilia_reticulata",-76.042833,1.856944
"37","Poecilia_reticulata",-73.1497,7.2644
"38","Poecilia_reticulata",-74.85025,5.887144
"39","Poecilia_reticulata",-75.0666,6.3
"40","Poecilia_reticulata",-75.169556,6.050056
"41","Poecilia_reticulata",-74.998892,6.043667
"42","Poecilia_reticulata",-72.594722,7.948056
"43","Poecilia_reticulata",-75.037167,6.296
"44","Poecilia_reticulata",-73.112833,5.200861
"45","Poecilia_reticulata",-72.271472,5.369306
"46","Poecilia_reticulata",-70.708056,7.055833
"47","Poecilia_reticulata",-73.212583,4.906917
"48","Poecilia_reticulata",-73.281683,7.10675
"49","Poecilia_reticulata",145.9,-17.683333
"50","Poecilia_reticulata",145.816667,-17.15
"51","Poecilia_reticulata",148.7335,-21.031667
"52","Poecilia_reticulata",-74.78793,5.6207
"53","Poecilia_reticulata",-75.151722,6.612333
"54","Poecilia_reticulata",-75.228667,6.085222
"55","Poecilia_reticulata",-75.06968,5.99613
"56","Poecilia_reticulata",-75.337147,6.436736
"57","Poecilia_reticulata",-74.928861,5.390528
"58","Poecilia_reticulata",-75.127672,5.88759
"59","Poecilia_reticulata",-75.11605,5.918107
"60","Poecilia_reticulata",-76.173673,3.141082
"61","Poecilia_reticulata",-75.070306,6.300694
"62","Poecilia_reticulata",-75.03081,6.27236
"63","Poecilia_reticulata",-75.068583,5.999278
"64","Poecilia_reticulata",-75.169556,6.050056
"65","Poecilia_reticulata",-75.037167,6.296
"66","Poecilia_reticulata",-74.998917,6.043667
"67","Poecilia_reticulata",-47.87,-15.72
"68","Poecilia_reticulata",37.03187,-0.94545
"69","Poecilia_reticulata",37.65,-0.616667
"70","Poecilia_reticulata",38.843044,-3.853691
"71","Poecilia_reticulata",36.55321,-0.34938
"72","Poecilia_reticulata",36.90608,-0.58404
"73","Poecilia_reticulata",37.01552,-0.26634
"74","Poecilia_reticulata",37.34888,-0.52417
"75","Poecilia_reticulata",37.47952,-0.3103
"76","Poecilia_reticulata",-71.681717,18.941717
"77","Poecilia_reticulata",-71.687867,19.503183
"78","Poecilia_reticulata",-70.44946,19.63052
"79","Poecilia_reticulata",-71.365283,19.505054
"80","Poecilia_reticulata",106.773,-6.773
"81","Poecilia_reticulata",29.658,-0.618556
"82","Poecilia_reticulata",30.1273,-0.1725
"83","Poecilia_reticulata",30.18,0.29
"84","Poecilia_reticulata",30.1,-0.33
"85","Poecilia_reticulata",106.81,-6.74
"86","Poecilia_reticulata",105.78,10.04
"87","Poecilia_reticulata",106.82,10.91
"88","Poecilia_reticulata",145.848943,-18.062383
"89","Poecilia_reticulata",145.612565,-17.271937
"90","Poecilia_reticulata",149.14055,-21.117323
"91","Poecilia_reticulata",146.949465,-19.397963
"92","Poecilia_reticulata",145.939506,-17.639074
"93","Poecilia_reticulata",153.0388,-27.51293
"94","Poecilia_reticulata",145.45151,-17.16583
"95","Poecilia_reticulata",145.62605,-16.83597
"96","Poecilia_reticulata",-74.333056,5.430833
"97","Poecilia_reticulata",-73.568109,5.700702
"98","Poecilia_reticulata",-73.212583,4.906917
"99","Poecilia_reticulata",121.61,25.08
"100","Poecilia_reticulata",-96.372498,16.858334
"101","Poecilia_reticulata",-104.683334,21.766666
"102","Poecilia_reticulata",-98.018267,19.842267
"103","Poecilia_reticulata",-104.80384,21.52464
"104","Poecilia_reticulata",-44.62,-22.64
"105","Poecilia_reticulata",30.23,-0.12
"106","Poecilia_reticulata",-41.015556,-20.745
"107","Poecilia_reticulata",-41.014167,-20.766389
"108","Poecilia_reticulata",-41.109167,-20.765556
"109","Poecilia_reticulata",-41.118333,-20.786944
"110","Poecilia_reticulata",-41.093889,-20.754722
"111","Poecilia_reticulata",-40.767778,-19.699167
"112","Poecilia_reticulata",-40.897222,-18.329722
"113","Poecilia_reticulata",-40.489444,-19.936944
"114","Poecilia_reticulata",-40.659167,-20.363333
"115","Poecilia_reticulata",-40.924722,-20.855
"116","Poecilia_reticulata",-40.611944,-19.47
"117","Poecilia_reticulata",-40.561667,-20.383889
"118","Poecilia_reticulata",-40.071111,-19.849833
"119","Poecilia_reticulata",-40.029167,-19.71525
"120","Poecilia_reticulata",-40.556111,-19.950278
"121","Poecilia_reticulata",-40.165528,-19.780167
"122","Poecilia_reticulata",-40.724444,-20.380278
"123","Poecilia_reticulata",-41.840972,-20.561556
"124","Poecilia_reticulata",-40.742778,-19.4825
"125","Poecilia_reticulata",-40.525,-18.871944
"126","Poecilia_reticulata",-40.534444,-18.858889
"127","Poecilia_reticulata",-41.073889,-20.694167
"128","Poecilia_reticulata",-41.574806,-20.767278
"129","Poecilia_reticulata",-41.091667,-20.737778
"130","Poecilia_reticulata",-40.895833,-18.822222
"131","Poecilia_reticulata",-40.735556,-19.477778
"132","Poecilia_reticulata",-40.628333,-20.357222
"133","Poecilia_reticulata",-41.126944,-20.215
"134","Poecilia_reticulata",-41.353333,-21.038333
"135","Poecilia_reticulata",-41.309722,-20.922222
"136","Poecilia_reticulata",-40.899722,-18.753611
"137","Poecilia_reticulata",-41.365278,-20.714167
"138","Poecilia_reticulata",-41.34,-20.688889
"139","Poecilia_reticulata",-41.338333,-21.089167
"140","Poecilia_reticulata",-41.6075,-20.363056
"141","Poecilia_reticulata",-41.514167,-20.404444
"142","Poecilia_reticulata",-41.445278,-20.454167
"143","Poecilia_reticulata",-41.421944,-20.504722
"144","Poecilia_reticulata",-41.465,-20.626944
"145","Poecilia_reticulata",-40.905278,-19.295833
"146","Poecilia_reticulata",-40.898611,-19.459444
"147","Poecilia_reticulata",-40.937222,-18.846944
"148","Poecilia_reticulata",-40.957222,-18.564444
"149","Poecilia_reticulata",-40.998889,-18.516667
"150","Poecilia_reticulata",-41.026944,-18.374167
"151","Poecilia_reticulata",-41.061667,-20.195
"152","Poecilia_reticulata",-41.099722,-20.154444
"153","Poecilia_reticulata",-40.755278,-18.954722
"154","Poecilia_reticulata",-41.088333,-19.915278
"155","Poecilia_reticulata",-40.703611,-18.812222
"156","Poecilia_reticulata",-40.6625,-19.294167
"157","Poecilia_reticulata",-40.999722,-20.667222
"158","Poecilia_reticulata",-40.613472,-19.878222
"159","Poecilia_reticulata",-40.603028,-19.897
"160","Poecilia_reticulata",-41.228889,-20.07
"161","Poecilia_reticulata",-41.260278,-20.101944
"162","Poecilia_reticulata",-41.279722,-20.125833
"163","Poecilia_reticulata",-41.077778,-19.848333
"164","Poecilia_reticulata",-40.897778,-19.385278
"165","Poecilia_reticulata",-40.814444,-19.229444
"166","Poecilia_reticulata",-39.990278,-14.049444
"167","Poecilia_reticulata",-40.815278,-19.231667
"168","Poecilia_reticulata",-41.422222,-20.613333
"169","Poecilia_reticulata",-40.677222,-19.45
"170","Poecilia_reticulata",-41.623417,-20.892
"171","Poecilia_reticulata",-41.134444,-20.1275
"172","Poecilia_reticulata",-41.061944,-20.195
"173","Poecilia_reticulata",-41.5325,-14.093056
"174","Poecilia_reticulata",-41.088611,-19.915556
"175","Poecilia_reticulata",-40.866944,-19.216667
"176","Poecilia_reticulata",-41.664722,-14.147222
"177","Poecilia_reticulata",-40.208611,-18.451111
"178","Poecilia_reticulata",-40.69,-19.8825
"179","Poecilia_reticulata",-40.808611,-20.605
"180","Poecilia_reticulata",-40.6375,-20.424444
"181","Poecilia_reticulata",-41.266111,-20.396667
"182","Poecilia_reticulata",-40.5725,-20.393333
"183","Poecilia_reticulata",-40.686667,-19.835
"184","Poecilia_reticulata",-41.275556,-21.073
"185","Poecilia_reticulata",-41.511111,-20.710833
"186","Poecilia_reticulata",-40.189611,-18.378306
"187","Poecilia_reticulata",-41.561667,-20.408611
"188","Poecilia_reticulata",-39.501389,-15.362222
"189","Poecilia_reticulata",-39.941111,-14.076889
"190","Poecilia_reticulata",-39.219028,-14.140722
"191","Poecilia_reticulata",-41.015583,-14.181833
"192","Poecilia_reticulata",-40.478,-20.272528
"193","Poecilia_reticulata",-40.473389,-20.267778
"194","Poecilia_reticulata",-40.492417,-19.927556
"195","Poecilia_reticulata",-40.363667,-20.280556
"196","Poecilia_reticulata",-39.654167,-13.985833
"197","Poecilia_reticulata",-40.433056,-19.910556
"198","Poecilia_reticulata",-40.773889,-19.472222
"199","Poecilia_reticulata",-40.573139,-19.867389
