"","species","lon","lat"
"54817","Polygonum_bistorta",115.879605,31.67832
"61987","Polygonum_bistorta",12.916667,50.366667
"74653","Polygonum_bistorta",111.27,30.7
"74718","Polygonum_bistorta",112.25,36.15
"74723","Polygonum_bistorta",114.18,38.85
"74762","Polygonum_bistorta",112.15,37.55
"74781","Polygonum_bistorta",109.12,22.32
"152429","Polygonum_bistorta",114.38,37.67
"152618","Polygonum_bistorta",111.85,38.9
"172611","Polygonum_bistorta",112.55,37.42
"214214","Polygonum_bistorta",-140.945,68.3832
"303572","Polygonum_bistorta",87.006,43.1121
"444894","Polygonum_bistorta",41.69257,43.44762
