"","species","lon","lat"
"6","Pomoxis_nigromaculatus",-91.156735,14.735007
"7","Pomoxis_nigromaculatus",-91.182487,14.700237
"27335","Pomoxis_nigromaculatus",-116.859762,32.678687
"35050","Pomoxis_nigromaculatus",-92.0688,46.743
"35781","Pomoxis_nigromaculatus",-76.82,38.922
"35791","Pomoxis_nigromaculatus",-76.5408,41.9672
"35803","Pomoxis_nigromaculatus",-75.2083,40.2903
"42132","Pomoxis_nigromaculatus",-105.097076,40.168679
"42176","Pomoxis_nigromaculatus",-71.206389,41.951667
"45002","Pomoxis_nigromaculatus",-88.2575,41.39
"45006","Pomoxis_nigromaculatus",-87.594749,41.159702
"45011","Pomoxis_nigromaculatus",-87.751079,41.119239
"45016","Pomoxis_nigromaculatus",-87.486506,44.689086
"45062","Pomoxis_nigromaculatus",-87.6164,41.1589
"45066","Pomoxis_nigromaculatus",-88.0546,41.5411
"45086","Pomoxis_nigromaculatus",-88.647165,42.813801
"45097","Pomoxis_nigromaculatus",-87.527499,41.165763
"45116","Pomoxis_nigromaculatus",-87.617921,41.16564
"45119","Pomoxis_nigromaculatus",-88.137792,41.31118
"45130","Pomoxis_nigromaculatus",-88.200826,41.845767
"45143","Pomoxis_nigromaculatus",-87.914281,42.175252
"45181","Pomoxis_nigromaculatus",-88.524,41.66644
"45183","Pomoxis_nigromaculatus",-87.631331,41.168096
"45186","Pomoxis_nigromaculatus",-88.261673,41.385648
"45195","Pomoxis_nigromaculatus",-93.9369,29.7603
"45198","Pomoxis_nigromaculatus",-87.967684,41.189193
"45219","Pomoxis_nigromaculatus",-88.445422,42.153768
"45239","Pomoxis_nigromaculatus",-87.909575,41.718748
"45267","Pomoxis_nigromaculatus",-88.316014,43.215656
"45281","Pomoxis_nigromaculatus",-88.69847,42.773369
"45307","Pomoxis_nigromaculatus",-87.9298,41.5407
"45320","Pomoxis_nigromaculatus",-87.954249,42.542328
"45344","Pomoxis_nigromaculatus",-88.036408,43.79869
"45387","Pomoxis_nigromaculatus",-92.6747,29.7072
"45404","Pomoxis_nigromaculatus",-88.310838,41.5121
"45414","Pomoxis_nigromaculatus",-88.306262,42.434294
"45798","Pomoxis_nigromaculatus",-104.86037,42.32309
"45907","Pomoxis_nigromaculatus",-106.8359704,45.0067538
"46051","Pomoxis_nigromaculatus",-106.598139,35.283028
"46507","Pomoxis_nigromaculatus",-106.720348,34.871274
"46987","Pomoxis_nigromaculatus",-104.7394595,42.1347014
"47008","Pomoxis_nigromaculatus",-104.6818594,42.1901581
"47534","Pomoxis_nigromaculatus",-108.2246,43.1289
"48107","Pomoxis_nigromaculatus",-106.478361,35.392167
"48292","Pomoxis_nigromaculatus",-106.407278,35.471722
"48366","Pomoxis_nigromaculatus",-104.9789214,44.2682528
"48462","Pomoxis_nigromaculatus",-106.371917,35.528722
"48488","Pomoxis_nigromaculatus",-106.682417,34.964861
"48627","Pomoxis_nigromaculatus",-106.38475,35.514972
"49137","Pomoxis_nigromaculatus",-106.597587,35.280904
"49279","Pomoxis_nigromaculatus",-104.46846,42.16902
"49389","Pomoxis_nigromaculatus",-106.681431,34.929964
"58920","Pomoxis_nigromaculatus",-79.458504,35.765598
"58921","Pomoxis_nigromaculatus",-77.2206875,35.6244729
"58923","Pomoxis_nigromaculatus",-79.365601,36.019402
"58931","Pomoxis_nigromaculatus",-77.193497,38.561401
"58941","Pomoxis_nigromaculatus",-79.853897,35.904499
"59021","Pomoxis_nigromaculatus",-75.203102,39.3358
"59035","Pomoxis_nigromaculatus",-75.291801,39.631901
"59036","Pomoxis_nigromaculatus",-73.999496,40.802399
"59039","Pomoxis_nigromaculatus",-79.4404509,35.9953635
"59042","Pomoxis_nigromaculatus",-78.549103,34.0467
"59046","Pomoxis_nigromaculatus",-80.054604,35.065701
"59067","Pomoxis_nigromaculatus",-79.299301,36.4034
"59080","Pomoxis_nigromaculatus",-78.293297,34.4049
"59082","Pomoxis_nigromaculatus",-75.314301,39.6436
"59088","Pomoxis_nigromaculatus",-77.039902,35.859901
"59120","Pomoxis_nigromaculatus",-81.459702,26.7542
"59145","Pomoxis_nigromaculatus",-79.6437,35.998501
"59169","Pomoxis_nigromaculatus",-78.6410284,35.756768
"59201","Pomoxis_nigromaculatus",-83.564003,35.414299
"59218","Pomoxis_nigromaculatus",-80.498497,32.879398
"59223","Pomoxis_nigromaculatus",-79.840599,35.901199
"59224","Pomoxis_nigromaculatus",-80.4254,33.532001
"59325","Pomoxis_nigromaculatus",-78.6971289,35.7656668
"59328","Pomoxis_nigromaculatus",-80.424896,33.532501
"59331","Pomoxis_nigromaculatus",-75.209702,39.322601
"59334","Pomoxis_nigromaculatus",-82.123802,34.442902
"59351","Pomoxis_nigromaculatus",-79.729202,34.534401
"59353","Pomoxis_nigromaculatus",-74.595596,39.616402
"59368","Pomoxis_nigromaculatus",-76.847702,37.870399
"59410","Pomoxis_nigromaculatus",-78.757202,35.844398
"59423","Pomoxis_nigromaculatus",-82.992798,35.6651
"59441","Pomoxis_nigromaculatus",-74.585098,39.618
"59443","Pomoxis_nigromaculatus",-81.158302,27.575001
"59456","Pomoxis_nigromaculatus",-73.310204,42.3358
"59464","Pomoxis_nigromaculatus",-78.4668218,35.5222766
"59543","Pomoxis_nigromaculatus",-78.5392,35.799801
"59584","Pomoxis_nigromaculatus",-77.450104,36.970501
"59586","Pomoxis_nigromaculatus",-79.004799,35.186401
"59600","Pomoxis_nigromaculatus",-78.9104,35.472
"59614","Pomoxis_nigromaculatus",-78.711998,35.844799
"59644","Pomoxis_nigromaculatus",-77.377701,37.291199
"59664","Pomoxis_nigromaculatus",-75.254097,39.6124
"59674","Pomoxis_nigromaculatus",-80.765099,35.424301
"59699","Pomoxis_nigromaculatus",-77.426598,35.329899
"59700","Pomoxis_nigromaculatus",-79.091904,35.896999
"59716","Pomoxis_nigromaculatus",-75.2668,39.682201
"59718","Pomoxis_nigromaculatus",-82.002502,33.889198
"59719","Pomoxis_nigromaculatus",-81.872498,40.286201
"59728","Pomoxis_nigromaculatus",-74.520599,39.429901
"59732","Pomoxis_nigromaculatus",-79.4318447,36.0139641
"59765","Pomoxis_nigromaculatus",-77.385201,37.2383
"59796","Pomoxis_nigromaculatus",-81.0364,36.499699
"59817","Pomoxis_nigromaculatus",-79.829102,35.848
"59830","Pomoxis_nigromaculatus",-78.350899,37.278301
"59837","Pomoxis_nigromaculatus",-74.824997,39.1978
"59877","Pomoxis_nigromaculatus",-83.211197,35.063999
"59879","Pomoxis_nigromaculatus",-80.044899,34.0769
"59891","Pomoxis_nigromaculatus",-79.8679592,35.3869797
"59917","Pomoxis_nigromaculatus",-75.266602,39.682098
"59918","Pomoxis_nigromaculatus",-79.657097,35.984001
"59922","Pomoxis_nigromaculatus",-73.962196,40.9571
"59946","Pomoxis_nigromaculatus",-79.459503,35.770802
"59949","Pomoxis_nigromaculatus",-76.344002,36.424301
"59958","Pomoxis_nigromaculatus",-81.311996,32.573898
"59970","Pomoxis_nigromaculatus",-80.541901,36.0158
"59976","Pomoxis_nigromaculatus",-75.268501,39.681999
"59985","Pomoxis_nigromaculatus",-77.855904,37.355999
"59996","Pomoxis_nigromaculatus",-74.5868,39.608898
"60006","Pomoxis_nigromaculatus",-77.019699,36.554298
"60023","Pomoxis_nigromaculatus",-75.269203,39.6819
"60031","Pomoxis_nigromaculatus",-76.832901,37.5546
"60053","Pomoxis_nigromaculatus",-78.336502,35.224701
"60066","Pomoxis_nigromaculatus",-74.987396,39.413101
"60073","Pomoxis_nigromaculatus",-75.399696,39.486198
"60090","Pomoxis_nigromaculatus",-84.389702,31.703501
"60102","Pomoxis_nigromaculatus",-83.036301,35.681801
"60111","Pomoxis_nigromaculatus",-77.783203,38.3255
"60121","Pomoxis_nigromaculatus",-79.809898,35.826801
"60122","Pomoxis_nigromaculatus",-78.5354196,35.5997737
"60167","Pomoxis_nigromaculatus",-79.835098,35.0886
"60169","Pomoxis_nigromaculatus",-74.5886,39.612598
"60216","Pomoxis_nigromaculatus",-79.660797,35.007801
"60224","Pomoxis_nigromaculatus",-74.120399,40.423698
"60227","Pomoxis_nigromaculatus",-77.194199,38.649899
"60232","Pomoxis_nigromaculatus",-80.602402,35.823898
"60253","Pomoxis_nigromaculatus",-79.955399,34.768101
"60260","Pomoxis_nigromaculatus",-79.670799,34.647499
"60286","Pomoxis_nigromaculatus",-74.593002,39.6138
"60299","Pomoxis_nigromaculatus",-74.592903,39.6138
"60300","Pomoxis_nigromaculatus",-78.356499,36.503799
"60348","Pomoxis_nigromaculatus",-94.014397,33.34
"60352","Pomoxis_nigromaculatus",-77.173103,38.971298
"60362","Pomoxis_nigromaculatus",-75.266602,39.682201
"60363","Pomoxis_nigromaculatus",-78.027496,35.3442
"60366","Pomoxis_nigromaculatus",-78.2071108,35.7289706
"60381","Pomoxis_nigromaculatus",-75.266403,39.682098
"60382","Pomoxis_nigromaculatus",-76.731598,35.849201
"60397","Pomoxis_nigromaculatus",-74.587502,39.6087
"60447","Pomoxis_nigromaculatus",-78.948502,35.609402
"60463","Pomoxis_nigromaculatus",-81.881897,27.2239
"60469","Pomoxis_nigromaculatus",-80.536003,35.946899
"60487","Pomoxis_nigromaculatus",-77.186897,37.344002
"60494","Pomoxis_nigromaculatus",-75.287003,39.680199
"60514","Pomoxis_nigromaculatus",-80.024902,35.064899
"60521","Pomoxis_nigromaculatus",-79.870697,34.9837
"60533","Pomoxis_nigromaculatus",-80.7117,34.879002
"60555","Pomoxis_nigromaculatus",-80.159798,33.393501
"72532","Pomoxis_nigromaculatus",-84.2692,30.2392
"73897","Pomoxis_nigromaculatus",-69.250556,44.918333
"73908","Pomoxis_nigromaculatus",-72.148889,41.463611
"73911","Pomoxis_nigromaculatus",-72.988056,41.647778
"73915","Pomoxis_nigromaculatus",-69.325556,44.649722
"74340","Pomoxis_nigromaculatus",-72.201389,41.488056
"75241","Pomoxis_nigromaculatus",-96.6339,34.6099
"75263","Pomoxis_nigromaculatus",-94.622,36.6271
"75275","Pomoxis_nigromaculatus",-97.4129,35.6102
"75276","Pomoxis_nigromaculatus",-98.0912,34.1328
"75277","Pomoxis_nigromaculatus",-95.5387,34.2577
"75279","Pomoxis_nigromaculatus",-94.797,33.7797
"75288","Pomoxis_nigromaculatus",-95.5989,36.6615
"75304","Pomoxis_nigromaculatus",-96.7245,36.5051
"75325","Pomoxis_nigromaculatus",-95.3024,35.7665
"75331","Pomoxis_nigromaculatus",-95.6398,35.8211
"75340","Pomoxis_nigromaculatus",-94.6942,33.6875
"75371","Pomoxis_nigromaculatus",-95.6184,36.1627
"75393","Pomoxis_nigromaculatus",-97.1597,33.7278
"75395","Pomoxis_nigromaculatus",-96.9261,36.7026
"75498","Pomoxis_nigromaculatus",-97.0494,34.92
"75511","Pomoxis_nigromaculatus",-98.3786,35.5674
"75517","Pomoxis_nigromaculatus",-97.3578,35.6468
"75521","Pomoxis_nigromaculatus",-97.9593,35.5626
"75530","Pomoxis_nigromaculatus",-96.2075,35.2645
"75550","Pomoxis_nigromaculatus",-95.7203,36.2147
"75571","Pomoxis_nigromaculatus",-95.8141,36.2231
"75585","Pomoxis_nigromaculatus",-94.535,35.304
"75611","Pomoxis_nigromaculatus",-95.7868,35.3695
"75616","Pomoxis_nigromaculatus",-95.7822,35.3619
"75625","Pomoxis_nigromaculatus",-94.7654,36.8712
"75662","Pomoxis_nigromaculatus",-95.204,36.8007
"75694","Pomoxis_nigromaculatus",-94.7454,36.8712
"75700","Pomoxis_nigromaculatus",-94.9156,35.8529
"75701","Pomoxis_nigromaculatus",-94.6536,33.9667
"75702","Pomoxis_nigromaculatus",-98.0467,36.7016
"75706","Pomoxis_nigromaculatus",-94.6753,33.9495
"75710","Pomoxis_nigromaculatus",-94.792,33.957
"75712","Pomoxis_nigromaculatus",-94.618,33.939
"75804","Pomoxis_nigromaculatus",-95.8144,34.0681
"75836","Pomoxis_nigromaculatus",-94.8757,36.8589
"75841","Pomoxis_nigromaculatus",-94.6211,34.0417
"75872","Pomoxis_nigromaculatus",-95.1136,34.0925
"75887","Pomoxis_nigromaculatus",-97.9344,33.8791
"75894","Pomoxis_nigromaculatus",-94.8673,36.9119
"75898","Pomoxis_nigromaculatus",-94.6407,34.7872
"75901","Pomoxis_nigromaculatus",-94.9812,36.8931
"75916","Pomoxis_nigromaculatus",-97.7954,35.4999
"75923","Pomoxis_nigromaculatus",-96.641,33.849
"75924","Pomoxis_nigromaculatus",-96.641,33.856
"75925","Pomoxis_nigromaculatus",-97.8026,35.4496
"75928","Pomoxis_nigromaculatus",-96.787,33.741
"75929","Pomoxis_nigromaculatus",-96.704,33.825
"75941","Pomoxis_nigromaculatus",-98.9207,36.1837
"75952","Pomoxis_nigromaculatus",-94.663,33.821
"75960","Pomoxis_nigromaculatus",-97.0319,34.48
"75972","Pomoxis_nigromaculatus",-95.7698,33.8459
"75992","Pomoxis_nigromaculatus",-95.3594,33.8734
"75995","Pomoxis_nigromaculatus",-97.9261,36.7026
"76012","Pomoxis_nigromaculatus",-95.591,36.8401
"76027","Pomoxis_nigromaculatus",-96.2403,34.9759
"76032","Pomoxis_nigromaculatus",-94.7297,33.9491
"76053","Pomoxis_nigromaculatus",-96.578,34.13
"76056","Pomoxis_nigromaculatus",-96.5644,33.967
"76062","Pomoxis_nigromaculatus",-94.7221,33.9198
"76098","Pomoxis_nigromaculatus",-94.4454,33.679
"76109","Pomoxis_nigromaculatus",-93.9636,33.6205
"76112","Pomoxis_nigromaculatus",-94.4109,33.5704
"76115","Pomoxis_nigromaculatus",-93.8233,33.6601
"76121","Pomoxis_nigromaculatus",-94.0414,33.5536
"76150","Pomoxis_nigromaculatus",-96.1145,36.1249
"76153","Pomoxis_nigromaculatus",-96.646,34.189
"76164","Pomoxis_nigromaculatus",-94.753,34.9397
"76167","Pomoxis_nigromaculatus",-95.1266,35.5121
"76171","Pomoxis_nigromaculatus",-97.006,33.9749
"76215","Pomoxis_nigromaculatus",-94.6955,34.3886
"76221","Pomoxis_nigromaculatus",-94.7661,33.9683
"76223","Pomoxis_nigromaculatus",-94.5659,33.9477
"76225","Pomoxis_nigromaculatus",-95.0479,34.0699
"76261","Pomoxis_nigromaculatus",-96.8941,34.0278
"76274","Pomoxis_nigromaculatus",-96.8415,33.9528
"76275","Pomoxis_nigromaculatus",-96.7941,33.9401
"76286","Pomoxis_nigromaculatus",-96.8781,33.955
"76298","Pomoxis_nigromaculatus",-96.629,33.989
"76299","Pomoxis_nigromaculatus",-96.628,33.992
"76349","Pomoxis_nigromaculatus",-97.3489,35.6533
"76376","Pomoxis_nigromaculatus",-94.9417,33.8704
"76379","Pomoxis_nigromaculatus",-94.657,33.8048
"76381","Pomoxis_nigromaculatus",-94.904,34.073
"76402","Pomoxis_nigromaculatus",-95.0789,35.5098
"76449","Pomoxis_nigromaculatus",-97.9146,35.9522
"76450","Pomoxis_nigromaculatus",-96.88,33.94
"76483","Pomoxis_nigromaculatus",-95.0785,34.113
"76517","Pomoxis_nigromaculatus",-94.806,34.6824
"76518","Pomoxis_nigromaculatus",-94.6389,34.9842
"76521","Pomoxis_nigromaculatus",-95.8857,34.0989
"76523","Pomoxis_nigromaculatus",-96.2639,34.7408
"76577","Pomoxis_nigromaculatus",-94.719,34.938
"76694","Pomoxis_nigromaculatus",-95.5497,35.9589
"81541","Pomoxis_nigromaculatus",-73.908,45.411
"84462","Pomoxis_nigromaculatus",-74.366667,45.183333
"84464","Pomoxis_nigromaculatus",-74.382222,45.188889
"84465","Pomoxis_nigromaculatus",-76.313611,44.403889
"84466","Pomoxis_nigromaculatus",-74.390278,45.18
"84476","Pomoxis_nigromaculatus",-75.9075,44.404722
"84477","Pomoxis_nigromaculatus",-82.5352134,42.5191942
"84499","Pomoxis_nigromaculatus",-79.13573,43.806187
"84517","Pomoxis_nigromaculatus",-79.29122,44.39453
"84520","Pomoxis_nigromaculatus",-79.36667,44.41667
"84522","Pomoxis_nigromaculatus",-79.95487,43.15655
"84525","Pomoxis_nigromaculatus",-82.394569,42.33643
"84528","Pomoxis_nigromaculatus",-82.429459,42.32349
"84531","Pomoxis_nigromaculatus",-83.11916,42.10782
"84534","Pomoxis_nigromaculatus",-82.927681,42.345249
"84535","Pomoxis_nigromaculatus",-76.95665,44.17065
"84538","Pomoxis_nigromaculatus",-84.79993,41.74756
"84559","Pomoxis_nigromaculatus",-87.629028,44.236472
"84560","Pomoxis_nigromaculatus",-80.40446,42.58743
"84561","Pomoxis_nigromaculatus",-80.40437,42.58751
"84562","Pomoxis_nigromaculatus",-80.39556,42.59234
"84570","Pomoxis_nigromaculatus",-72.49438,46.29183
"84575","Pomoxis_nigromaculatus",-73.90777,45.4111
"84576","Pomoxis_nigromaculatus",-79.75,45.25
"84577","Pomoxis_nigromaculatus",-80.39499,42.59185
"84594","Pomoxis_nigromaculatus",-83.09617,42.16931
"84602","Pomoxis_nigromaculatus",-79.50971,42.99582
