"","species","lon","lat"
"1","Pontogammarus_robustoides",50.8711,44.056
"2","Pontogammarus_robustoides",20.4709,46.196
"3","Pontogammarus_robustoides",29.655,45.5401
"4","Pontogammarus_robustoides",32.7201,46.6746
"5","Pontogammarus_robustoides",48.7686,38.9473
"6","Pontogammarus_robustoides",27.4,44.07
"7","Pontogammarus_robustoides",32.72,46.67
"8","Pontogammarus_robustoides",20.47,46.2
"9","Pontogammarus_robustoides",28.62,41.32
"10","Pontogammarus_robustoides",50.87,44.06
"11","Pontogammarus_robustoides",29.66,45.54
"12","Pontogammarus_robustoides",47.882,52.065
"13","Pontogammarus_robustoides",23.68,54.3
"14","Pontogammarus_robustoides",28.6206,41.3163
"15","Pontogammarus_robustoides",48.77,38.95
"16","Pontogammarus_robustoides",50.871,44.056
"17","Pontogammarus_robustoides",27.4015,44.073
"18","Pontogammarus_robustoides",31.8655,47.1126
"19","Pontogammarus_robustoides",12.708833,53.317167
"20","Pontogammarus_robustoides",12.8715,53.8715
"21","Pontogammarus_robustoides",14.121167,53.7355
"22","Pontogammarus_robustoides",20.338,46.235
"23","Pontogammarus_robustoides",20.379,46.219
"24","Pontogammarus_robustoides",20.446,46.206
"25","Pontogammarus_robustoides",20.224,46.242
"26","Pontogammarus_robustoides",20.25,46.236
"27","Pontogammarus_robustoides",20.277,46.237
"28","Pontogammarus_robustoides",20.306,46.241
"29","Pontogammarus_robustoides",20.692,46.152
"30","Pontogammarus_robustoides",20.7,46.161
"31","Pontogammarus_robustoides",20.549,46.177
"32","Pontogammarus_robustoides",20.583,46.157
"33","Pontogammarus_robustoides",20.638,46.127
"34","Pontogammarus_robustoides",20.675,46.147
"35","Pontogammarus_robustoides",20.471,46.196
"36","Pontogammarus_robustoides",20.5,46.191
"37","Pontogammarus_robustoides",20.523,46.182
