"","species","lon","lat"
"69035","Prymnesium_parvum",16.73,78.66
"93219","Prymnesium_parvum",151.1984,-33.8472
"101999","Prymnesium_parvum",-100.37404,34.47828
"102002","Prymnesium_parvum",-98.95157,33.80307
"102514","Prymnesium_parvum",-103.71334,30.96619
"106344","Prymnesium_parvum",-101.70933,33.53056
"106751","Prymnesium_parvum",-96.67833,32.29037
"110440","Prymnesium_parvum",-100.25754,31.53013
"110811","Prymnesium_parvum",-100.37949,31.45054
"113897","Prymnesium_parvum",-99.3845,31.13658
"117223","Prymnesium_parvum",-100.92039,32.34143
"117394","Prymnesium_parvum",-100.21819,31.53575
"134632","Prymnesium_parvum",21.38,51.23
"257265","Prymnesium_parvum",22.1527,80.1256
"336257","Prymnesium_parvum",25.3,60.25
"416859","Prymnesium_parvum",127.8189,37.9474
"438258","Prymnesium_parvum",14.25,40.8083
"454651","Prymnesium_parvum",11.702511,58.005253
