"","species","lon","lat"
"13291","Psidium_cattleianum",-48.236389,-25.461944
"13301","Psidium_cattleianum",-53.607222,-25.563889
"13302","Psidium_cattleianum",-53.651111,-25.511944
"19911","Psidium_cattleianum",-159.666667,22.106667
"27642","Psidium_cattleianum",-159.61944,22.15361
"27980","Psidium_cattleianum",-49.0772833,-25.3696824
"37066","Psidium_cattleianum",-75.61,4.762222
"37110","Psidium_cattleianum",-73.433333,6.166667
"37179","Psidium_cattleianum",-41.734722,-20.494167
"37180","Psidium_cattleianum",-39.831944,-18.438056
"37185","Psidium_cattleianum",-41.075,-20.519444
"37195","Psidium_cattleianum",-44.536944,-22.333333
"37210","Psidium_cattleianum",-44.566667,-22.25
"37529","Psidium_cattleianum",11.01,-3.726667
"39007","Psidium_cattleianum",-53.472778,-25.915
"40353","Psidium_cattleianum",-45.02,-23.24
"41407","Psidium_cattleianum",-157.85,21.47
"44756","Psidium_cattleianum",-47.93,-25.08
"50046","Psidium_cattleianum",49.616389,-14.606389
"50072","Psidium_cattleianum",47.03333,-24.95
"50436","Psidium_cattleianum",-40.353056,-19.223889
"50440","Psidium_cattleianum",-39.694444,-18.398056
"50441","Psidium_cattleianum",-39.729167,-19.3475
"50445","Psidium_cattleianum",-39.738333,-18.957222
"50446","Psidium_cattleianum",-39.748333,-18.681944
"50448","Psidium_cattleianum",-40.546944,-19.894444
"50452","Psidium_cattleianum",-39.708611,-19.19
"54517","Psidium_cattleianum",-44.628889,-14.935833
"62519","Psidium_cattleianum",-47.076389,-24.442778
"62525","Psidium_cattleianum",-46.809167,-22.8175
"62526","Psidium_cattleianum",-45.541111,-22.769167
"62531","Psidium_cattleianum",-48.566389,-24.416667
"62538","Psidium_cattleianum",-47.1,-23.966667
"62546","Psidium_cattleianum",-44.366111,-22.806389
"62556","Psidium_cattleianum",-45.058333,-23.541667
"62561","Psidium_cattleianum",-46.501111,-24.004722
"62565","Psidium_cattleianum",-48.064444,-25.0025
"62568","Psidium_cattleianum",-46.655278,-23.476389
"62573","Psidium_cattleianum",-49.068056,-24.080833
"62576","Psidium_cattleianum",-47.076667,-24.442222
"62580","Psidium_cattleianum",-45.041667,-23.255556
"62584","Psidium_cattleianum",-44.839722,-23.340833
"62587","Psidium_cattleianum",-45.013611,-23.297222
"64859","Psidium_cattleianum",-53.727708,-27.661997
"64893","Psidium_cattleianum",-53.7625,-29.725556
"64927","Psidium_cattleianum",-41.3,-12.3
"64934","Psidium_cattleianum",-41.885278,-13.898889
"65048","Psidium_cattleianum",-39.016667,-14.016667
"65049","Psidium_cattleianum",-44.566667,-22.566667
"65091","Psidium_cattleianum",-42.556944,-14.556667
"65131","Psidium_cattleianum",-39.600833,-16.603611
"65156","Psidium_cattleianum",-49.096111,-25.099444
"65171","Psidium_cattleianum",-37.506111,-11.510556
"65192","Psidium_cattleianum",-39.023889,-16.021111
"65234","Psidium_cattleianum",-41.887778,-13.898611
"65299","Psidium_cattleianum",-39.1775,-13.181667
"65401","Psidium_cattleianum",-41.886111,-13.898889
"65485","Psidium_cattleianum",-40.535556,-11.538333
"65497","Psidium_cattleianum",-39.233333,-17.248333
"65560","Psidium_cattleianum",-41.335,-12.336667
"65574","Psidium_cattleianum",-41.917778,-13.930556
"67512","Psidium_cattleianum",-46.565,-23.424444
"69675","Psidium_cattleianum",-49.37,-28.678056
"69676","Psidium_cattleianum",-49.763889,-28.998056
"69677","Psidium_cattleianum",-49.391944,-28.189444
"69678","Psidium_cattleianum",-49.424722,-28.598333
"69679","Psidium_cattleianum",-49.7,-29.133333
"69680","Psidium_cattleianum",-49.291667,-28.359444
"69681","Psidium_cattleianum",-48.616389,-26.1175
"69682","Psidium_cattleianum",-49.298889,-28.285278
"69683","Psidium_cattleianum",-49.950556,-29.197222
"69684","Psidium_cattleianum",-49.300278,-28.713889
"69685","Psidium_cattleianum",-48.96,-27.54
"69686","Psidium_cattleianum",-49.499444,-28.710833
"70330","Psidium_cattleianum",-50.575556,-29.420556
"70350","Psidium_cattleianum",-50.174444,-29.480833
"70370","Psidium_cattleianum",-51.328056,-30.101167
"70372","Psidium_cattleianum",-51.237222,-30.019139
"70421","Psidium_cattleianum",-39.5311,-15.1544
"71160","Psidium_cattleianum",175.067131,-39.927819
"71294","Psidium_cattleianum",173.953408,-39.117598
"71913","Psidium_cattleianum",-57.985,-12.153806
"71964","Psidium_cattleianum",-50.905,-29.578611
"71991","Psidium_cattleianum",-51.279722,-28.821667
"72022","Psidium_cattleianum",-51.386111,-30.180833
"72059","Psidium_cattleianum",-52.742222,-32.138889
"72072","Psidium_cattleianum",-51.3975,-28.859722
"72085","Psidium_cattleianum",-50.898056,-29.864167
"73263","Psidium_cattleianum",-49.499444,-28.710833
"73268","Psidium_cattleianum",-49.006111,-25.454722
"73584","Psidium_cattleianum",152.791111,-27.257222
"76856","Psidium_cattleianum",49.20343,-17.93115
"77041","Psidium_cattleianum",-46.283056,-23.769722
"77146","Psidium_cattleianum",-38.478087,-3.812468
"77147","Psidium_cattleianum",-39.158611,-14.720556
"77323","Psidium_cattleianum",-45.0667,-23.4333
"77426","Psidium_cattleianum",-48.7167,-26.65
"77429","Psidium_cattleianum",-49.0961,-25.0994
"77550","Psidium_cattleianum",-48.65,-26.9
"77551","Psidium_cattleianum",-46.7433,-23.9911
"77668","Psidium_cattleianum",-49.3,-25.1667
"77783","Psidium_cattleianum",-49.2167,-25.5167
"77784","Psidium_cattleianum",-46.74,-23.99
"77836","Psidium_cattleianum",-159.57596,22.22011
"77889","Psidium_cattleianum",-51.6,-28.7833
