"","species","lon","lat"
"1","Pterygoplichthys_pardalis",-69.983667,-4.171
"2","Pterygoplichthys_pardalis",-75.17326,8.006644
"3","Pterygoplichthys_pardalis",-75.204311,7.961298
"4","Pterygoplichthys_pardalis",125.87,8.32
"5","Pterygoplichthys_pardalis",108.7,12.4
"6","Pterygoplichthys_pardalis",121.28,14.48
"7","Pterygoplichthys_pardalis",-71.738301,19.629051
"8","Pterygoplichthys_pardalis",-80.4217,27.4697
"9","Pterygoplichthys_pardalis",-49.948056,-0.228889
"10","Pterygoplichthys_pardalis",-50.035556,-6.398611
"11","Pterygoplichthys_pardalis",108.5,12.8
"12","Pterygoplichthys_pardalis",109.1,12.28
"13","Pterygoplichthys_pardalis",-76.19,-6.55
"14","Pterygoplichthys_pardalis",108.3,12.6
"15","Pterygoplichthys_pardalis",107.92,12.6
"16","Pterygoplichthys_pardalis",121.13,14.73
"17","Pterygoplichthys_pardalis",108.43,12.8
"18","Pterygoplichthys_pardalis",107.43,-6.56
"19","Pterygoplichthys_pardalis",107.42,11.42
"20","Pterygoplichthys_pardalis",121.1,14.66
"21","Pterygoplichthys_pardalis",107.5,11.1
"22","Pterygoplichthys_pardalis",108.32,11.62
"23","Pterygoplichthys_pardalis",113.23,-8.13
"24","Pterygoplichthys_pardalis",107.9,11.33
"25","Pterygoplichthys_pardalis",121.19,14.21
"26","Pterygoplichthys_pardalis",121.11,14.68
"27","Pterygoplichthys_pardalis",109.1,13.87
"28","Pterygoplichthys_pardalis",-76.35,3.88
"29","Pterygoplichthys_pardalis",-92.018305,17.729333
"30","Pterygoplichthys_pardalis",-91.088611,16.120555
"31","Pterygoplichthys_pardalis",-90.948611,16.080278
"32","Pterygoplichthys_pardalis",-90.939722,16.109722
"33","Pterygoplichthys_pardalis",-90.91,16.125833
"34","Pterygoplichthys_pardalis",-91.7175,17.691389
"35","Pterygoplichthys_pardalis",-91.377783,17.748833
"36","Pterygoplichthys_pardalis",-88.261267,41.840667
"37","Pterygoplichthys_pardalis",-87.90458,15.509635
"38","Pterygoplichthys_pardalis",109.18,13
"39","Pterygoplichthys_pardalis",121.09,14.64
"40","Pterygoplichthys_pardalis",74.76,18.3
"41","Pterygoplichthys_pardalis",109.12,12.48
"42","Pterygoplichthys_pardalis",109.1,12.25
"43","Pterygoplichthys_pardalis",-81.494277,35.031063
"44","Pterygoplichthys_pardalis",-80.991667,27.381389
"45","Pterygoplichthys_pardalis",-82.653351,27.738077
"46","Pterygoplichthys_pardalis",99.8065,13.7151
"47","Pterygoplichthys_pardalis",-81.98478,27.419
"48","Pterygoplichthys_pardalis",-80.33993,27.33246
"49","Pterygoplichthys_pardalis",-74.50865,-5.403733
"50","Pterygoplichthys_pardalis",-81.9666,27.26431
"51","Pterygoplichthys_pardalis",99.65862,13.90704
"52","Pterygoplichthys_pardalis",-80.345556,25.644444
"53","Pterygoplichthys_pardalis",-82.347321,28.042001
"54","Pterygoplichthys_pardalis",-80.333758,27.323951
"55","Pterygoplichthys_pardalis",-81.89398,29.36041
"56","Pterygoplichthys_pardalis",99.32418,14.13944
"57","Pterygoplichthys_pardalis",-80.411919,25.462933
"58","Pterygoplichthys_pardalis",-80.413034,25.595922
"59","Pterygoplichthys_pardalis",99.66615,13.90699
"60","Pterygoplichthys_pardalis",-80.244304,27.102535
"61","Pterygoplichthys_pardalis",-81.881767,27.224025
"62","Pterygoplichthys_pardalis",-74.494667,-5.3375
"63","Pterygoplichthys_pardalis",-74.503283,-5.34555
"64","Pterygoplichthys_pardalis",-80.7075,27.82333
"65","Pterygoplichthys_pardalis",-81.98763,27.20004
"66","Pterygoplichthys_pardalis",-80.28936,25.78065
"67","Pterygoplichthys_pardalis",-80.29768,25.79568
"68","Pterygoplichthys_pardalis",-80.22925,25.97328
"69","Pterygoplichthys_pardalis",-81.390101,28.201958
"70","Pterygoplichthys_pardalis",-80.19556,26.45924
"71","Pterygoplichthys_pardalis",-81.96063,26.97708
"72","Pterygoplichthys_pardalis",-74.49435,-5.339767
"73","Pterygoplichthys_pardalis",-81.074229,27.382931
"74","Pterygoplichthys_pardalis",-82.305662,27.243845
"75","Pterygoplichthys_pardalis",-80.495,26.0325
"76","Pterygoplichthys_pardalis",-81.8057,26.3393
"77","Pterygoplichthys_pardalis",-75.811944,-5.4175
"78","Pterygoplichthys_pardalis",-81.66058,28.765509
"79","Pterygoplichthys_pardalis",-74.509467,-5.362333
"80","Pterygoplichthys_pardalis",-74.501617,-5.3363
"81","Pterygoplichthys_pardalis",-82.023461,27.487661
"82","Pterygoplichthys_pardalis",-80.159444,26.985556
"83","Pterygoplichthys_pardalis",-80.358333,26.136111
"84","Pterygoplichthys_pardalis",-82.268611,28.048531
"85","Pterygoplichthys_pardalis",-81.881889,27.223861
"86","Pterygoplichthys_pardalis",105.5961,-4.864783
"87","Pterygoplichthys_pardalis",-55.039806,-2.186083
"88","Pterygoplichthys_pardalis",-81.4925,26.423889
"89","Pterygoplichthys_pardalis",-80.175807,26.46822
"90","Pterygoplichthys_pardalis",-80.3633,26.6846
"91","Pterygoplichthys_pardalis",103.7475,1.386974
"92","Pterygoplichthys_pardalis",-74.501967,-5.307817
"93","Pterygoplichthys_pardalis",-74.3,-5.2
"94","Pterygoplichthys_pardalis",-80.413333,25.593333
"95","Pterygoplichthys_pardalis",-80.22851,25.959
"96","Pterygoplichthys_pardalis",-82.023472,27.487667
"97","Pterygoplichthys_pardalis",-74.511444,-5.364472
"98","Pterygoplichthys_pardalis",-80.6811,25.7624
"99","Pterygoplichthys_pardalis",-82.281667,27.751465
"100","Pterygoplichthys_pardalis",-80.262222,25.961694
"101","Pterygoplichthys_pardalis",-80.66778,26.68417
"102","Pterygoplichthys_pardalis",-81.319722,26.935833
"103","Pterygoplichthys_pardalis",-80.338611,25.643056
"104","Pterygoplichthys_pardalis",103.305,1.845619
"105","Pterygoplichthys_pardalis",-82.02346,27.48766
"106","Pterygoplichthys_pardalis",-80.204376,26.453636
"107","Pterygoplichthys_pardalis",-74.513333,-5.366667
"108","Pterygoplichthys_pardalis",-81.987631,27.20004
"109","Pterygoplichthys_pardalis",-80.33659,25.64183
"110","Pterygoplichthys_pardalis",-80.272222,25.8175
"111","Pterygoplichthys_pardalis",-80.165231,26.052027
"112","Pterygoplichthys_pardalis",99.63201,13.96991
"113","Pterygoplichthys_pardalis",-74.611467,0.0448
"114","Pterygoplichthys_pardalis",-66.048302,18.298599
"115","Pterygoplichthys_pardalis",-66.100899,18.3309
"116","Pterygoplichthys_pardalis",-65.959602,18.187901
"117","Pterygoplichthys_pardalis",-66.8405,17.9869
"118","Pterygoplichthys_pardalis",-82.536697,35.4762
"119","Pterygoplichthys_pardalis",-66.509399,18.0697
"120","Pterygoplichthys_pardalis",-66.858101,18.062599
"121","Pterygoplichthys_pardalis",-67.114197,18.0291
"122","Pterygoplichthys_pardalis",-65.8116,18.1838
"123","Pterygoplichthys_pardalis",-82.528,35.4767
"124","Pterygoplichthys_pardalis",-81.975918,27.375321
"125","Pterygoplichthys_pardalis",120.49618,22.86813
"126","Pterygoplichthys_pardalis",120.29318,23.48183
"127","Pterygoplichthys_pardalis",120.51,23.09
"128","Pterygoplichthys_pardalis",120.47519,23.50907
"129","Pterygoplichthys_pardalis",120.51,23.08
"130","Pterygoplichthys_pardalis",120.48,23.08
