"","species","lon","lat"
"1","Pygocentrus_nattereri",-60.8294,1.43216
"2","Pygocentrus_nattereri",-59.8952,3.63394
"3","Pygocentrus_nattereri",-44.2408,-2.94
"4","Pygocentrus_nattereri",-64.224,-12.45
"5","Pygocentrus_nattereri",-70.425278,-3.800556
"6","Pygocentrus_nattereri",-70.415167,-3.799667
"7","Pygocentrus_nattereri",-70.457333,-3.799667
"8","Pygocentrus_nattereri",-70.21,-4.36
"9","Pygocentrus_nattereri",-70.778181,-3.820961
"10","Pygocentrus_nattereri",-58.567,4.529
"11","Pygocentrus_nattereri",-158.029971,21.499822
"12","Pygocentrus_nattereri",-54.7368,2.39263
"13","Pygocentrus_nattereri",-50.61,-4.625556
"14","Pygocentrus_nattereri",-49.931944,-5.2775
"15","Pygocentrus_nattereri",-50.566111,-4.956389
"16","Pygocentrus_nattereri",-49.584444,-6.138611
"17","Pygocentrus_nattereri",-46.349722,-4.445
"18","Pygocentrus_nattereri",-47.102222,-5.309167
"19","Pygocentrus_nattereri",-45.605,-4.057222
"20","Pygocentrus_nattereri",-54.886111,-3.34
"21","Pygocentrus_nattereri",-46.125556,-4.739167
"22","Pygocentrus_nattereri",-46.246111,-4.039444
"23","Pygocentrus_nattereri",-46.319444,-3.661111
"24","Pygocentrus_nattereri",-45.938889,-3.380556
"25","Pygocentrus_nattereri",-45.898611,-4.426667
"26","Pygocentrus_nattereri",-47.651944,-4.681944
"27","Pygocentrus_nattereri",-49.620278,-5.609167
"28","Pygocentrus_nattereri",-51.033333,-5.508611
"29","Pygocentrus_nattereri",-51.286667,-4.662222
"30","Pygocentrus_nattereri",-50.6625,-5.456389
"31","Pygocentrus_nattereri",-50.796389,-5.480833
"32","Pygocentrus_nattereri",-45.894722,-4.988056
"33","Pygocentrus_nattereri",-50.582778,-6.331944
"34","Pygocentrus_nattereri",-50.9925,-4.45
"35","Pygocentrus_nattereri",-50.434722,-4.836389
"36","Pygocentrus_nattereri",-48.638333,-5.919167
"37","Pygocentrus_nattereri",-47.528889,-5.578889
"38","Pygocentrus_nattereri",-49.588333,-5.273333
"39","Pygocentrus_nattereri",-50.155278,-6.615556
"40","Pygocentrus_nattereri",-50.035556,-6.398611
"41","Pygocentrus_nattereri",-49.201944,-5.484444
