"","species","lon","lat"
"44728","Rhodeus_ocellatus",98.870003,24.969999
"44788","Rhodeus_ocellatus",60.169998,41.540001
"44856","Rhodeus_ocellatus",71.830002,40.919998
"70840","Rhodeus_ocellatus",69.389999,41.27
"70900","Rhodeus_ocellatus",68.07,38.360001
"81611","Rhodeus_ocellatus",69.3892,41.2744
"94524","Rhodeus_ocellatus",67.620003,37.82
"96147","Rhodeus_ocellatus",71.8289,40.9188
"96154","Rhodeus_ocellatus",68.0721,38.3631
"122354","Rhodeus_ocellatus",64.779999,40.07
"153792","Rhodeus_ocellatus",71.849998,40.939999
"158213","Rhodeus_ocellatus",110.059998,23.4
"158243","Rhodeus_ocellatus",67.339996,37.259998
"160611","Rhodeus_ocellatus",104.716667,19.05
"160614","Rhodeus_ocellatus",121.82,24.62
"171122","Rhodeus_ocellatus",136.72394,35.39128
"171123","Rhodeus_ocellatus",136.70607,35.40253
"171125","Rhodeus_ocellatus",136.73048,35.50137
"171126","Rhodeus_ocellatus",137.06163,35.4899
"171127","Rhodeus_ocellatus",136.9429,35.48895
"171132","Rhodeus_ocellatus",136.80542,35.40968
"171134","Rhodeus_ocellatus",136.80128,35.41915
"171135","Rhodeus_ocellatus",136.7205,35.41456
"171136","Rhodeus_ocellatus",136.71103,35.39709
"226527","Rhodeus_ocellatus",136.6643,34.49
"226528","Rhodeus_ocellatus",136.6519,34.4744
"226533","Rhodeus_ocellatus",136.681,34.507
"226537","Rhodeus_ocellatus",136.67,34.498
"246046","Rhodeus_ocellatus",67.6606,37.2356
"251760","Rhodeus_ocellatus",64.7784,40.071
"288776","Rhodeus_ocellatus",120.93,24.52
"362418","Rhodeus_ocellatus",121.71674,24.73675
"362601","Rhodeus_ocellatus",121.007,24.697
"362791","Rhodeus_ocellatus",121.49201,23.72215
"362963","Rhodeus_ocellatus",120.49618,22.86813
"363114","Rhodeus_ocellatus",120.85948,24.55963
"363258","Rhodeus_ocellatus",121.24722,23.18774
"363396","Rhodeus_ocellatus",120.45037,22.77115
"363400","Rhodeus_ocellatus",120.4831,22.84552
"363539","Rhodeus_ocellatus",120.99013,24.66474
"363541","Rhodeus_ocellatus",121.1655,22.97483
"363547","Rhodeus_ocellatus",121.35458,23.43309
"363550","Rhodeus_ocellatus",121.52649,23.84119
"363670","Rhodeus_ocellatus",120.77267,24.34014
"363672","Rhodeus_ocellatus",121.71047,24.74937
"364140","Rhodeus_ocellatus",120.34435,22.80863
