"","species","lon","lat"
"20581","Rosa_micrantha",7.581197,43.900945
"26015","Rosa_micrantha",-2.0912202,42.7288844
"26061","Rosa_micrantha",-1.7612048,42.2788777
"26121","Rosa_micrantha",-3.3512559,43.2488828
"26134","Rosa_micrantha",-1.8012064,42.3188782
"26145","Rosa_micrantha",-1.951218,42.7588866
"26225","Rosa_micrantha",-3.0712398,42.7288739
"26337","Rosa_micrantha",-3.001231,42.3488661
"26363","Rosa_micrantha",-2.991231,42.3588664
"26375","Rosa_micrantha",-3.3712464,42.7588713
"26429","Rosa_micrantha",-1.6011989,42.1388763
"26547","Rosa_micrantha",-3.3612466,42.7788719
"26549","Rosa_micrantha",-1.411201,42.4488853
"26607","Rosa_micrantha",-1.7912045,42.2288763
"26927","Rosa_micrantha",-1.7912062,42.3188783
"26996","Rosa_micrantha",-2.3912344,43.1388906
"26998","Rosa_micrantha",-3.3612464,42.7688716
"36017","Rosa_micrantha",13.95778,45.5225
"36018","Rosa_micrantha",13.91056,45.26139
"36669","Rosa_micrantha",14.55267,45.21401
"38954","Rosa_micrantha",5.99222,48.72194
"39573","Rosa_micrantha",-91.3,37.225
"42784","Rosa_micrantha",-1.44,42.17
"42872","Rosa_micrantha",-4.58,43.240002
"54874","Rosa_micrantha",9.97,50.12
"54948","Rosa_micrantha",12.29,48.92
"55000","Rosa_micrantha",10.2,50.42
"55055","Rosa_micrantha",10.01,50.14
"55095","Rosa_micrantha",10.16,50.34
"55102","Rosa_micrantha",12.96,47.57
"55193","Rosa_micrantha",10.72,48.94
"55382","Rosa_micrantha",10.13,50.23
"56898","Rosa_micrantha",-4.208,41.3183
"56972","Rosa_micrantha",-6.8842,41.7994
"57340","Rosa_micrantha",-3.5967,41.0979
"57497","Rosa_micrantha",-6.2489,40.2829
"57569","Rosa_micrantha",-3.45,40.8904
"57721","Rosa_micrantha",-7.1675,41.756111
"57726","Rosa_micrantha",-4.2722,42.7585
"57894","Rosa_micrantha",1.9,41.43
"58076","Rosa_micrantha",1.77,42.45
"58484","Rosa_micrantha",0.33,40.76
"58490","Rosa_micrantha",-4.01,36.91
"58568","Rosa_micrantha",2.17,42.6
"58815","Rosa_micrantha",1.9,41.44
"60685","Rosa_micrantha",10.63,48.79
"60745","Rosa_micrantha",9.91,50.13
"60942","Rosa_micrantha",10.16,50.11
"61023","Rosa_micrantha",10.96,48.62
"62638","Rosa_micrantha",14.01797,37.98654
"63064","Rosa_micrantha",13.733567,37.944449
"66044","Rosa_micrantha",13.6109,55.40691
"67672","Rosa_micrantha",4.604483,52.504233
"67818","Rosa_micrantha",5.890442,50.76529
"68082","Rosa_micrantha",6.455249,52.514351
"68123","Rosa_micrantha",5.857806,51.745264
"69127","Rosa_micrantha",10.18,50.44
"69146","Rosa_micrantha",10.2,50.43
"69242","Rosa_micrantha",10.51,48.78
"69275","Rosa_micrantha",10.73,48.79
"70655","Rosa_micrantha",-5.05,37.827
"70699","Rosa_micrantha",-6.83,38.022
"70719","Rosa_micrantha",-6.85,38.104
"70751","Rosa_micrantha",7.01824,46.11821
"79377","Rosa_micrantha",14.7625,48.27889
"79379","Rosa_micrantha",14.276667,48.397778
"79380","Rosa_micrantha",14.660277,48.398335
"79381","Rosa_micrantha",14.674167,48.406666
"79704","Rosa_micrantha",12.908611,48.038612
"79891","Rosa_micrantha",14.226389,48.35889
"79892","Rosa_micrantha",14.681945,48.388054
"80093","Rosa_micrantha",14.26,48.372223
