"","species","lon","lat"
"21618","Rumex_bucephalophorus",21.35389,38.68972
"21619","Rumex_bucephalophorus",21.73028,38.58028
"21620","Rumex_bucephalophorus",21.6675,38.59306
"21621","Rumex_bucephalophorus",21.67111,38.46389
"21622","Rumex_bucephalophorus",21.42944,38.74472
"21623","Rumex_bucephalophorus",21.61139,38.90583
"22173","Rumex_bucephalophorus",21.99833,38.50778
"22441","Rumex_bucephalophorus",23.45194,38.30806
"22442","Rumex_bucephalophorus",23.21278,38.39972
"22443","Rumex_bucephalophorus",23.36389,38.18528
"22444","Rumex_bucephalophorus",23.52333,38.31194
"22445","Rumex_bucephalophorus",23.06389,38.50417
"22446","Rumex_bucephalophorus",23.04806,38.5575
"22447","Rumex_bucephalophorus",23.04222,38.61667
"22448","Rumex_bucephalophorus",23.07333,38.51222
"22478","Rumex_bucephalophorus",22.96194,38.89
"23239","Rumex_bucephalophorus",21.06583,39.09722
"23240","Rumex_bucephalophorus",21.09528,39.12333
"23241","Rumex_bucephalophorus",20.76139,38.93722
"23242","Rumex_bucephalophorus",21.15,38.96972
"23395","Rumex_bucephalophorus",25.82833,35.01278
"23412","Rumex_bucephalophorus",25.34222,35.21833
"23882","Rumex_bucephalophorus",24.90694,35.145
"24424","Rumex_bucephalophorus",21.10028,39.10528
"24425","Rumex_bucephalophorus",20.68639,39.06806
"24987","Rumex_bucephalophorus",21.84861,38.42528
"24988","Rumex_bucephalophorus",21.77222,38.36917
"24989","Rumex_bucephalophorus",21.72389,38.34222
"24990","Rumex_bucephalophorus",21.72667,38.35306
"24991","Rumex_bucephalophorus",21.97361,38.45028
"25787","Rumex_bucephalophorus",21.33472,38.71667
"26515","Rumex_bucephalophorus",-7.8213506,43.6588421
"36184","Rumex_bucephalophorus",15.91525,38.05517
"36298","Rumex_bucephalophorus",24.81944,35.36667
"36455","Rumex_bucephalophorus",9.07333,42.695
"42214","Rumex_bucephalophorus",10.319444,36.603889
"51396","Rumex_bucephalophorus",34.94,32.21
"51399","Rumex_bucephalophorus",35.11,33.06
"51404","Rumex_bucephalophorus",34.93,32.45
"51481","Rumex_bucephalophorus",34.87,32.38
"51483","Rumex_bucephalophorus",34.87,32.3
"51487","Rumex_bucephalophorus",34.93,32.4
"51585","Rumex_bucephalophorus",34.78,32.12
"56531","Rumex_bucephalophorus",23.8,35.416
"56892","Rumex_bucephalophorus",-3.8595,38.3482
"56975","Rumex_bucephalophorus",-6.8842,41.7994
"57039","Rumex_bucephalophorus",8.792222,36.287778
"57076","Rumex_bucephalophorus",-8.797778,39.566944
"57118","Rumex_bucephalophorus",-3.7128,40.827
"57138","Rumex_bucephalophorus",-0.2406,38.7243
"57153","Rumex_bucephalophorus",-7.5833,38.55
"57211","Rumex_bucephalophorus",-4.2323,41.336
"57212","Rumex_bucephalophorus",-4.0874,41.2474
"57581","Rumex_bucephalophorus",-4.074,38.1481
"57637","Rumex_bucephalophorus",-4.609,38.6016
"57694","Rumex_bucephalophorus",-0.3662,39.6461
"57815","Rumex_bucephalophorus",2.7,41.69
"58028","Rumex_bucephalophorus",-2.4,34.8
"58334","Rumex_bucephalophorus",2.5,41.63
"58553","Rumex_bucephalophorus",2.61,41.6
"58805","Rumex_bucephalophorus",24.25,35.35
"62632","Rumex_bucephalophorus",14.01797,37.98654
"62681","Rumex_bucephalophorus",12.668953,38.105926
"62705","Rumex_bucephalophorus",13.117054,37.772988
"62963","Rumex_bucephalophorus",14.723063,36.923768
"62991","Rumex_bucephalophorus",15.043777,38.140413
"63095","Rumex_bucephalophorus",12.82522,37.58337
"63102","Rumex_bucephalophorus",15.286961,37.852186
"63200","Rumex_bucephalophorus",15,37.13
"63290","Rumex_bucephalophorus",14.000031,37.933332
"63296","Rumex_bucephalophorus",13.548628,37.979723
"70681","Rumex_bucephalophorus",-5.335,38.19
"79521","Rumex_bucephalophorus",24.47139,35.291668
"80991","Rumex_bucephalophorus",24.3575,35.352222
"85535","Rumex_bucephalophorus",-0.4,39.05
"85546","Rumex_bucephalophorus",-6.02,39.85
"85601","Rumex_bucephalophorus",-8.79,39.56
"85705","Rumex_bucephalophorus",-1.07,39.24
"85747","Rumex_bucephalophorus",-0.61,38.92
"85798","Rumex_bucephalophorus",-4.62,41.59
"85828","Rumex_bucephalophorus",-0.34,39.02
"85884","Rumex_bucephalophorus",-9.34,39.35
"85948","Rumex_bucephalophorus",8.9,37.02
"85952","Rumex_bucephalophorus",10.58,36.77
"86101","Rumex_bucephalophorus",-1.09,39.24
"86156","Rumex_bucephalophorus",-2.59,39.88
"86388","Rumex_bucephalophorus",9.01,36.96
"86490","Rumex_bucephalophorus",-0.37,39.69
"86798","Rumex_bucephalophorus",-7.82,43.66
"86883","Rumex_bucephalophorus",-0.69,39.07
"86984","Rumex_bucephalophorus",-0.62,39.54
"87222","Rumex_bucephalophorus",-7.72,41.84
"87328","Rumex_bucephalophorus",-2.13,40.15
"87348","Rumex_bucephalophorus",-2.13,40.23
"87384","Rumex_bucephalophorus",-0.36,39.65
"87689","Rumex_bucephalophorus",-2.75,37.97
"87741","Rumex_bucephalophorus",-2.12,39.79
"87750","Rumex_bucephalophorus",-0.51,38.98
"87862","Rumex_bucephalophorus",-2.31,39.93
"87919","Rumex_bucephalophorus",-7.77,41.84
"87931","Rumex_bucephalophorus",-2.1,41.68
"87932","Rumex_bucephalophorus",-3.92,37.32
"88038","Rumex_bucephalophorus",-7.16,41.75
"88195","Rumex_bucephalophorus",-1.59,40.85
"88238","Rumex_bucephalophorus",8.79,36.28
"88311","Rumex_bucephalophorus",-2.12,40.09
"88335","Rumex_bucephalophorus",-2.06,40.3
"88357","Rumex_bucephalophorus",-2.01,39.7
"88469","Rumex_bucephalophorus",-5.02,33.65
"88502","Rumex_bucephalophorus",-6.35,41.37
"88514","Rumex_bucephalophorus",-6.93,41.02
"88540","Rumex_bucephalophorus",-1.58,40.8
"88622","Rumex_bucephalophorus",-8.67,41.15
"88976","Rumex_bucephalophorus",-0.37,39
"89044","Rumex_bucephalophorus",-0.37,39.86
"137153","Rumex_bucephalophorus",-8.15906,37.13365
"137167","Rumex_bucephalophorus",-8.99094,39.11134
"137197","Rumex_bucephalophorus",-8.82279,41.64385
"137219","Rumex_bucephalophorus",-8.05209,43.70613
"137254","Rumex_bucephalophorus",-7.54659,37.15748
"141743","Rumex_bucephalophorus",-9.11,39.545556
"143240","Rumex_bucephalophorus",24.401111,35.181111
"149493","Rumex_bucephalophorus",-3.06,36.77
"149504","Rumex_bucephalophorus",-2.41,37.4
"149571","Rumex_bucephalophorus",-2.72,37.97
"149577","Rumex_bucephalophorus",-4.52,36.99
"149586","Rumex_bucephalophorus",-2.71,37.95
"149590","Rumex_bucephalophorus",-2.74,37.9
"155903","Rumex_bucephalophorus",-4.64,39.14
"155930","Rumex_bucephalophorus",-3.87,38.48
"155955","Rumex_bucephalophorus",-3.87,38.47
"155975","Rumex_bucephalophorus",-3.87,38.83
"156011","Rumex_bucephalophorus",-4.5,39.09
"156025","Rumex_bucephalophorus",-4.19,39.05
"156031","Rumex_bucephalophorus",-4.24,39.04
"156040","Rumex_bucephalophorus",-4.11,42.09
"156077","Rumex_bucephalophorus",-3.91,38.73
"156089","Rumex_bucephalophorus",-2.54,38.51
"156145","Rumex_bucephalophorus",-4.25,39.06
"156173","Rumex_bucephalophorus",-4.4,39.07
"156191","Rumex_bucephalophorus",-3.86,38.48
"156211","Rumex_bucephalophorus",-4.41,39.02
"156277","Rumex_bucephalophorus",-3.41,40.28
"156289","Rumex_bucephalophorus",-2.53,38.51
"156351","Rumex_bucephalophorus",-3.92,40.58
"156366","Rumex_bucephalophorus",-3.89,38.83
"156400","Rumex_bucephalophorus",-2.77,38.53
"156420","Rumex_bucephalophorus",-4.31,42.72
"156426","Rumex_bucephalophorus",-4.5,39.1
"156509","Rumex_bucephalophorus",-8.13,39.52
"156512","Rumex_bucephalophorus",-4.12,38.82
"156677","Rumex_bucephalophorus",-3.86,38.74
"157691","Rumex_bucephalophorus",115.14,-33.6864
"163527","Rumex_bucephalophorus",-4.22,34.98
"163603","Rumex_bucephalophorus",-3.7397,34.393
"163604","Rumex_bucephalophorus",-6.084369,34.767212
"163605","Rumex_bucephalophorus",-5.108276,35.474813
"163606","Rumex_bucephalophorus",-6.146693,35.205399
"163607","Rumex_bucephalophorus",-4.205051,34.197274
"163608","Rumex_bucephalophorus",-6.5,33.98
"163659","Rumex_bucephalophorus",-4.182,36.775
"163675","Rumex_bucephalophorus",-5.52,35.55
"163692","Rumex_bucephalophorus",-6.25,39.85
"163753","Rumex_bucephalophorus",-5.02,35.33
"163754","Rumex_bucephalophorus",-5.13,35.1
"163817","Rumex_bucephalophorus",-4.169318,35.02369
"163887","Rumex_bucephalophorus",-5.57,34.02
"164004","Rumex_bucephalophorus",-6.22,37.69
"164091","Rumex_bucephalophorus",-4.62,34.77
"164169","Rumex_bucephalophorus",-4.47,34.56
"164254","Rumex_bucephalophorus",-3.9033,40.369
"164277","Rumex_bucephalophorus",-2.369672,34.869595
"164326","Rumex_bucephalophorus",-3.902,40.355
"164334","Rumex_bucephalophorus",-5.72769,34.7914
"164349","Rumex_bucephalophorus",-6.384889,33.903701
"164350","Rumex_bucephalophorus",-6.63,34.03
"164351","Rumex_bucephalophorus",-6.07,35.05
"164469","Rumex_bucephalophorus",-3.73,34.75
"164494","Rumex_bucephalophorus",-3.5,36.73
"164495","Rumex_bucephalophorus",-4.70502,34.45132
"164540","Rumex_bucephalophorus",-3.0533,34.8415
"164672","Rumex_bucephalophorus",-2.02,34.9
"164747","Rumex_bucephalophorus",-5.0175,34.1092
"164748","Rumex_bucephalophorus",-4.63,34.27
"164749","Rumex_bucephalophorus",-5.03,35.37
"164797","Rumex_bucephalophorus",-3.8858,40.391
"164820","Rumex_bucephalophorus",-4.98,35.25
"171928","Rumex_bucephalophorus",-6.7792,40.24466
"178376","Rumex_bucephalophorus",22.43556,36.97806
"179272","Rumex_bucephalophorus",14,37.93333
"200869","Rumex_bucephalophorus",24.18583,35.25222
"201187","Rumex_bucephalophorus",-5.16722,33.42056
"201188","Rumex_bucephalophorus",23.91778,35.39333
"201367","Rumex_bucephalophorus",23.99056,35.39611
"201541","Rumex_bucephalophorus",23.62889,35.4175
"202044","Rumex_bucephalophorus",-6.67556,37.07389
"202468","Rumex_bucephalophorus",9.00639,42.33556
"202553","Rumex_bucephalophorus",6.60389,43.1775
"207134","Rumex_bucephalophorus",10.59,36.78
"212686","Rumex_bucephalophorus",115.14,-33.686389
"228026","Rumex_bucephalophorus",11.221287,42.466967
"228572","Rumex_bucephalophorus",11.005457,43.433269
"229945","Rumex_bucephalophorus",11.209546,42.554967
"246254","Rumex_bucephalophorus",-1.17,37.641
"246255","Rumex_bucephalophorus",-2.444,38.447
"246259","Rumex_bucephalophorus",-1.148,37.604
"246260","Rumex_bucephalophorus",-1.47,37.53
"246262","Rumex_bucephalophorus",-1.11,38.52
"250527","Rumex_bucephalophorus",-4.30472,39.86222
"250539","Rumex_bucephalophorus",9.9175,37.24806
"250541","Rumex_bucephalophorus",-5.87611,38.88667
"250545","Rumex_bucephalophorus",-4.31722,37.53861
"253922","Rumex_bucephalophorus",16.585527,38.789346
"254246","Rumex_bucephalophorus",15.977288,38.460029
"255977","Rumex_bucephalophorus",1.566667,50.366667
"256385","Rumex_bucephalophorus",30.455917,36.431389
"257338","Rumex_bucephalophorus",-8.85561,42.39626
"257429","Rumex_bucephalophorus",-8.81955,42.26111
"257463","Rumex_bucephalophorus",-8.90399,42.5404
"257466","Rumex_bucephalophorus",-8.85592,42.26116
"258082","Rumex_bucephalophorus",23.883333,35.4
"258136","Rumex_bucephalophorus",23.4,38.4
"258185","Rumex_bucephalophorus",23.116667,36.45
"258193","Rumex_bucephalophorus",25.533333,35.2
"258411","Rumex_bucephalophorus",21.383333,38.133333
"283110","Rumex_bucephalophorus",117.923528,-34.964417
"287556","Rumex_bucephalophorus",24.687,35.096
"296540","Rumex_bucephalophorus",-4.718,36.678
