"","species","lon","lat"
"90","Rumex_crispus",27.170088,60.559013
"91","Rumex_crispus",22.05874,61.35777
"140","Rumex_crispus",25.004236,60.203046
"207","Rumex_crispus",24.842063,60.200506
"336","Rumex_crispus",26.975091,60.480587
"356","Rumex_crispus",25.146387,60.241021
"386","Rumex_crispus",21.238482,62.346711
"456","Rumex_crispus",27.069731,60.514227
"464","Rumex_crispus",23.55564,61.4489
"494","Rumex_crispus",25.018467,60.266106
"530","Rumex_crispus",22.022643,63.388613
"533","Rumex_crispus",27.901956,60.654808
"555","Rumex_crispus",22.770515,60.312318
"660","Rumex_crispus",22.755403,63.717827
"662","Rumex_crispus",25.077964,60.253065
"837","Rumex_crispus",25.508171,61.01755
"848","Rumex_crispus",25.148916,60.196168
"928","Rumex_crispus",22.266996,63.486832
"974","Rumex_crispus",22.86985,59.955956
"1063","Rumex_crispus",25.163426,60.259213
"1132","Rumex_crispus",24.881569,60.147272
"1133","Rumex_crispus",23.437564,60.008463
"1158","Rumex_crispus",27.078832,60.514223
"1159","Rumex_crispus",27.106139,60.514203
"1318","Rumex_crispus",22.557866,60.808746
"1432","Rumex_crispus",25.292886,60.54821
"1441","Rumex_crispus",22.60217,60.216957
"1510","Rumex_crispus",27.060628,60.514232
"1725","Rumex_crispus",24.635497,60.313711
"1745","Rumex_crispus",25.457937,60.909272
"1788","Rumex_crispus",22.556251,60.422172
"1928","Rumex_crispus",25.688506,61.575884
"2233","Rumex_crispus",24.356424,64.572946
"2283","Rumex_crispus",24.967084,60.220438
"2295","Rumex_crispus",22.38966,61.08175
"2337","Rumex_crispus",24.371215,64.63604
"2341","Rumex_crispus",21.693989,60.912239
"2358","Rumex_crispus",22.331421,60.468408
"2368","Rumex_crispus",21.556337,60.7448
"2385","Rumex_crispus",25.182593,60.564709
"2397","Rumex_crispus",24.769996,60.199313
"2398","Rumex_crispus",23.043132,63.833832
"2641","Rumex_crispus",24.86358,60.146983
"3200","Rumex_crispus",25.236122,60.251221
"3336","Rumex_crispus",25.005325,60.185107
"3338","Rumex_crispus",24.911282,60.246506
"3366","Rumex_crispus",22.067108,63.363186
"3543","Rumex_crispus",24.701073,60.15324
"3577","Rumex_crispus",22.682577,63.796535
"3608","Rumex_crispus",24.365668,67.678198
"3742","Rumex_crispus",26.601436,60.845719
"3843","Rumex_crispus",24.450581,64.682306
"3955","Rumex_crispus",24.294781,60.055756
"4066","Rumex_crispus",26.532968,60.495477
"4309","Rumex_crispus",24.947933,60.2381
"4318","Rumex_crispus",25.183467,60.223579
"4319","Rumex_crispus",25.049771,60.34737
"4359","Rumex_crispus",24.27685,60.055387
"4371","Rumex_crispus",24.860664,60.191828
"4408","Rumex_crispus",27.720136,60.700784
"4443","Rumex_crispus",21.522889,60.725443
"4456","Rumex_crispus",22.95263,60.596581
"4541","Rumex_crispus",23.548787,60.146175
"4661","Rumex_crispus",24.275783,61.366443
"4669","Rumex_crispus",26.162635,60.744975
"4754","Rumex_crispus",25.036521,60.266374
"4870","Rumex_crispus",23.140068,60.557203
"5162","Rumex_crispus",25.429474,60.738393
"5207","Rumex_crispus",22.493987,60.608852
"5328","Rumex_crispus",24.374674,64.600199
"5445","Rumex_crispus",24.715326,60.207361
"5622","Rumex_crispus",22.861314,59.959733
"5653","Rumex_crispus",25.122693,60.339443
"5711","Rumex_crispus",24.927624,60.273697
"5733","Rumex_crispus",25.111271,60.536787
"5848","Rumex_crispus",21.952388,63.332189
"5930","Rumex_crispus",24.804229,60.226821
"6019","Rumex_crispus",24.922504,60.354421
"6020","Rumex_crispus",23.28562,59.923406
"6200","Rumex_crispus",23.649909,60.391317
"6288","Rumex_crispus",25.20101,60.232795
"6302","Rumex_crispus",24.646346,60.91548
"6332","Rumex_crispus",24.64325,60.206099
"6417","Rumex_crispus",27.062873,61.671899
"6460","Rumex_crispus",24.707437,61.347476
"6535","Rumex_crispus",24.843829,60.173598
"6594","Rumex_crispus",22.85946,59.960367
"6624","Rumex_crispus",25.278226,60.2361
"6812","Rumex_crispus",22.784819,61.319353
"6946","Rumex_crispus",25.515419,60.338824
"7003","Rumex_crispus",24.593802,60.878636
"7025","Rumex_crispus",23.48769,60.548839
"7078","Rumex_crispus",24.828786,60.128459
"7180","Rumex_crispus",22.724925,60.01798
"7236","Rumex_crispus",24.557165,60.150664
"7259","Rumex_crispus",26.674639,60.881815
"7332","Rumex_crispus",21.534623,61.301671
"7428","Rumex_crispus",24.640026,60.250937
"7561","Rumex_crispus",24.629116,60.151971
"7627","Rumex_crispus",25.266695,60.221308
"7628","Rumex_crispus",25.276677,60.238782
"7664","Rumex_crispus",21.317811,62.183526
"7769","Rumex_crispus",24.917547,60.147843
"7776","Rumex_crispus",25.072635,60.266904
"7945","Rumex_crispus",22.293889,60.476078
"7998","Rumex_crispus",25.331204,60.242325
"8063","Rumex_crispus",26.969656,60.460392
"8130","Rumex_crispus",25.058297,60.203849
"8189","Rumex_crispus",25.577171,60.3002
"8431","Rumex_crispus",24.397447,61.027625
"8545","Rumex_crispus",23.134636,60.143707
"8577","Rumex_crispus",25.084395,60.374808
"8634","Rumex_crispus",24.471509,64.682666
"8650","Rumex_crispus",24.572506,60.186864
"8788","Rumex_crispus",24.345695,60.09271
"8797","Rumex_crispus",23.951898,60.461451
"8849","Rumex_crispus",25.059359,60.185909
"8850","Rumex_crispus",25.130897,60.195915
"8905","Rumex_crispus",22.138878,60.65933
"8953","Rumex_crispus",22.566798,60.611289
"8954","Rumex_crispus",22.328845,60.4863
"9273","Rumex_crispus",24.647745,60.143324
"9331","Rumex_crispus",24.755655,60.145197
"9403","Rumex_crispus",22.720461,63.680847
"9411","Rumex_crispus",23.812254,61.140804
"9468","Rumex_crispus",25.896583,60.482755
"9508","Rumex_crispus",24.005522,60.471649
"9518","Rumex_crispus",25.074744,60.231023
"9605","Rumex_crispus",24.519554,60.410371
"9647","Rumex_crispus",23.148399,60.180051
"9649","Rumex_crispus",21.773196,60.654512
"9726","Rumex_crispus",22.740565,61.080704
"9742","Rumex_crispus",24.667001,60.125706
"9750","Rumex_crispus",22.694872,63.716027
"9829","Rumex_crispus",23.460127,60.467256
"9860","Rumex_crispus",24.384138,60.964513
"10011","Rumex_crispus",25.932913,63.713729
"10196","Rumex_crispus",25.164932,60.232301
"10254","Rumex_crispus",24.388663,64.672251
