"","species","lon","lat"
"65376","Rumex_obovatus",-58.033333,-28.033333
"136272","Rumex_obovatus",-58.1226,-25.221
"161726","Rumex_obovatus",-60.12972,-23.7575
"183121","Rumex_obovatus",-90.1681,29.7986
"183207","Rumex_obovatus",-90.159917,29.836861
"183369","Rumex_obovatus",-87.1372,30.3617
"392130","Rumex_obovatus",-58.03333,-28.73333
"429960","Rumex_obovatus",-82.3844,27.9665
"430720","Rumex_obovatus",-82.4409,27.9833
"431242","Rumex_obovatus",-81.1925,28.7131
"434686","Rumex_obovatus",-81.19244,28.71311
"448211","Rumex_obovatus",-60.12972,-23.7575
