"","species","lon","lat"
"50871","Salsola_soda",34.732815,45.781868
"51319","Salsola_soda",35.08,32.9
"51462","Salsola_soda",35.11,32.9
"51514","Salsola_soda",35.12,32.83
"54264","Salsola_soda",-122.09025,39.275722
"57334","Salsola_soda",-3.4033,39.2886
"57523","Salsola_soda",0.482,41.5223
"57822","Salsola_soda",0.58,40.58
"57957","Salsola_soda",3.02,42.81
"58235","Salsola_soda",3.02,42.84
"63220","Salsola_soda",15.052664,38.137156
"70207","Salsola_soda",-122.2285838,39.2761419
"78412","Salsola_soda",37.118944,45.046083
"78604","Salsola_soda",37.121111,45.045833
"87125","Salsola_soda",-2.71,39.88
"87722","Salsola_soda",-2.7,39.88
"88806","Salsola_soda",-0.51,39.47
"90661","Salsola_soda",-122.3533,38.0055
"137173","Salsola_soda",-8.91798,38.80935
"156135","Salsola_soda",-5.6,41.83
"156423","Salsola_soda",-5.56,41.85
"161738","Salsola_soda",44.85,41.65
"168305","Salsola_soda",-122.29611,37.8375
"174193","Salsola_soda",-122.084,37.4325
"178501","Salsola_soda",21.78778,38.375
"178502","Salsola_soda",23.28806,38.57167
"178814","Salsola_soda",21.93306,38.40583
"179435","Salsola_soda",23.03306,38.88
"206070","Salsola_soda",47.547345,45.782741
"215464","Salsola_soda",-123.067152,38.324321
"215805","Salsola_soda",-121.453918,37.758904
"215987","Salsola_soda",-122.038889,38.230833
"227103","Salsola_soda",10.334114,43.596501
"227147","Salsola_soda",11.23333,42.45
"227589","Salsola_soda",11.374771,42.397728
"227590","Salsola_soda",10.871624,42.768721
"227684","Salsola_soda",10.31605,43.590777
"228274","Salsola_soda",11.036864,42.682166
"228607","Salsola_soda",10.826029,42.779376
"228765","Salsola_soda",11.316919,42.367423
"228898","Salsola_soda",11.186093,42.545933
"230225","Salsola_soda",11.044449,42.673545
"230475","Salsola_soda",11.145667,42.411119
"254008","Salsola_soda",10.61632,42.955409
"254277","Salsola_soda",10.336212,43.596739
"256276","Salsola_soda",41.72998,46.686513
"256338","Salsola_soda",33.461111,44.608333
"256806","Salsola_soda",33.019444,45.308333
"296985","Salsola_soda",-6.261,37.082
"297359","Salsola_soda",-2.22665,36.76457
"300540","Salsola_soda",-4.7498,42.074
"301298","Salsola_soda",-5.487,41.845
"301536","Salsola_soda",-5.607,41.824
"302117","Salsola_soda",-5.63,41.805
"302840","Salsola_soda",-122.03509,38.226386
"303009","Salsola_soda",-122.2965,37.8381
"303343","Salsola_soda",-122.2684,38.1643
"303344","Salsola_soda",-122.312616,37.867272
"303345","Salsola_soda",-122.1878,37.4883
"303346","Salsola_soda",-122.3261,37.8211
"333157","Salsola_soda",44.683,47.967
"338100","Salsola_soda",32.097963,46.366632
"338101","Salsola_soda",32.097963,46.366209
"347918","Salsola_soda",-0.71,38.17
"353182","Salsola_soda",13.53694,45.72306
"367191","Salsola_soda",49.905556,40.446944
"367342","Salsola_soda",42.90616,46.522139
"367625","Salsola_soda",13.086944,37.504167
"367656","Salsola_soda",33.536111,44.647222
"367975","Salsola_soda",60.83909,50.81956
"371570","Salsola_soda",10.61639,42.95542
"373985","Salsola_soda",-122.35633,38.00639
"391871","Salsola_soda",-122.285278,37.831389
"393560","Salsola_soda",-2.2279,36.7626
"403311","Salsola_soda",-2,36.91
"404232","Salsola_soda",4.5443,43.47309
"415012","Salsola_soda",-5.69,36.06
"415106","Salsola_soda",-2.27,36.83
"422854","Salsola_soda",4.67043,43.56121
"423007","Salsola_soda",-1.488453,42.19463
"427167","Salsola_soda",-122.089444,39.278056
"427377","Salsola_soda",-122.09,39.275556
"427853","Salsola_soda",-122.091111,39.344444
"429274","Salsola_soda",-2.7,39.88
"429674","Salsola_soda",5.03511,43.37499
"433102","Salsola_soda",44.85,41.65
"436895","Salsola_soda",42.654762,46.409931
"437396","Salsola_soda",33.447222,44.594444
"437613","Salsola_soda",33.013889,45.311111
"437873","Salsola_soda",44.475527,48.539053
"438015","Salsola_soda",35.451387,45.118348
"446863","Salsola_soda",33.052778,45.319444
"449515","Salsola_soda",-5.48,41.84
"451337","Salsola_soda",8.456842,39.76946
"451476","Salsola_soda",8.279684,40.856617
"451477","Salsola_soda",8.240206,40.898629
"451817","Salsola_soda",8.374116,40.83345
"451862","Salsola_soda",8.564699,39.82163
"465190","Salsola_soda",-5.5669,41.8454
"469795","Salsola_soda",44.68028,48.08167
"470955","Salsola_soda",19.46,40.55778
"471230","Salsola_soda",-6.20583,36.38694
"471382","Salsola_soda",44.68417,47.96778
"478810","Salsola_soda",23.07417,38.67056
"478879","Salsola_soda",22.19667,38.20083
"478880","Salsola_soda",23.12889,38.6325
"479424","Salsola_soda",22.39944,38.13611
"479425","Salsola_soda",23.06083,38.70111
"479449","Salsola_soda",22.14722,38.225
"479686","Salsola_soda",20.22361,39.50667
"479730","Salsola_soda",22.59222,38.90111
"480037","Salsola_soda",22.20389,38.34194
"480495","Salsola_soda",21.57417,37.06333
"482497","Salsola_soda",22.4425,38.42833
