"","species","lon","lat"
"12599","Sarracenia_flava",-82.445833,31.880833
"19706","Sarracenia_flava",-79.37,33.38
"27874","Sarracenia_flava",-79.62,33.08
"28022","Sarracenia_flava",-77.3886,38.145
"35381","Sarracenia_flava",-84.4,30.233333
"39676","Sarracenia_flava",-86.653333,30.679167
"39677","Sarracenia_flava",-86.5125,31.085278
"44654","Sarracenia_flava",-86.2742,30.8833
"44707","Sarracenia_flava",-82.58,30.25
"61913","Sarracenia_flava",-84.704167,30.150833
"64168","Sarracenia_flava",-86.6979,31.14755
"64169","Sarracenia_flava",-86.68649,31.13762
"71162","Sarracenia_flava",174.555183,-36.891214
"71395","Sarracenia_flava",174.555203,-36.892115
"92725","Sarracenia_flava",-86.168821,31.017377
"133970","Sarracenia_flava",-84.968056,30.62
"133973","Sarracenia_flava",-82.793889,32.123056
"134040","Sarracenia_flava",-85.521111,30.159722
"134125","Sarracenia_flava",-86.028333,30.735278
"134298","Sarracenia_flava",-85.483889,30.738889
"134344","Sarracenia_flava",-84.938889,30.142778
"134416","Sarracenia_flava",-85.140278,30.704167
"137320","Sarracenia_flava",-85.645451,30.29928
"140148","Sarracenia_flava",-77.029406,34.952286
"140233","Sarracenia_flava",-85.5417,30.0283
"163410","Sarracenia_flava",-84.938833,30.142639
"176617","Sarracenia_flava",-85.4087,30.1398
"176910","Sarracenia_flava",-79.616667,33.083333
"177698","Sarracenia_flava",-82.63269,31.399996
"177713","Sarracenia_flava",-83.886389,31.2925
"177732","Sarracenia_flava",-83.181111,31.341111
"177735","Sarracenia_flava",-81.900556,32.113889
"177768","Sarracenia_flava",-82.405621,32.179646
"177770","Sarracenia_flava",-82.203333,32.116667
"177772","Sarracenia_flava",-84.028333,30.961111
"177851","Sarracenia_flava",-83.079167,31.693889
"177853","Sarracenia_flava",-84.02774,30.96233
"177888","Sarracenia_flava",-82.793889,32.123056
"177898","Sarracenia_flava",-82.656667,31.428333
"177961","Sarracenia_flava",-85.640483,30.303883
"179741","Sarracenia_flava",-81.85615,32.39351
"183088","Sarracenia_flava",-86.200833,30.621667
"247669","Sarracenia_flava",-87.086944,30.536944
"250357","Sarracenia_flava",-93.178,44.7316
"256946","Sarracenia_flava",-78.933611,35.198611
"257132","Sarracenia_flava",-86.200833,30.621667
"282582","Sarracenia_flava",-87.053153,31.042094
"288935","Sarracenia_flava",-86.515,30.753056
"288936","Sarracenia_flava",-81.85615,32.39351
"293003","Sarracenia_flava",-86.515,30.75306
"293521","Sarracenia_flava",-86.93028,30.58333
"294274","Sarracenia_flava",-85.39,30.15694
"294410","Sarracenia_flava",-85.14028,30.70417
"295483","Sarracenia_flava",-80.2483,34.6078
"295530","Sarracenia_flava",-83.8583,31.4022
"295546","Sarracenia_flava",-83.7025,31.7317
"295576","Sarracenia_flava",-85.4839,30.7389
"295578","Sarracenia_flava",-84.8589,30.2806
"295633","Sarracenia_flava",-86.0283,30.7353
"295647","Sarracenia_flava",-86.515,30.7531
"295694","Sarracenia_flava",-86.7119,30.8761
"304042","Sarracenia_flava",-86.583889,30.681667
"305350","Sarracenia_flava",-87.090556,30.532778
"305352","Sarracenia_flava",-84.985,30.043056
"314845","Sarracenia_flava",-122.166667,48.333333
"327309","Sarracenia_flava",-122.00278,48.33333
"328646","Sarracenia_flava",-88.5072,30.3919
"344493","Sarracenia_flava",-83.786353,31.055521
"344709","Sarracenia_flava",-78.771007,34.94759
"346604","Sarracenia_flava",-122.166667,48.333333
"346785","Sarracenia_flava",-122.16839,48.33396
"351345","Sarracenia_flava",-77.043047,34.961883
"360184","Sarracenia_flava",-88.611686,30.378497
"360322","Sarracenia_flava",-84.6875,30.270833
"365079","Sarracenia_flava",-83.7236,31.3197
