"","species","lon","lat"
"26057","Saxifraga_hirsuta",-3.6012588,43.1488777
"26214","Saxifraga_hirsuta",-3.181242,42.7288727
"26291","Saxifraga_hirsuta",-3.0912316,42.2888638
"26452","Saxifraga_hirsuta",-2.2912336,43.1988931
"26537","Saxifraga_hirsuta",-2.3612342,43.1588914
"26617","Saxifraga_hirsuta",-2.7812403,43.0388841
"26638","Saxifraga_hirsuta",-1.521214,42.9988967
"26688","Saxifraga_hirsuta",-2.2312236,42.7588836
"26797","Saxifraga_hirsuta",-3.3712454,42.7088702
"26841","Saxifraga_hirsuta",-3.1012324,42.3188643
"37372","Saxifraga_hirsuta",-0.7449802,42.9544429
"42728","Saxifraga_hirsuta",-5.19,43.03
"42736","Saxifraga_hirsuta",-1.36,42.94
"42740","Saxifraga_hirsuta",-3.61,43.15
"42774","Saxifraga_hirsuta",-0.86,42.9
"42806","Saxifraga_hirsuta",-5.16,42.139999
"42849","Saxifraga_hirsuta",-4.81,43.169998
"56756","Saxifraga_hirsuta",-7.1725,42.6159
"56931","Saxifraga_hirsuta",-3.6163,43.1512
"57150","Saxifraga_hirsuta",-0.6641,42.8409
"57227","Saxifraga_hirsuta",-5.3796,43.2722
"57329","Saxifraga_hirsuta",-2.5736,42.7558
"57941","Saxifraga_hirsuta",-5.19,43.03
"58243","Saxifraga_hirsuta",-4.84,43.25
"58640","Saxifraga_hirsuta",-3.65,43.17
"58706","Saxifraga_hirsuta",-3.6,43.15
"69261","Saxifraga_hirsuta",11.04,48.57
"85651","Saxifraga_hirsuta",-5.95,43.01
"85684","Saxifraga_hirsuta",-2.69,43.31
"85941","Saxifraga_hirsuta",-2.94,42.05
"86225","Saxifraga_hirsuta",-3.18,42.23
"86272","Saxifraga_hirsuta",-2.94,42.23
"86608","Saxifraga_hirsuta",-2.32,42.92
"86925","Saxifraga_hirsuta",-0.73,42.93
"87303","Saxifraga_hirsuta",-3.06,42.23
"87385","Saxifraga_hirsuta",-0.73,42.95
"87439","Saxifraga_hirsuta",-7.11,42.57
"87529","Saxifraga_hirsuta",-2.75,42.23
"87611","Saxifraga_hirsuta",-0.74,42.66
"88264","Saxifraga_hirsuta",-3.37,43.09
"88308","Saxifraga_hirsuta",-5.07,43.11
"88408","Saxifraga_hirsuta",-2.56,42.76
"88412","Saxifraga_hirsuta",-2.94,42.14
"88621","Saxifraga_hirsuta",-2.81,43.4
"88816","Saxifraga_hirsuta",-5.19,43.03
"88968","Saxifraga_hirsuta",-5.4,43.05
"89019","Saxifraga_hirsuta",-3.6,43.15
"137218","Saxifraga_hirsuta",-3.93932,43.08506
"149557","Saxifraga_hirsuta",-0.7,42.82
"153962","Saxifraga_hirsuta",-2.6103584,42.7641447
"155919","Saxifraga_hirsuta",-3.8,43.4
"156004","Saxifraga_hirsuta",-3.24,43.29
"156108","Saxifraga_hirsuta",-4.91,43.19
"156140","Saxifraga_hirsuta",-0.82,42.86
"156261","Saxifraga_hirsuta",-7.06,43.34
"156333","Saxifraga_hirsuta",-2.56,42.76
"163920","Saxifraga_hirsuta",-3.585,43.203
"164380","Saxifraga_hirsuta",-3.66014,43.15128
"257342","Saxifraga_hirsuta",-6.88523,42.81808
"257496","Saxifraga_hirsuta",-7.26901,42.65343
"296737","Saxifraga_hirsuta",-6.36,43.01
"300460","Saxifraga_hirsuta",-5.15,43.02
"300709","Saxifraga_hirsuta",-4.787,43.082
"300763","Saxifraga_hirsuta",-4.914,43.197
"300776","Saxifraga_hirsuta",-5.022,43.106
"300845","Saxifraga_hirsuta",-5.63434,43.01712
"301086","Saxifraga_hirsuta",-5.191,43.039
"301181","Saxifraga_hirsuta",-3.66132,43.162368
"301190","Saxifraga_hirsuta",-5.071,43.114
"301223","Saxifraga_hirsuta",-4.78,43.02
"301255","Saxifraga_hirsuta",-5.203,43.03
"301435","Saxifraga_hirsuta",-5.034,43.105
"301498","Saxifraga_hirsuta",-5.48233,43.03962
"301628","Saxifraga_hirsuta",-5.105307,42.965463
"301770","Saxifraga_hirsuta",-5.105302,42.96531
"301821","Saxifraga_hirsuta",-5.6287,43.0342
"301935","Saxifraga_hirsuta",-5.2261,43.0689
"302057","Saxifraga_hirsuta",-4.41,43.03
"302189","Saxifraga_hirsuta",-3.665215,43.159698
"302435","Saxifraga_hirsuta",-3.55,43.04
"302498","Saxifraga_hirsuta",-5.4896,43.0247
"347759","Saxifraga_hirsuta",-1.02,42.96
"347811","Saxifraga_hirsuta",-2.33,42.95
"348242","Saxifraga_hirsuta",-4.94,43.25
"348606","Saxifraga_hirsuta",-7.1,42.61
"348851","Saxifraga_hirsuta",-3.6,43.15
"348988","Saxifraga_hirsuta",-5.19,43.03
"389119","Saxifraga_hirsuta",-6.31,43.4
"389164","Saxifraga_hirsuta",-5.09,43.14
"389223","Saxifraga_hirsuta",-5.19,43.03
"389247","Saxifraga_hirsuta",-5.1,43.41
"389256","Saxifraga_hirsuta",-3.6,43.15
