"","species","lon","lat"
"36732","Scardinius_erythrophthalmus",25.529303,61.42209
"36788","Scardinius_erythrophthalmus",28.569019,61.323001
"36804","Scardinius_erythrophthalmus",24.849992,60.166763
"36827","Scardinius_erythrophthalmus",28.645588,62.558731
"36875","Scardinius_erythrophthalmus",28.568142,61.322899
"44734","Scardinius_erythrophthalmus",15.09,50.540001
"44845","Scardinius_erythrophthalmus",22.75,41.200001
"59008","Scardinius_erythrophthalmus",17.493601,46.7192
"70845","Scardinius_erythrophthalmus",23.540001,40.66
"70885","Scardinius_erythrophthalmus",15.19,50.52
"72169","Scardinius_erythrophthalmus",28.091141,49.929053
"72170","Scardinius_erythrophthalmus",28.116737,49.961547
"72171","Scardinius_erythrophthalmus",28.111388,49.994833
"72172","Scardinius_erythrophthalmus",28.357165,50.181431
"84467","Scardinius_erythrophthalmus",-75.908333,44.402778
"84469","Scardinius_erythrophthalmus",-79.3665,43.17356
"84498","Scardinius_erythrophthalmus",-76.066667,44.35
"84504","Scardinius_erythrophthalmus",-79.05489,42.90338
"84506","Scardinius_erythrophthalmus",-79.05163,42.91066
"84512","Scardinius_erythrophthalmus",-78.97551,42.95527
"84595","Scardinius_erythrophthalmus",-79.60514,42.89347
"84615","Scardinius_erythrophthalmus",-79.59753,42.88881
"84671","Scardinius_erythrophthalmus",-79.61475,42.89397
"84672","Scardinius_erythrophthalmus",-79.37248,43.17049
"84774","Scardinius_erythrophthalmus",-79.36906,43.16577
"84792","Scardinius_erythrophthalmus",-79.108383,43.031311
"84829","Scardinius_erythrophthalmus",-79.02273,43.06236
"84838","Scardinius_erythrophthalmus",-79.61545,42.89392
"84858","Scardinius_erythrophthalmus",-73.253333,45.129167
"84892","Scardinius_erythrophthalmus",-78.97019,42.95277
"84907","Scardinius_erythrophthalmus",-79.87054,43.27236
"84908","Scardinius_erythrophthalmus",-79.083333,42.833333
"84945","Scardinius_erythrophthalmus",-79.15108,43.0425
"84950","Scardinius_erythrophthalmus",-79.01704,42.94804
"84951","Scardinius_erythrophthalmus",-79.0539,42.91934
"84961","Scardinius_erythrophthalmus",-79.13145,43.04889
"84965","Scardinius_erythrophthalmus",-79.59454,42.88858
"85053","Scardinius_erythrophthalmus",-79.375,43.175
"85068","Scardinius_erythrophthalmus",-79.377173,43.638921
"85074","Scardinius_erythrophthalmus",-78.9762985,42.9513377
"85076","Scardinius_erythrophthalmus",-79.82107,43.28473
