"","species","lon","lat"
"5469","Scleranthus_perennis",26.649831,60.902349
"6864","Scleranthus_perennis",26.609544,60.937741
"7898","Scleranthus_perennis",26.698777,60.891698
"8240","Scleranthus_perennis",26.699332,60.891448
"11102","Scleranthus_perennis",24.070684,60.244122
"14454","Scleranthus_perennis",26.618755,60.935515
"15160","Scleranthus_perennis",26.50906,60.872338
"16497","Scleranthus_perennis",26.610337,60.93769
"21417","Scleranthus_perennis",21.49806,40.57722
"21418","Scleranthus_perennis",21.50528,40.44222
"21884","Scleranthus_perennis",21.49889,40.59361
"22336","Scleranthus_perennis",21.49,40.64528
"23305","Scleranthus_perennis",24.78778,41.21611
"23332","Scleranthus_perennis",24.77694,41.2125
"23333","Scleranthus_perennis",24.65972,41.27222
"23334","Scleranthus_perennis",24.49917,41.31056
"23335","Scleranthus_perennis",24.57667,41.25222
"23336","Scleranthus_perennis",24.08833,41.38389
"23338","Scleranthus_perennis",24.82306,41.20583
"23339","Scleranthus_perennis",24.86444,41.26361
"23340","Scleranthus_perennis",24.85639,41.27167
"23341","Scleranthus_perennis",24.91111,41.24611
"23342","Scleranthus_perennis",24.91972,41.28056
"23343","Scleranthus_perennis",24.96056,41.27306
"23344","Scleranthus_perennis",24.97056,41.33833
"23345","Scleranthus_perennis",25.03444,41.34
"23346","Scleranthus_perennis",25.04667,41.33778
"23348","Scleranthus_perennis",23.60056,40.49889
"23349","Scleranthus_perennis",23.59194,40.50111
"23350","Scleranthus_perennis",23.59222,40.53278
"23351","Scleranthus_perennis",25.59083,41.21417
"23352","Scleranthus_perennis",25.61917,41.23111
"23353","Scleranthus_perennis",25.78306,41.10639
"23354","Scleranthus_perennis",24.95833,41.14139
"23355","Scleranthus_perennis",25.57083,40.9375
"23357","Scleranthus_perennis",24.11944,41.40139
"23358","Scleranthus_perennis",24.42556,41.21361
"23359","Scleranthus_perennis",24.57833,41.245
"24601","Scleranthus_perennis",21.885,38.74722
"26043","Scleranthus_perennis",0.2488277,42.728909
"26705","Scleranthus_perennis",0.1788276,42.6589067
"31263","Scleranthus_perennis",25.645824,60.977265
"34553","Scleranthus_perennis",5.711,52.049
"34591","Scleranthus_perennis",6.013206,52.508526
"36239","Scleranthus_perennis",9.44528,44.385
"36360","Scleranthus_perennis",22.59083,42.19417
"37597","Scleranthus_perennis",7.463333,49.888333
"39644","Scleranthus_perennis",7.466667,49.883333
"39930","Scleranthus_perennis",13.0449,56.22487
"42158","Scleranthus_perennis",0.581593,52.41708
"42676","Scleranthus_perennis",-1.13,42.65
"42841","Scleranthus_perennis",-4.75,43.080002
"42904","Scleranthus_perennis",-4.75,43.07
"49743","Scleranthus_perennis",-89.4345,45.887
"50552","Scleranthus_perennis",19.46,50.32
"55076","Scleranthus_perennis",10.98,49.14
"55551","Scleranthus_perennis",2.08994,42.38749
"56866","Scleranthus_perennis",24.88,41.9861
"57166","Scleranthus_perennis",0.364,42.6453
"57839","Scleranthus_perennis",1.88,42.45
"57848","Scleranthus_perennis",1.96,42.36
"57893","Scleranthus_perennis",2.02,42.35
"57913","Scleranthus_perennis",1.95,42.34
"57915","Scleranthus_perennis",1.98,42.36
"57916","Scleranthus_perennis",1.98,42.34
"57945","Scleranthus_perennis",2.02,42.36
"58036","Scleranthus_perennis",1.98,42.35
"58081","Scleranthus_perennis",1.96,42.37
"58114","Scleranthus_perennis",2.2,42.62
"58176","Scleranthus_perennis",1.68,42.41
"58186","Scleranthus_perennis",0.87,42.57
"58359","Scleranthus_perennis",1.97,42.35
"58361","Scleranthus_perennis",1.99,42.35
