"","species","lon","lat"
"6496","Scopolia_carniolica",22.538083,61.868743
"36027","Scopolia_carniolica",15.38944,47.14583
"36677","Scopolia_carniolica",14.03331,45.91703
"50855","Scopolia_carniolica",24.580486,49.138508
"50894","Scopolia_carniolica",28.81,48.270278
"50895","Scopolia_carniolica",28.779167,48.281667
"50896","Scopolia_carniolica",27.429942,48.978958
"50897","Scopolia_carniolica",27.408736,48.981331
"50898","Scopolia_carniolica",27.735208,48.915342
"72456","Scopolia_carniolica",25.396779,48.905253
"72457","Scopolia_carniolica",25.583074,48.791342
"72471","Scopolia_carniolica",30.417652,48.919704
"72472","Scopolia_carniolica",30.408082,48.937608
"78413","Scopolia_carniolica",39.307274,44.203663
"94356","Scopolia_carniolica",12.90773,56.43917
"95409","Scopolia_carniolica",22.403667,49.179806
"128956","Scopolia_carniolica",22.337964,60.549551
"138231","Scopolia_carniolica",7.2685,58.3461
"138530","Scopolia_carniolica",7.1819,58.4033
"148734","Scopolia_carniolica",20.42409,49.40308
"149798","Scopolia_carniolica",16.13386,58.61753
"149867","Scopolia_carniolica",17.89074,59.59313
"151223","Scopolia_carniolica",13.63177,55.99942
"151620","Scopolia_carniolica",15.6917,58.25195
"156879","Scopolia_carniolica",11.3487616,59.726057
"157447","Scopolia_carniolica",11.3503618,59.724257
"172971","Scopolia_carniolica",25.56325,57.12505
"173426","Scopolia_carniolica",26.43895,55.87555
"184091","Scopolia_carniolica",31.48758,49.73083
"202897","Scopolia_carniolica",15.01361,45.22917
"203417","Scopolia_carniolica",19,50
"206498","Scopolia_carniolica",39.327747,43.943584
"214139","Scopolia_carniolica",17.93563,59.28349
"237386","Scopolia_carniolica",25.120804,60.228945
"246054","Scopolia_carniolica",24.323,61.712
"256372","Scopolia_carniolica",40.048857,43.616629
"257869","Scopolia_carniolica",12.9085,56.43965
"258106","Scopolia_carniolica",13.63255,55.99989
"285368","Scopolia_carniolica",22.155742,60.491205
"288609","Scopolia_carniolica",12.2485,54.0484
"290157","Scopolia_carniolica",11.0464,60.227
"290166","Scopolia_carniolica",11.2033312,60.3937818
"290282","Scopolia_carniolica",10.7408,59.5402
"290379","Scopolia_carniolica",10.7707,59.9613
"290399","Scopolia_carniolica",11.3484,59.7261
"291025","Scopolia_carniolica",11.3194,59.6413
"291117","Scopolia_carniolica",11.3367,60.0287
"291352","Scopolia_carniolica",10.6084488,59.4219381
"291664","Scopolia_carniolica",10.6319,59.9363
"291714","Scopolia_carniolica",10.6909,60.9419
"295117","Scopolia_carniolica",14.42444,59.351
"300319","Scopolia_carniolica",10.757335,59.803565
"304424","Scopolia_carniolica",37.621864,55.564553
"304826","Scopolia_carniolica",37.591962,55.554275
"304881","Scopolia_carniolica",37.623183,55.840983
"310190","Scopolia_carniolica",10.9996,59.6636
"310539","Scopolia_carniolica",11.2668,59.7303
"311302","Scopolia_carniolica",10.6586,60.8054
"311434","Scopolia_carniolica",10.6686,59.5394
"311866","Scopolia_carniolica",10.5221281,59.8936556
"336150","Scopolia_carniolica",22.333745,60.547156
"336173","Scopolia_carniolica",22.437629,60.490071
"345311","Scopolia_carniolica",41.869444,41.678611
"351503","Scopolia_carniolica",25.120913,60.228938
"367197","Scopolia_carniolica",39.723558,43.821028
"367913","Scopolia_carniolica",39.261519,44.186266
"368742","Scopolia_carniolica",16.458338,57.273252
"376392","Scopolia_carniolica",22.485208,61.840048
"405138","Scopolia_carniolica",16,60
"421273","Scopolia_carniolica",10.4674,59.4291
"421934","Scopolia_carniolica",10.6082,59.4229
"422096","Scopolia_carniolica",11.2376,59.4619
"422313","Scopolia_carniolica",10.6166299,59.9257578
"422328","Scopolia_carniolica",11.4878,60.4027
"422630","Scopolia_carniolica",10.7573,59.8036
"422667","Scopolia_carniolica",10.6099,59.4229
"422682","Scopolia_carniolica",11.2272,60.7082
"422711","Scopolia_carniolica",9.9127,59.84
"423589","Scopolia_carniolica",14.36806,45.88778
"423619","Scopolia_carniolica",20.59278,48.10278
"436972","Scopolia_carniolica",39.394827,43.894429
"437599","Scopolia_carniolica",37.623183,55.840983
"460149","Scopolia_carniolica",5.913833,52.011
"471261","Scopolia_carniolica",22.40361,49.17972
"476157","Scopolia_carniolica",12.513725,55.869052
"485374","Scopolia_carniolica",13.58617,59.40468
"485624","Scopolia_carniolica",16.16002,58.56701
"485956","Scopolia_carniolica",13.53413,58.16265
"486073","Scopolia_carniolica",13.517,60.16975
