"","species","lon","lat"
"40602","Secale_montanum",-3.28333,40.1667
"51347","Secale_montanum",35.75,33.27
"51357","Secale_montanum",35.77,33.07
"51382","Secale_montanum",35.78,33.12
"51385","Secale_montanum",35.77,33.22
"51569","Secale_montanum",35.76,33.05
"51571","Secale_montanum",35.76,33.2
"51575","Secale_montanum",35.78,33.1
"51576","Secale_montanum",35.77,33.31
"51628","Secale_montanum",35.79,33.11
"62691","Secale_montanum",13.394718,37.856101
"62771","Secale_montanum",14.031667,37.900351
"62796","Secale_montanum",14.099975,37.850021
"62798","Secale_montanum",15.099976,37.733535
"62802","Secale_montanum",14.066631,37.866678
"63076","Secale_montanum",15.052103,37.704695
"63160","Secale_montanum",15.286961,37.852186
"63306","Secale_montanum",14.97582,37.690252
"66923","Secale_montanum",45.821389,40.676111
"88140","Secale_montanum",22.17,38.01
"163648","Secale_montanum",1.24213,42.37163
"163649","Secale_montanum",1.22125,42.37563
"164587","Secale_montanum",2.10565,42.50973
"164693","Secale_montanum",45.52,39.7
"178992","Secale_montanum",23.5775,41.23361
"179276","Secale_montanum",15.1,37.73333
"179578","Secale_montanum",45.51667,39.7
"200647","Secale_montanum",20.82722,40.95222
"201252","Secale_montanum",20.40361,40.1425
"251158","Secale_montanum",2.08071,42.49732
"256844","Secale_montanum",15.059167,37.765
"257890","Secale_montanum",21.6,39.3
"258406","Secale_montanum",21.266667,40.766667
"346708","Secale_montanum",-117.371667,46.635
"393752","Secale_montanum",-5.2746,40.3744
"415277","Secale_montanum",-5.34,40.36
"418819","Secale_montanum",23.316633,42.130483
"424355","Secale_montanum",21.683333,40.866667
"424465","Secale_montanum",22.633333,37.216667
"424571","Secale_montanum",22.25,37.85
"431544","Secale_montanum",44.32977,40.14321
"431547","Secale_montanum",45.9803,39.5007
"432549","Secale_montanum",22.233333,38
"434044","Secale_montanum",-117.371667,46.635
"465279","Secale_montanum",22.1778,38.0178
"465286","Secale_montanum",-3.8434,40.8351
"465396","Secale_montanum",-3.4783,41.1975
"466850","Secale_montanum",-5.22,40.22
"470132","Secale_montanum",39.75194,39.42167
"470338","Secale_montanum",15.1,37.73333
"470442","Secale_montanum",14.01667,37.88333
"470443","Secale_montanum",39.85444,39.28361
"471339","Secale_montanum",45.34333,39.87778
"479161","Secale_montanum",14.01667,37.88334
"482319","Secale_montanum",13.38333,37.85
