"","species","lon","lat"
"23005","Senecio_squalidus",20.61417,39.85694
"24157","Senecio_squalidus",22.22889,37.67972
"24158","Senecio_squalidus",22.36639,37.865
"24159","Senecio_squalidus",22.16333,37.57556
"24160","Senecio_squalidus",22.18278,37.55889
"24168","Senecio_squalidus",22.15611,37.60917
"24169","Senecio_squalidus",22.17722,37.58694
"24170","Senecio_squalidus",22.11639,37.65667
"24171","Senecio_squalidus",22.155,37.62778
"36169","Senecio_squalidus",20.81531,39.97761
"36474","Senecio_squalidus",-3.11056,48.86639
"37456","Senecio_squalidus",11.812833,46.487333
"57618","Senecio_squalidus",13.7058,42.4031
"60869","Senecio_squalidus",12.79,47.62
"62605","Senecio_squalidus",15.01926,37.69516
"62679","Senecio_squalidus",12.66964,38.106534
"62692","Senecio_squalidus",13.394718,37.856101
"62693","Senecio_squalidus",14.883273,37.916633
"62694","Senecio_squalidus",15.342603,37.913074
"62695","Senecio_squalidus",14.031667,37.900351
"62770","Senecio_squalidus",14.050008,37.833309
"62797","Senecio_squalidus",12.662554,38.105947
"62801","Senecio_squalidus",13.416651,37.650021
"63081","Senecio_squalidus",14.995922,37.752255
"63082","Senecio_squalidus",13.356922,38.005081
"63280","Senecio_squalidus",13.212939,38.022802
"78137","Senecio_squalidus",-0.271231,51.548322
"85562","Senecio_squalidus",-0.65,51.91
"86259","Senecio_squalidus",22.17,38.01
"86894","Senecio_squalidus",13.25,37.98
"88376","Senecio_squalidus",21.12,39.68
"88525","Senecio_squalidus",13.7,42.4
"88681","Senecio_squalidus",14.02,37.85
"93893","Senecio_squalidus",4.366111,51.283055
"138483","Senecio_squalidus",10.7138,59.9121
"149773","Senecio_squalidus",17.67034,59.88496
"149904","Senecio_squalidus",17.70655,59.94994
"150441","Senecio_squalidus",4.377222,51.276111
"151302","Senecio_squalidus",11.67503,57.74762
"164094","Senecio_squalidus",-3.78,34.88
"166755","Senecio_squalidus",12.87,47.62
"178361","Senecio_squalidus",23.57611,41.24722
"179689","Senecio_squalidus",15.02028,37.79194
"192329","Senecio_squalidus",12.96,47.67
"206872","Senecio_squalidus",4.967476,52.500446
"207190","Senecio_squalidus",46,48
"250465","Senecio_squalidus",27.70611,42.385
