"","species","lon","lat"
"78","Senecio_sylvaticus",23.977549,60.381202
"85","Senecio_sylvaticus",24.107478,60.348167
"168","Senecio_sylvaticus",27.845935,60.610297
"170","Senecio_sylvaticus",27.445375,60.693004
"171","Senecio_sylvaticus",28.182077,60.81419
"174","Senecio_sylvaticus",24.282563,60.639228
"210","Senecio_sylvaticus",23.301731,60.579752
"332","Senecio_sylvaticus",22.538302,60.817085
"333","Senecio_sylvaticus",22.523266,60.924452
"334","Senecio_sylvaticus",22.427893,61.074062
"357","Senecio_sylvaticus",25.164431,60.241272
"437","Senecio_sylvaticus",23.39154,60.429479
"508","Senecio_sylvaticus",21.530085,61.220523
"534","Senecio_sylvaticus",27.462008,60.576273
"545","Senecio_sylvaticus",24.300816,60.639597
"557","Senecio_sylvaticus",23.867144,64.105462
"563","Senecio_sylvaticus",22.537448,60.691212
"572","Senecio_sylvaticus",24.7042,60.108399
"624","Senecio_sylvaticus",24.033341,64.366154
"663","Senecio_sylvaticus",25.115132,60.454698
"701","Senecio_sylvaticus",22.012743,60.645688
"847","Senecio_sylvaticus",25.059359,60.185909
"852","Senecio_sylvaticus",25.521352,65.011323
"889","Senecio_sylvaticus",21.604873,60.674803
"907","Senecio_sylvaticus",23.619742,60.156989
"986","Senecio_sylvaticus",24.777314,61.297915
"1014","Senecio_sylvaticus",24.71595,60.198392
"1233","Senecio_sylvaticus",27.590004,60.59372
"1518","Senecio_sylvaticus",24.774479,61.456321
"1584","Senecio_sylvaticus",27.647804,60.746028
"1594","Senecio_sylvaticus",25.660601,60.911441
"1624","Senecio_sylvaticus",22.768698,60.186431
"1632","Senecio_sylvaticus",24.602958,61.246914
"1639","Senecio_sylvaticus",21.51229,60.680027
"1888","Senecio_sylvaticus",24.260244,61.330213
"1910","Senecio_sylvaticus",25.713061,64.950302
"1933","Senecio_sylvaticus",27.426004,60.612292
"1939","Senecio_sylvaticus",25.184102,60.537798
"1950","Senecio_sylvaticus",21.646117,60.75742
"1986","Senecio_sylvaticus",24.449723,60.270314
"1991","Senecio_sylvaticus",23.756109,60.600544
"2059","Senecio_sylvaticus",26.548033,60.719904
"2104","Senecio_sylvaticus",21.671367,60.605512
"2126","Senecio_sylvaticus",25.253218,60.269402
"2127","Senecio_sylvaticus",25.164932,60.232301
"2141","Senecio_sylvaticus",21.907353,60.848554
"2320","Senecio_sylvaticus",27.515582,60.504277
"2324","Senecio_sylvaticus",24.477776,60.714885
"2336","Senecio_sylvaticus",23.957475,60.01249
