"","species","lon","lat"
"27127","Sidalcea_malviflora",-122.148387,36.979345
"27135","Sidalcea_malviflora",-122.2044,37.03764
"27158","Sidalcea_malviflora",-121.410026,36.084716
"27178","Sidalcea_malviflora",-121.69601,36.62249
"27195","Sidalcea_malviflora",-122.07227,37.01618
"27314","Sidalcea_malviflora",-121.7459,36.6438
"35169","Sidalcea_malviflora",-119.79472,34.54138
"35248","Sidalcea_malviflora",-116.433333,32.833333
"35599","Sidalcea_malviflora",-124.1286,40.5481
"35649","Sidalcea_malviflora",-123.902051,40.71497
"35650","Sidalcea_malviflora",-123.864265,40.86081
"35695","Sidalcea_malviflora",-124.08782,40.99435
"35697","Sidalcea_malviflora",-124.03378,40.95664
"35698","Sidalcea_malviflora",-124.12968,40.54838
"35711","Sidalcea_malviflora",-123.9914,40.50199
"35728","Sidalcea_malviflora",-122.022214,40.884746
"44614","Sidalcea_malviflora",-117.268417,33.521917
"44673","Sidalcea_malviflora",-111.26517,41.60633
"44691","Sidalcea_malviflora",-111.95,41.5561
"44705","Sidalcea_malviflora",-116.103611,41.378056
"53456","Sidalcea_malviflora",-116.7998,34.2153
"53516","Sidalcea_malviflora",-121.361668,36.0720997
"53538","Sidalcea_malviflora",-116.84981,34.22433
"53633","Sidalcea_malviflora",-116.923278,34.182111
"53689","Sidalcea_malviflora",-118.816667,34.783333
"53706","Sidalcea_malviflora",-116.766667,34.2
"53715","Sidalcea_malviflora",-116.77877,34.19773
"53748","Sidalcea_malviflora",-117.39078,33.47978
"53782","Sidalcea_malviflora",-116.86697,34.15375
"53827","Sidalcea_malviflora",-116.854,34.14968
"53836","Sidalcea_malviflora",-116.79425,34.2145
"53906","Sidalcea_malviflora",-116.841361,34.177111
"53915","Sidalcea_malviflora",-122.474123,41.28449
"53935","Sidalcea_malviflora",-116.78084,34.19635
"53989","Sidalcea_malviflora",-117.265,33.493333
"54025","Sidalcea_malviflora",-117.669533,33.7207
"54048","Sidalcea_malviflora",-116.657222,33.278333
"54068","Sidalcea_malviflora",-117.017222,33.450556
"54098","Sidalcea_malviflora",-116.86901,34.20834
"54210","Sidalcea_malviflora",-117.4618,33.64225
"54291","Sidalcea_malviflora",-116.851944,32.64
"54323","Sidalcea_malviflora",-121.238022,36.055133
"54344","Sidalcea_malviflora",-116.866667,34.233333
"54385","Sidalcea_malviflora",-122.088729,38.511061
"54403","Sidalcea_malviflora",-120.608333,34.75
"54432","Sidalcea_malviflora",-116.78558,34.17032
"54459","Sidalcea_malviflora",-116.78885,34.21087
"62078","Sidalcea_malviflora",-120.657782,35.363459
"69755","Sidalcea_malviflora",-120.632,34.901
"69772","Sidalcea_malviflora",-120.5618,34.6106
"69774","Sidalcea_malviflora",-121.182,35.964
"69780","Sidalcea_malviflora",-119.9647,34.5748
"69782","Sidalcea_malviflora",-119.29799,34.3826
"69793","Sidalcea_malviflora",-121.75978,36.64378
"69805","Sidalcea_malviflora",-120.0739,34.5236
"69811","Sidalcea_malviflora",-120.6898097,35.363913
"69812","Sidalcea_malviflora",-121.36,36.0723
"69819","Sidalcea_malviflora",-120.4831,34.5906
"69847","Sidalcea_malviflora",-120.5282,34.5698
"69849","Sidalcea_malviflora",-121.255,35.888
"69873","Sidalcea_malviflora",-121.2381,36.057
"69881","Sidalcea_malviflora",-121.1595,35.9596
"69947","Sidalcea_malviflora",-119.2657,34.42865
"69973","Sidalcea_malviflora",-121.3046,35.948
"70020","Sidalcea_malviflora",-118.8101,34.4803
"70023","Sidalcea_malviflora",-120.681,35.347
"70033","Sidalcea_malviflora",-121.3357308,35.9368933
"70059","Sidalcea_malviflora",-120.72571,35.3184139
"70073","Sidalcea_malviflora",-121.1433,35.9546
"70102","Sidalcea_malviflora",-120.5075,34.734
"70105","Sidalcea_malviflora",-121.3707,36.0813
"70127","Sidalcea_malviflora",-121.195,35.8632
"70153","Sidalcea_malviflora",-120.615,34.87
"70155","Sidalcea_malviflora",-121.3078,36.0603
"70226","Sidalcea_malviflora",-119.2989,34.4512
"70250","Sidalcea_malviflora",-119.30148,34.45216
"70266","Sidalcea_malviflora",-121.4393951,36.1051583
"70275","Sidalcea_malviflora",-119.301376,34.452301
"70283","Sidalcea_malviflora",-119.87588,38.3014
"72553","Sidalcea_malviflora",-116.78806,34.21022
"72575","Sidalcea_malviflora",-119.8676,34.5426
"72593","Sidalcea_malviflora",-116.84964,34.14829
"72680","Sidalcea_malviflora",-116.86732,34.14943
"72723","Sidalcea_malviflora",-116.64767,33.6382
"72740","Sidalcea_malviflora",-116.77819,34.19801
"72768","Sidalcea_malviflora",-117.141667,33.441667
"72831","Sidalcea_malviflora",-117.583333,33.508333
"72844","Sidalcea_malviflora",-117.033333,33.358333
"72903","Sidalcea_malviflora",-116.84528,34.15738
"72941","Sidalcea_malviflora",-116.791667,34.183333
"72967","Sidalcea_malviflora",-117.389409,33.467128
"73019","Sidalcea_malviflora",-116.86264,34.15312
"73109","Sidalcea_malviflora",-117.074,32.8994
"79172","Sidalcea_malviflora",-117.055833,43.227778
"81629","Sidalcea_malviflora",-117.4663,33.6512
"81630","Sidalcea_malviflora",-117.464739,33.651602
"81636","Sidalcea_malviflora",-117.423,33.60783
"81637","Sidalcea_malviflora",-117.426884,33.613187
"81647","Sidalcea_malviflora",-117.4338,33.6126
"81651","Sidalcea_malviflora",-117.4626,33.6412
"81656","Sidalcea_malviflora",-117.461,33.642
"81657","Sidalcea_malviflora",-117.4556,33.6206
"81669","Sidalcea_malviflora",-117.4536,33.625
"81677","Sidalcea_malviflora",-117.4706,33.6332
"83616","Sidalcea_malviflora",-115.76155,41.81965
"83620","Sidalcea_malviflora",-116.00055,41.548917
"83658","Sidalcea_malviflora",-115.5852,41.9245
"83681","Sidalcea_malviflora",-115.4,38.976944
"83691","Sidalcea_malviflora",-115.72391,41.76216
"83710","Sidalcea_malviflora",-115.69793,41.76309
"83735","Sidalcea_malviflora",-116.030521,41.692321
"89676","Sidalcea_malviflora",-117.01667,33.45
"90147","Sidalcea_malviflora",-116.85194,32.64
"90302","Sidalcea_malviflora",-117.07193,32.8499
"90778","Sidalcea_malviflora",-117.34167,33.51667
"90779","Sidalcea_malviflora",-116.76667,34.2
"90945","Sidalcea_malviflora",-116.6125,33.15833
"90946","Sidalcea_malviflora",-122.5696,40.2636
"91113","Sidalcea_malviflora",-123.07295,38.36993
"91114","Sidalcea_malviflora",-116.80833,33.84167
"91586","Sidalcea_malviflora",-116.96667,33.45
"91876","Sidalcea_malviflora",-117.18333,33.49833
"92033","Sidalcea_malviflora",-120.6539,35.3561
"92034","Sidalcea_malviflora",-117.39078,33.47978
"92035","Sidalcea_malviflora",-117.08333,33.46667
"92235","Sidalcea_malviflora",-121.30789,36.05839
"92244","Sidalcea_malviflora",-117.44802,33.66209
"95818","Sidalcea_malviflora",-119.08,34.84
"95819","Sidalcea_malviflora",-120.63,35.35
"95820","Sidalcea_malviflora",-118.38,34.64
"96411","Sidalcea_malviflora",-121.707383,41.182283
"96450","Sidalcea_malviflora",-116.783333,34.191667
"96485","Sidalcea_malviflora",-118.70271,36.83664
"96500","Sidalcea_malviflora",-116.858333,34.241667
"96563","Sidalcea_malviflora",-116.94073,34.22311
"96611","Sidalcea_malviflora",-116.92986,34.22283
"96636","Sidalcea_malviflora",-117.576389,33.489167
"96667","Sidalcea_malviflora",-118.2453037,43.1083473
"96700","Sidalcea_malviflora",-122.567051,40.26536
"96711","Sidalcea_malviflora",-117.43,33.2504
