"","species","lon","lat"
"1","Silurus_asotus",121.74,25.03
"2","Silurus_asotus",131.867,44.9
"3","Silurus_asotus",113.68,29.97
"4","Silurus_asotus",111.31,23.44
"5","Silurus_asotus",110.74,23.47
"6","Silurus_asotus",120.35,23.18
"7","Silurus_asotus",105.95,18.116667
"8","Silurus_asotus",127.39756,36.33487
"9","Silurus_asotus",112.47,23.04
"10","Silurus_asotus",127.36473,36.51813
"11","Silurus_asotus",127.65544,37.29742
"12","Silurus_asotus",127.76462,36.33042
"13","Silurus_asotus",127.43737,35.8724
"14","Silurus_asotus",127.72203,36.22968
"15","Silurus_asotus",130.736667,32.783333
"16","Silurus_asotus",127.4364,34.85857
"17","Silurus_asotus",121.52878,24.98956
"18","Silurus_asotus",136.81033,35.46799
"19","Silurus_asotus",136.72394,35.39128
"20","Silurus_asotus",136.94756,35.19996
"21","Silurus_asotus",136.62921,35.54834
"22","Silurus_asotus",136.9745,35.48401
"23","Silurus_asotus",136.57391,34.58051
"24","Silurus_asotus",136.94275,35.35164
"25","Silurus_asotus",136.62778,35.47646
"26","Silurus_asotus",136.83209,35.45398
"27","Silurus_asotus",136.70154,35.43895
"28","Silurus_asotus",139.559444,36.243611
"29","Silurus_asotus",110.06,23.4
"30","Silurus_asotus",132.24,44.96
"31","Silurus_asotus",121.17525,23.03801
"32","Silurus_asotus",121.17556,24.78545
"33","Silurus_asotus",120.94604,23.79056
"34","Silurus_asotus",120.61896,24.1221
"35","Silurus_asotus",121.16819,23.01223
"36","Silurus_asotus",121.16325,23.01728
"37","Silurus_asotus",121.21756,24.76788
"38","Silurus_asotus",120.57762,23.79654
"39","Silurus_asotus",120.63523,24.19859
"40","Silurus_asotus",121.09417,24.74791
"41","Silurus_asotus",121.653,25.0685
"42","Silurus_asotus",121.1655,22.97483
"43","Silurus_asotus",120.86564,24.42782
"44","Silurus_asotus",120.66033,23.67331
"45","Silurus_asotus",120.54635,23.52461
"46","Silurus_asotus",120.73939,24.13406
"47","Silurus_asotus",120.66906,24.0819
"48","Silurus_asotus",120.74316,24.18631
"49","Silurus_asotus",121.03617,24.79623
"50","Silurus_asotus",121.609,24.9993
"51","Silurus_asotus",120.80881,23.81371
"52","Silurus_asotus",120.45876,23.11838
"53","Silurus_asotus",121.1441,22.85663
"54","Silurus_asotus",120.55614,23.52712
"55","Silurus_asotus",120.26026,23.17152
"56","Silurus_asotus",120.84388,24.01751
"57","Silurus_asotus",120.89036,23.98984
"58","Silurus_asotus",120.63618,23.78269
"59","Silurus_asotus",120.33794,23.17851
