"","species","lon","lat"
"14060","Solanum_chenopodioides",150.737425,-33.800495
"14061","Solanum_chenopodioides",150.851389,-34.485639
"14097","Solanum_chenopodioides",150.935304,-33.971248
"14105","Solanum_chenopodioides",150.928052,-34.490552
"20367","Solanum_chenopodioides",-0.271231,51.548322
"20770","Solanum_chenopodioides",9.950061,44.132686
"26779","Solanum_chenopodioides",-2.3912346,43.1488909
"27816","Solanum_chenopodioides",-49.735446,-29.359004
"34475","Solanum_chenopodioides",-58.57,-34.06
"34478","Solanum_chenopodioides",-58.26,-31.88
"37183","Solanum_chenopodioides",-49.605556,-28.026667
"40348","Solanum_chenopodioides",150.55,-34.9
"42343","Solanum_chenopodioides",138.753889,-34.872222
"42354","Solanum_chenopodioides",151.195,-31.4961
"42367","Solanum_chenopodioides",144.1375,-37.3083
"42705","Solanum_chenopodioides",2.64,41.74
"56822","Solanum_chenopodioides",-9.1117,42.9186
"57399","Solanum_chenopodioides",-2.0768,43.2932
"57749","Solanum_chenopodioides",0.45,40.76
"58018","Solanum_chenopodioides",3.02,42.83
"58025","Solanum_chenopodioides",1.13,41.17
"58370","Solanum_chenopodioides",2.98,42.37
"58572","Solanum_chenopodioides",2.1,41.3
"58633","Solanum_chenopodioides",2.28,41.7
"58651","Solanum_chenopodioides",0.45,40.94
"58796","Solanum_chenopodioides",2.64,41.74
"63560","Solanum_chenopodioides",150.822883,-33.881191
"63793","Solanum_chenopodioides",151.853765,-30.849744
"63831","Solanum_chenopodioides",151.195,-31.4961
"63839","Solanum_chenopodioides",150.5158,-34.5703
"63842","Solanum_chenopodioides",149.8097,-35.3811
"63879","Solanum_chenopodioides",149.48,-34.8
"71049","Solanum_chenopodioides",172.688867,-40.724537
"71085","Solanum_chenopodioides",173.000536,-41.065201
"71156","Solanum_chenopodioides",175.611808,-39.840192
"71221","Solanum_chenopodioides",172.693601,-40.724549
"71251","Solanum_chenopodioides",170.599371,-45.858441
"71259","Solanum_chenopodioides",173.025846,-41.110914
"71272","Solanum_chenopodioides",172.753744,-40.785022
"71280","Solanum_chenopodioides",172.511319,-43.5149
"71339","Solanum_chenopodioides",175.335416,-41.174873
"71376","Solanum_chenopodioides",172.684352,-40.677701
"71392","Solanum_chenopodioides",172.606131,-43.580069
"71396","Solanum_chenopodioides",172.65417,-43.544809
"71399","Solanum_chenopodioides",172.504844,-43.546218
"71466","Solanum_chenopodioides",168.759878,-45.045044
"71875","Solanum_chenopodioides",-0.007902,51.523589
"71936","Solanum_chenopodioides",-50.431944,-25.895278
"71999","Solanum_chenopodioides",-49.371667,-28.055
"72020","Solanum_chenopodioides",-50.759167,-28.210833
"72024","Solanum_chenopodioides",-53.075833,-33.410556
"72050","Solanum_chenopodioides",-49.464444,-28.048889
"72088","Solanum_chenopodioides",-49.605556,-28.026667
"72099","Solanum_chenopodioides",-49.5775,-27.890556
"72113","Solanum_chenopodioides",-54.470278,-25.620833
"73350","Solanum_chenopodioides",152.386111,-30.504167
"73354","Solanum_chenopodioides",151.866667,-30.533333
"73361","Solanum_chenopodioides",151.496111,-30.641389
"73446","Solanum_chenopodioides",152.15,-30.3
"73469","Solanum_chenopodioides",152.021,-29.151306
"73470","Solanum_chenopodioides",151.416667,-30.483333
"73477","Solanum_chenopodioides",151.051944,-31.567222
"73503","Solanum_chenopodioides",151.195,-31.496111
"73521","Solanum_chenopodioides",151.545556,-30.568333
"73528","Solanum_chenopodioides",149.616667,-36.766667
"73548","Solanum_chenopodioides",151.798889,-30.596944
"73629","Solanum_chenopodioides",152.341667,-30.757778
"73646","Solanum_chenopodioides",151.316944,-30.702778
"73652","Solanum_chenopodioides",150.476111,-31.256389
"73686","Solanum_chenopodioides",151.842222,-30.530278
"73773","Solanum_chenopodioides",151.691667,-30.266667
"73801","Solanum_chenopodioides",152.22275,-30.589306
"74333","Solanum_chenopodioides",-50.759167,-28.210833
"74334","Solanum_chenopodioides",-50.431944,-25.895278
"74335","Solanum_chenopodioides",-49.605556,-28.026667
"74336","Solanum_chenopodioides",-49.371667,-28.055
"74337","Solanum_chenopodioides",-49.5775,-27.890556
"74338","Solanum_chenopodioides",-53.075833,-33.410556
"74339","Solanum_chenopodioides",-49.464444,-28.048889
"78899","Solanum_chenopodioides",6.75503,46.47676
"81601","Solanum_chenopodioides",-82.014,29.688
"85205","Solanum_chenopodioides",145.086556,-37.943639
"85255","Solanum_chenopodioides",149.521389,-37.416111
"85294","Solanum_chenopodioides",150.4761,-31.2564
"85352","Solanum_chenopodioides",144.97625,-37.734878
"85518","Solanum_chenopodioides",148.420861,-36.888389
"85566","Solanum_chenopodioides",-8.62,43
"86287","Solanum_chenopodioides",-8.78,41.51
"86375","Solanum_chenopodioides",-0.65,39.6
"86719","Solanum_chenopodioides",-2.06,43.3
"87226","Solanum_chenopodioides",-0.38,39.68
