"","species","lon","lat"
"12541","Solanum_viarum",-80.576992,32.903083
"12786","Solanum_viarum",-85.87825,30.993889
"12886","Solanum_viarum",-88.2825,31.051
"12939","Solanum_viarum",-89.799611,31.64125
"12942","Solanum_viarum",-89.897778,33.815278
"13197","Solanum_viarum",-72.95,-11.85
"13264","Solanum_viarum",-77.9453,-3.0622
"13272","Solanum_viarum",-77.8817,-1.2881
"19485","Solanum_viarum",-57.416667,-25.283333
"27426","Solanum_viarum",-57.23333,-25.15
"27564","Solanum_viarum",-57.2,-25.133333
"27721","Solanum_viarum",-56.75,-26
"27926","Solanum_viarum",-89.797957,31.646404
"35311","Solanum_viarum",-57.5,-25.5
"35814","Solanum_viarum",-67.9032,-10.4937
"35824","Solanum_viarum",-67.0666,18.4604
"35828","Solanum_viarum",-72.6517,-11.8825
"37095","Solanum_viarum",-76.232147,4.768136
"39088","Solanum_viarum",-57.46666,-25.66666
"39156","Solanum_viarum",-55.52805,-24.13333
"39485","Solanum_viarum",-57.466667,-25.333333
"39544","Solanum_viarum",-57.56666,-25.55
"39646","Solanum_viarum",-81.3615,27.0683
"39795","Solanum_viarum",-83.963889,9.8
"39885","Solanum_viarum",-55.91666,-25.36666
"39886","Solanum_viarum",-57.46666,-25.33333
"40351","Solanum_viarum",-61.41,-15.9
"40511","Solanum_viarum",-48.908406,-26.912117
"41086","Solanum_viarum",-57.45,-25.666667
"41307","Solanum_viarum",-57.433333,-25.666667
"41471","Solanum_viarum",-55.482778,-26.096944
"41622","Solanum_viarum",-118.115,35.128611
"41631","Solanum_viarum",-56.006944,-22.688611
"41632","Solanum_viarum",-57.466667,-25.633333
"41805","Solanum_viarum",-89.897778,33.815278
"42011","Solanum_viarum",-47.712777,-7.125555
"44594","Solanum_viarum",-55.579722,-26.177778
"44770","Solanum_viarum",-66.910004,18.450001
"49916","Solanum_viarum",-83.963889,9.8
"50079","Solanum_viarum",-55.916667,-25.416667
"50410","Solanum_viarum",-55.916667,-25.25
"53349","Solanum_viarum",-72.6992,-11.7856
"53350","Solanum_viarum",-78.05,-3.0206
"54630","Solanum_viarum",-80.646944,32.4125
"62416","Solanum_viarum",-73,-11.6833
"62426","Solanum_viarum",-59.1163,5.20511
"62450","Solanum_viarum",104.989,23.0477
"62528","Solanum_viarum",-48.740278,-23.533611
"62536","Solanum_viarum",-45.474444,-22.693333
"63532","Solanum_viarum",-59.1212,5.20236
"63625","Solanum_viarum",153.344428,-28.787975
"63695","Solanum_viarum",152.519,-27.37
"63727","Solanum_viarum",152.3386,-30.7672
"63797","Solanum_viarum",150.852481,-30.965806
"65340","Solanum_viarum",-58.04,-28.034167
"66651","Solanum_viarum",-57.466667,-25.666667
"66855","Solanum_viarum",-55.528056,-24.133333
"66857","Solanum_viarum",-57.129167,-26.395278
"67127","Solanum_viarum",-52.307583,-24.098639
"70334","Solanum_viarum",-51.015556,-30.276667
"70381","Solanum_viarum",-51.718056,-29.943333
"71888","Solanum_viarum",-59.443417,-10.182264
"71910","Solanum_viarum",-56.826389,-9.344722
"71953","Solanum_viarum",-53.807222,-23.339722
"72031","Solanum_viarum",-53.761944,-23.374167
"72042","Solanum_viarum",-57.032778,-19.485278
"72043","Solanum_viarum",-52.844167,-24.4275
"72073","Solanum_viarum",-51.016389,-30.069722
"72096","Solanum_viarum",-52.745833,-22.7625
