"","species","lon","lat"
"13162","Spartium_junceum",151.109722,-29.771478
"19919","Spartium_junceum",-71.66666,-13.3
"20370","Spartium_junceum",0.7083,43.325
"20498","Spartium_junceum",8.232066,44.096357
"20595","Spartium_junceum",9.95062,44.134972
"20596","Spartium_junceum",7.581197,43.900945
"20872","Spartium_junceum",-79.216667,-3.583333
"20936","Spartium_junceum",0.708467,43.325683
"21215","Spartium_junceum",21.01972,40.10556
"21216","Spartium_junceum",20.96278,39.67611
"22786","Spartium_junceum",22.7425,38.5175
"22788","Spartium_junceum",23.04028,38.54083
"22791","Spartium_junceum",23.03917,38.61694
"22807","Spartium_junceum",22.45583,37.84417
"22812","Spartium_junceum",22.01861,37.57667
"22813","Spartium_junceum",22.64556,38.47528
"22814","Spartium_junceum",22.03694,37.68472
"22816","Spartium_junceum",22.0625,37.56
"22819","Spartium_junceum",22.16222,37.64167
"22822","Spartium_junceum",21.91194,38.00556
"22825","Spartium_junceum",21.91,38.00778
"22827","Spartium_junceum",21.86722,37.70944
"22828","Spartium_junceum",23.33917,38.20917
"22829","Spartium_junceum",22.3975,38.1
"23205","Spartium_junceum",20.71472,38.84611
"23206","Spartium_junceum",21.65889,39.40417
"23207","Spartium_junceum",21.0925,39.13583
"23208","Spartium_junceum",21.04056,39.16861
"23210","Spartium_junceum",20.24222,39.47111
"23796","Spartium_junceum",21.7725,40.49722
"23797","Spartium_junceum",21.68722,40.58556
"23798","Spartium_junceum",21.52917,39.77472
"23799","Spartium_junceum",21.50417,39.75056
"23800","Spartium_junceum",21.46083,40.11417
"23801","Spartium_junceum",21.52167,40.0675
"23802","Spartium_junceum",21.36861,40.15639
"23803","Spartium_junceum",21.52556,40.21278
"23804","Spartium_junceum",21.65528,40.29833
"23805","Spartium_junceum",21.41222,40.34139
"24443","Spartium_junceum",25.27889,41.14167
"24444","Spartium_junceum",25.43722,40.90167
"24445","Spartium_junceum",24.88111,41.14444
"24446","Spartium_junceum",24.93944,41.14583
"25248","Spartium_junceum",21.67778,38.48889
"25249","Spartium_junceum",21.73167,39.06111
"25250","Spartium_junceum",21.25944,38.63722
"25251","Spartium_junceum",21.84167,38.755
"25397","Spartium_junceum",21.71944,38.43639
"25398","Spartium_junceum",21.88028,38.43861
"25400","Spartium_junceum",22,38.48611
"25404","Spartium_junceum",21.51528,38.42972
"25405","Spartium_junceum",21.6225,38.67083
"25406","Spartium_junceum",21.66194,38.62028
"25407","Spartium_junceum",21.53389,38.61389
"25408","Spartium_junceum",21.89667,38.59722
"25409","Spartium_junceum",21.98917,38.48806
"26422","Spartium_junceum",-0.75,38.75
"26773","Spartium_junceum",-0.3211092,38.468814
"27299","Spartium_junceum",-121.8141,36.5908
"27484","Spartium_junceum",-117.48333,33.58333
"35666","Spartium_junceum",-122.466,40.624
"35700","Spartium_junceum",-123.959444,41.15
"36274","Spartium_junceum",28.20184,45.47435
"36933","Spartium_junceum",-73.549139,5.601028
"39468","Spartium_junceum",-91.56083,15.04388
"42732","Spartium_junceum",-0.75,38.75
"42886","Spartium_junceum",-4.61,43.189999
"49997","Spartium_junceum",-78.48388,-0.14944
"50340","Spartium_junceum",-78.53333,0.13333
"51352","Spartium_junceum",35.33,32.95
"51354","Spartium_junceum",35.4,33.02
"51355","Spartium_junceum",35.32,33.07
"51380","Spartium_junceum",35.72,33.25
"51381","Spartium_junceum",35.4,32.9
"51384","Spartium_junceum",35.75,33.28
"51409","Spartium_junceum",35.38,33
"51539","Spartium_junceum",35.16,31.73
"51541","Spartium_junceum",35.73,33.22
"51560","Spartium_junceum",35.77,33.18
"53455","Spartium_junceum",-118.12294,34.2074
"53508","Spartium_junceum",-118.15,34.216667
"53655","Spartium_junceum",-118.429167,34.344722
"53666","Spartium_junceum",-117.95278,34.24
"53681","Spartium_junceum",-117.46189,34.29738
"53693","Spartium_junceum",-117.466667,33.6
"53758","Spartium_junceum",-117.67524,34.17802
"53765","Spartium_junceum",-118.577778,34.554167
"53779","Spartium_junceum",-117.62705,33.71424
"53790","Spartium_junceum",-117.25332,34.27943
"53793","Spartium_junceum",-117.4782,34.31695
"53843","Spartium_junceum",-121.723194,39.80975
"53925","Spartium_junceum",-121.658217,39.9037
"53968","Spartium_junceum",-118.443889,34.376111
"54017","Spartium_junceum",-117.648056,33.717778
"54038","Spartium_junceum",-117.67542,34.19533
"54069","Spartium_junceum",-118.01974,33.996926
"54100","Spartium_junceum",-119.0712,34.3376
"54159","Spartium_junceum",-118.50556,34.128818
"54208","Spartium_junceum",-118.553889,34.602778
"54220","Spartium_junceum",-116.9716051,33.4669918
"54258","Spartium_junceum",-118.6625,34.6
"54268","Spartium_junceum",-117.63318,33.69704
"54273","Spartium_junceum",-117.930556,34.152222
"54337","Spartium_junceum",-118.056651,34.274078
"54409","Spartium_junceum",-118.669449,34.581275
"54421","Spartium_junceum",-117.26373,34.31163
"56589","Spartium_junceum",-79.166,-3.416
"56797","Spartium_junceum",-3.4065,37.1338
"56872","Spartium_junceum",-4.7166,40.6633
"57457","Spartium_junceum",13.3464,42.4264
"57509","Spartium_junceum",-4.4343,38.4777
"57537","Spartium_junceum",-3.5331,42.0619
"57838","Spartium_junceum",-5.34,42.44
"57879","Spartium_junceum",2.99,42.2
"57953","Spartium_junceum",2.6,41.74
"57973","Spartium_junceum",1.93,41.36
"58380","Spartium_junceum",-0.53,41.84
"58555","Spartium_junceum",2.34,41.69
"58676","Spartium_junceum",-0.75,38.75
"58740","Spartium_junceum",1.99,41.32
"58770","Spartium_junceum",2.23,41.64
