"","species","lon","lat"
"12749","Stachys_cretica",46.107278,34.321389
"21384","Stachys_cretica",21.63917,40.77611
"21385","Stachys_cretica",21.45417,40.09556
"21386","Stachys_cretica",20.8825,39.52722
"21883","Stachys_cretica",23.03889,38.89778
"23363","Stachys_cretica",21.17167,39.16083
"23364","Stachys_cretica",21.13111,38.89472
"23365","Stachys_cretica",21.09861,38.88528
"23366","Stachys_cretica",20.73472,38.80944
"23367","Stachys_cretica",21.16917,39.32611
"23368","Stachys_cretica",21.54139,39.36222
"23369","Stachys_cretica",21.1225,39.2125
"23381","Stachys_cretica",20.47889,39.24694
"23383","Stachys_cretica",20.73056,39.17944
"23384","Stachys_cretica",21.0925,39.11972
"23385","Stachys_cretica",20.87889,39.17417
"23386","Stachys_cretica",21.08556,39.10611
"23387","Stachys_cretica",20.7675,39.30333
"23388","Stachys_cretica",20.7825,39.26306
"23389","Stachys_cretica",21.11056,39.13667
"23390","Stachys_cretica",21.24556,39.11056
"23391","Stachys_cretica",20.64972,39.12722
"23398","Stachys_cretica",21.55333,39.95722
"23399","Stachys_cretica",21.63194,40.13611
"23400","Stachys_cretica",21.04278,39.72583
"23405","Stachys_cretica",25.41583,35.04528
"25082","Stachys_cretica",22.25167,37.86139
"25083","Stachys_cretica",22.38139,38.05778
"25084","Stachys_cretica",22.1325,37.90306
"25085","Stachys_cretica",22.40472,37.79778
"25086","Stachys_cretica",22.23306,37.67333
"25087","Stachys_cretica",22.17528,38.12028
"25088","Stachys_cretica",23.31167,38.31
"25089","Stachys_cretica",22.925,38.65444
"25090","Stachys_cretica",21.85944,38.06222
"25091","Stachys_cretica",22.66056,38.42472
"25092","Stachys_cretica",22.19194,37.54972
"25093","Stachys_cretica",23.06111,38.55667
"25094","Stachys_cretica",22.80944,38.49472
"25095","Stachys_cretica",22.72778,38.51167
"25096","Stachys_cretica",23.03639,38.53944
"25097","Stachys_cretica",22.90694,38.50389
"25098","Stachys_cretica",22.9175,38.465
"25099","Stachys_cretica",22.83944,38.3825
"25100","Stachys_cretica",23.13167,38.51694
"25700","Stachys_cretica",21.42083,38.73528
"25701","Stachys_cretica",21.72444,39.02778
"25702","Stachys_cretica",21.84722,38.75833
"25703","Stachys_cretica",21.19972,38.73111
"25704","Stachys_cretica",21.21444,38.6925
"25705","Stachys_cretica",21.20806,38.68722
"25706","Stachys_cretica",21.51639,38.72833
"25707","Stachys_cretica",21.45028,38.635
"25708","Stachys_cretica",21.35111,38.70139
"25709","Stachys_cretica",21.34528,38.71861
"25716","Stachys_cretica",21.60889,38.89083
"25720","Stachys_cretica",21.84889,38.65472
"25721","Stachys_cretica",21.83694,38.74778
"25722","Stachys_cretica",21.62278,38.58861
"25723","Stachys_cretica",21.61139,38.71306
"25724","Stachys_cretica",21.64,38.75139
"25725","Stachys_cretica",21.57417,38.62889
"25726","Stachys_cretica",21.7875,38.40278
"25727","Stachys_cretica",21.87806,38.42028
"25728","Stachys_cretica",21.88944,38.4725
"25729","Stachys_cretica",21.87833,38.49639
"25730","Stachys_cretica",22.03778,38.50528
"25731","Stachys_cretica",21.94667,38.62389
"25732","Stachys_cretica",21.47167,38.665
"25733","Stachys_cretica",21.98917,38.48806
"25734","Stachys_cretica",22,38.48611
"25735","Stachys_cretica",21.66139,38.57889
"25736","Stachys_cretica",21.65722,38.99278
"25737","Stachys_cretica",21.75861,38.87694
"25738","Stachys_cretica",21.86972,38.77306
"25739","Stachys_cretica",21.54472,38.84028
"25740","Stachys_cretica",21.67778,38.48889
"25741","Stachys_cretica",21.53111,38.68639
"25742","Stachys_cretica",21.56583,38.99583
"25743","Stachys_cretica",21.53111,38.74556
"25744","Stachys_cretica",21.435,38.68361
"25745","Stachys_cretica",21.98306,38.62833
"25746","Stachys_cretica",21.93583,38.56528
"25747","Stachys_cretica",21.72194,38.43833
"25748","Stachys_cretica",21.68222,38.45694
"25749","Stachys_cretica",21.81139,38.59722
"25750","Stachys_cretica",21.69417,38.50722
"25751","Stachys_cretica",21.80639,38.56833
"25752","Stachys_cretica",21.48361,38.80278
"25753","Stachys_cretica",21.755,38.3425
"25754","Stachys_cretica",21.89694,38.60056
"25755","Stachys_cretica",21.93778,38.59889
"25756","Stachys_cretica",21.94861,38.52861
"55539","Stachys_cretica",20.592778,40.637222
"55575","Stachys_cretica",22.219167,38.856944
"55583","Stachys_cretica",24.279444,35.3275
"55624","Stachys_cretica",20.64,40.303889
"56560","Stachys_cretica",23.9,35.333
"56561","Stachys_cretica",23.933,35.5
"56562","Stachys_cretica",23.883,35.333
"57445","Stachys_cretica",32.683333,41.266667
"57448","Stachys_cretica",39.416667,39.933333
"78158","Stachys_cretica",37.680028,44.847889
"78292","Stachys_cretica",37.564971,44.739692
"78927","Stachys_cretica",22.16667,41.05
"81321","Stachys_cretica",25.475555,35.06778
"87821","Stachys_cretica",15.9,41.67
"87847","Stachys_cretica",24.25,35.36
"139813","Stachys_cretica",29.436944,39.713889
"144207","Stachys_cretica",25.49,35.2
"144440","Stachys_cretica",24.98,35.22
