"","species","lon","lat"
"12767","Tagetes_minuta",-80.818972,33.946082
"13135","Tagetes_minuta",150.096957,-32.19332
"13247","Tagetes_minuta",-63.68,-17.52
"14177","Tagetes_minuta",120.926667,24.244722
"14178","Tagetes_minuta",37.894167,-4.351111
"14179","Tagetes_minuta",36.606111,-3.357778
"14183","Tagetes_minuta",35.354167,-3.21
"19942","Tagetes_minuta",12.97052,55.83477
"19946","Tagetes_minuta",12.69387,56.43626
"27841","Tagetes_minuta",26.637333,-30.683667
"27889","Tagetes_minuta",-61.8133,-16.7686
"34481","Tagetes_minuta",-57.36,-35.71
"34613","Tagetes_minuta",46.633333,-24.516667
"34718","Tagetes_minuta",4.631483,52.621783
"37009","Tagetes_minuta",-75.705833,5.424444
"37181","Tagetes_minuta",-49.406667,-28.080278
"37199","Tagetes_minuta",-44.389167,-22.276389
"37203","Tagetes_minuta",-41.100556,-20.519167
"39104","Tagetes_minuta",-63.93333,-18.16666
"39177","Tagetes_minuta",-63.68333,-17.51666
"39287","Tagetes_minuta",-57.09,-25.291944
"39539","Tagetes_minuta",-63.279444,-18.009167
"39603","Tagetes_minuta",-63.467222,-19.053611
"39649","Tagetes_minuta",35.391667,-4.477222
"39786","Tagetes_minuta",-64.476944,-19.711389
"39833","Tagetes_minuta",35.95,-4.85
"39940","Tagetes_minuta",11.67432,58.16045
"40342","Tagetes_minuta",-40.67,-11.08
"40358","Tagetes_minuta",-41.22,-10.35
"40359","Tagetes_minuta",-39.25,-14.25
"42209","Tagetes_minuta",148.3944,-36.9422
"42210","Tagetes_minuta",146.916461,-36.683724
"42230","Tagetes_minuta",149.746722,-24.821458
"42362","Tagetes_minuta",147.4119,-24.8472
"42535","Tagetes_minuta",135.79846,34.40693
"42790","Tagetes_minuta",2.11,41.42
"43917","Tagetes_minuta",148.088056,-21.070278
"44225","Tagetes_minuta",148.536351,-20.283496
"44277","Tagetes_minuta",148.269847,-24.962558
"44318","Tagetes_minuta",147.8249,-24.88
"49868","Tagetes_minuta",-59.7,-22.6
"49929","Tagetes_minuta",37.89888,-4.36027
"50051","Tagetes_minuta",-57.466667,-25.333333
"50111","Tagetes_minuta",36.60611,-3.35777
"50230","Tagetes_minuta",-63.93333,-18.16666
"50414","Tagetes_minuta",31.533333,-1.033333
"50443","Tagetes_minuta",-39.776111,-18.521111
"51383","Tagetes_minuta",35.76,33.24
"53303","Tagetes_minuta",145.4325,-6.11774
"57103","Tagetes_minuta",0.7655,40.9427
"57689","Tagetes_minuta",36.5472,-3.2558
"57935","Tagetes_minuta",2.42,41.7
"58250","Tagetes_minuta",0.57,40.76
"58259","Tagetes_minuta",1.22,41.32
"58458","Tagetes_minuta",-9.12,42.91
"58535","Tagetes_minuta",0.46,40.58
"58563","Tagetes_minuta",0.24,40.47
"58606","Tagetes_minuta",0.91,41.22
"58775","Tagetes_minuta",0.8,41.12
"62088","Tagetes_minuta",-67.406639,-26.05925
"62311","Tagetes_minuta",-63.935556,-18.142222
"62470","Tagetes_minuta",12.97207,55.83641
"62671","Tagetes_minuta",15.28072,37.847204
"63598","Tagetes_minuta",151.9369,-28.8325
"63637","Tagetes_minuta",145.5867,-17.01
"63644","Tagetes_minuta",152.45,-28.33
"63765","Tagetes_minuta",150.7485,-31.82283
"63806","Tagetes_minuta",150.08,-36.32
"64975","Tagetes_minuta",-38.7425,-8.741667
"65037","Tagetes_minuta",-37.431389,-7.419444
"65061","Tagetes_minuta",-37.621944,-8.622778
"65064","Tagetes_minuta",-41.000833,-11.011667
"65077","Tagetes_minuta",-40.564444,-11.559167
"65152","Tagetes_minuta",-36.918611,-8.931389
"65160","Tagetes_minuta",-41.826111,-11.817222
"65188","Tagetes_minuta",-39.425278,-10.426667
"65189","Tagetes_minuta",-39.601944,-7.616389
"65223","Tagetes_minuta",-39.5,-13.5
"65226","Tagetes_minuta",-38.983056,-11.976389
"65250","Tagetes_minuta",-40.666667,-11.666667
"65371","Tagetes_minuta",-40.6725,-11.670278
"65381","Tagetes_minuta",-39.813333,-13.807222
"65417","Tagetes_minuta",-37.344444,-7.335
"65421","Tagetes_minuta",-41.216667,-10.216667
"65434","Tagetes_minuta",-39.965556,-13.964444
"65466","Tagetes_minuta",-41.000833,-11.011111
"65555","Tagetes_minuta",-41.206667,-11.2075
"65561","Tagetes_minuta",-43.038611,-15.04
"66045","Tagetes_minuta",12.96918,55.83519
"67348","Tagetes_minuta",-41.826111,-11.272222
"67464","Tagetes_minuta",-41.333333,-13.333333
"67774","Tagetes_minuta",5.950633,51.641483
"68942","Tagetes_minuta",33.637438,-10.710358
"70319","Tagetes_minuta",-50.144444,-29.047778
"70806","Tagetes_minuta",67.019997,30.209999
"71293","Tagetes_minuta",175.143942,-37.395452
"71938","Tagetes_minuta",-55.261944,-29.531944
"71962","Tagetes_minuta",-47.886667,-22.505833
"72037","Tagetes_minuta",-52.270556,-31.579167
"72074","Tagetes_minuta",-51.673889,-24.895833
"72092","Tagetes_minuta",-53.5225,-30.551111
"72104","Tagetes_minuta",-50.250833,-30.237222
"73362","Tagetes_minuta",151.916667,-30.133333
"73391","Tagetes_minuta",152.577778,-30.1
"73401","Tagetes_minuta",151.416667,-30.483333
"73441","Tagetes_minuta",151.3475,-25.946389
"73462","Tagetes_minuta",150.9,-31.866667
"73590","Tagetes_minuta",152.544444,-30.536111
"73602","Tagetes_minuta",150.343611,-33.559167
"73607","Tagetes_minuta",152.691667,-30.1875
"73840","Tagetes_minuta",150.916111,-32.328889
"74059","Tagetes_minuta",149.647049,-35.245547
"77072","Tagetes_minuta",-110.124,31.3582
"78054","Tagetes_minuta",-109.5142,28.9011
"79069","Tagetes_minuta",-80.78,33.95
"79091","Tagetes_minuta",-78.37,0.05
"85237","Tagetes_minuta",151.385,-25.9875
"85383","Tagetes_minuta",151.7311,-32.3158
"85586","Tagetes_minuta",0,40.21
"86150","Tagetes_minuta",0.31,40.61
"86656","Tagetes_minuta",-0.61,40.13
"86850","Tagetes_minuta",0.24,40.47
"87098","Tagetes_minuta",0.01,40.03
"87164","Tagetes_minuta",-0.41,38.67
"87945","Tagetes_minuta",-0.23,40.26
"88532","Tagetes_minuta",0.11,40.51
"88645","Tagetes_minuta",2.34,41.5
"88808","Tagetes_minuta",0.07,38.77
"89036","Tagetes_minuta",-0.72,39.86
"93407","Tagetes_minuta",138.705833,36.045833
"93478","Tagetes_minuta",138.994444,36.286389
"93648","Tagetes_minuta",139.459722,36.322778
"95050","Tagetes_minuta",-63.09,-17.45
"96131","Tagetes_minuta",36.894,0.282
"96160","Tagetes_minuta",36.912,0.42
"132683","Tagetes_minuta",127.7895,34.70277
"132686","Tagetes_minuta",127.73945,34.78252
"136079","Tagetes_minuta",139.41992,35.62297
"136210","Tagetes_minuta",-64.476944,-19.711389
"136221","Tagetes_minuta",37.92666,-4.22555
"136263","Tagetes_minuta",-60.11666,-22.66666
"136415","Tagetes_minuta",37.99416,-4.25833
"136992","Tagetes_minuta",-63.2794,-18.0092
