"","species","lon","lat"
"13213","Talipariti_tiliaceum",-76.9428,38.8428
"19536","Talipariti_tiliaceum",-83.34,8.42
"19866","Talipariti_tiliaceum",48.95555,-14.15083
"20812","Talipariti_tiliaceum",124.95,6.316666
"27693","Talipariti_tiliaceum",-76.45,8.533333
"34521","Talipariti_tiliaceum",114.5833,4.4167
"34563","Talipariti_tiliaceum",9.574972,0.86975
"34622","Talipariti_tiliaceum",115.616667,5.15
"34638","Talipariti_tiliaceum",9.836111,2.602222
"34782","Talipariti_tiliaceum",134.5,-6.5
"34844","Talipariti_tiliaceum",10.416667,1.541667
"35224","Talipariti_tiliaceum",-85.1,9.583333
"35821","Talipariti_tiliaceum",-94.9441,16.5533
"37471","Talipariti_tiliaceum",123.1,0.533333
"37473","Talipariti_tiliaceum",115.9,5.533333
"37724","Talipariti_tiliaceum",120.315,23.792222
"38143","Talipariti_tiliaceum",120.781036,24.607091
"38438","Talipariti_tiliaceum",120.481389,24.126667
"38460","Talipariti_tiliaceum",120.782402,24.616925
"38561","Talipariti_tiliaceum",120.372222,23.781389
"39830","Talipariti_tiliaceum",9.40375,0.562694
"40324","Talipariti_tiliaceum",9.27,3.98
"42155","Talipariti_tiliaceum",-79.2159,22.3032
"44036","Talipariti_tiliaceum",152.861671,-26.878955
"44193","Talipariti_tiliaceum",152.667722,-25.648411
"44470","Talipariti_tiliaceum",149.064262,-21.026925
"44668","Talipariti_tiliaceum",-48.32,-25.27
"50175","Talipariti_tiliaceum",11.01666,-3.78861
"50253","Talipariti_tiliaceum",9.80005,-0.01682
"50405","Talipariti_tiliaceum",-76.45,8.533333
"51883","Talipariti_tiliaceum",130.831876,-12.412547
"52283","Talipariti_tiliaceum",127.16467,-8.46104
"52355","Talipariti_tiliaceum",125.99413,-9.016179
"52393","Talipariti_tiliaceum",125.509444,-8.990556
"52398","Talipariti_tiliaceum",125.335896,-9.299623
"52653","Talipariti_tiliaceum",136.882355,-12.398877
"52713","Talipariti_tiliaceum",132.222287,-12.196998
"53109","Talipariti_tiliaceum",127.117,-8.473
"53204","Talipariti_tiliaceum",130.95996,-12.491684
"56534","Talipariti_tiliaceum",101.183,6.533
"61056","Talipariti_tiliaceum",-85.682131,10.808559
"61130","Talipariti_tiliaceum",-84.6965,9.867694
"61136","Talipariti_tiliaceum",-85.764442,10.904344
"61229","Talipariti_tiliaceum",-85.744528,10.902889
"61354","Talipariti_tiliaceum",-85.793306,10.908944
"62200","Talipariti_tiliaceum",-66.08,18.1225
"62567","Talipariti_tiliaceum",-44.040556,-22.959722
"62571","Talipariti_tiliaceum",-47.074444,-24.443056
"63818","Talipariti_tiliaceum",153.4289,-29.0156
"67331","Talipariti_tiliaceum",-35.205556,-5.8175
"67352","Talipariti_tiliaceum",-36.726111,-5.408333
"67359","Talipariti_tiliaceum",-35.2925,-5.471111
"67360","Talipariti_tiliaceum",-35.208333,-5.844722
"67673","Talipariti_tiliaceum",100.645,4.283833
"67861","Talipariti_tiliaceum",102.82,17.967167
"67877","Talipariti_tiliaceum",117.033333,-1.033333
"67931","Talipariti_tiliaceum",101.424333,2.771333
"67951","Talipariti_tiliaceum",116.066667,-2.666667
"68034","Talipariti_tiliaceum",9.35,0.333333
"68083","Talipariti_tiliaceum",92.166667,21.5
"68897","Talipariti_tiliaceum",49.814722,-15.435555
"68958","Talipariti_tiliaceum",-15.033333,11.238888
"69715","Talipariti_tiliaceum",-49.486111,-28.935278
"70847","Talipariti_tiliaceum",153.100006,-26.6
"70913","Talipariti_tiliaceum",113.620003,22.42
"72053","Talipariti_tiliaceum",-51.023056,-30.065556
"73356","Talipariti_tiliaceum",131.333333,-12.65
"73382","Talipariti_tiliaceum",152.816667,-25.766667
"73579","Talipariti_tiliaceum",152.416667,-27.25
"73600","Talipariti_tiliaceum",152.25,-24.733333
"73704","Talipariti_tiliaceum",152.966667,-26.9
"73709","Talipariti_tiliaceum",150.593333,-23.599167
"73722","Talipariti_tiliaceum",153,-30.583333
"73761","Talipariti_tiliaceum",153.421111,-27.884444
"74788","Talipariti_tiliaceum",109.65,28.72
"77366","Talipariti_tiliaceum",-111.05958,27.95044
"77947","Talipariti_tiliaceum",-159.57596,22.22011
