"","species","lon","lat"
"54276","Taraxacum_laevigatum",-123.74245,40.37909
"92675","Taraxacum_laevigatum",-98.416664,38.095833
"92717","Taraxacum_laevigatum",-97.004013,39.27193
"92778","Taraxacum_laevigatum",-96.082222,37.141111
"92854","Taraxacum_laevigatum",-96.5917,38.3667
"92872","Taraxacum_laevigatum",-100.959378,38.851104
"93073","Taraxacum_laevigatum",-97.012993,39.219474
"93076","Taraxacum_laevigatum",-99.726944,35.596389
"93167","Taraxacum_laevigatum",-102.090836,39.462502
"312308","Taraxacum_laevigatum",-95.281708,38.617283
"312309","Taraxacum_laevigatum",-95.433334,38.933334
"312311","Taraxacum_laevigatum",-95.140038,38.024257
"312347","Taraxacum_laevigatum",-97.702774,38.609722
"312348","Taraxacum_laevigatum",-99.015833,39.164167
"312390","Taraxacum_laevigatum",-94.681389,38.088056
"312411","Taraxacum_laevigatum",-109.150001,39.779167
"312438","Taraxacum_laevigatum",-94.964632,38.542031
"312454","Taraxacum_laevigatum",-97.8082,38.7021
"312517","Taraxacum_laevigatum",-97.271128,37.602588
"312534","Taraxacum_laevigatum",-97.352815,38.919612
"312568","Taraxacum_laevigatum",-99.823714,39.636929
"312580","Taraxacum_laevigatum",-96.043333,37.459722
"312608","Taraxacum_laevigatum",-98.288041,38.152055
"312628","Taraxacum_laevigatum",-105.104202,38.208302
"312637","Taraxacum_laevigatum",-100.479474,39.433978
"312682","Taraxacum_laevigatum",-107.160347,40.645169
"312712","Taraxacum_laevigatum",-100.256946,39.422508
"312721","Taraxacum_laevigatum",-103.465279,39.133057
"312814","Taraxacum_laevigatum",-97.308092,39.572878
"313037","Taraxacum_laevigatum",-100.906291,39.422832
"313074","Taraxacum_laevigatum",-96.04706,39.274011
"313106","Taraxacum_laevigatum",-111.133725,45.047022
"313131","Taraxacum_laevigatum",-97.779346,38.247025
"313146","Taraxacum_laevigatum",-96.638162,38.042036
"313251","Taraxacum_laevigatum",-97.273725,39.58173
"313259","Taraxacum_laevigatum",-114.581222,43.79895
"313304","Taraxacum_laevigatum",-99.719444,35.569168
"313447","Taraxacum_laevigatum",-97.409721,38.549999
"352166","Taraxacum_laevigatum",135.383,34.783298
"352185","Taraxacum_laevigatum",135.2,34.866699
"352539","Taraxacum_laevigatum",135.117,34.966702
"438932","Taraxacum_laevigatum",-121.32,44.05
"438945","Taraxacum_laevigatum",-121.3211,44.0541
"471573","Taraxacum_laevigatum",-103.6226,43.8706
