"","species","lon","lat"
"13325","Tithonia_diversifolia",-89.683,14.133
"13416","Tithonia_diversifolia",-93.2506,15.91722
"13490","Tithonia_diversifolia",-100.246,17.95442
"13610","Tithonia_diversifolia",-89.15,14.333
"13621","Tithonia_diversifolia",-92.056,17.239
"13705","Tithonia_diversifolia",-93.6089,16.15194
"13712","Tithonia_diversifolia",-100.374,19.421
"13840","Tithonia_diversifolia",-104.33556,19.6525
"13844","Tithonia_diversifolia",-100.965,18.52342
"13888","Tithonia_diversifolia",-79.3578,9.2381
"19564","Tithonia_diversifolia",-91.73305,15.8375
"19585","Tithonia_diversifolia",-66.896667,10.545
"19630","Tithonia_diversifolia",-52.33333,4.93333
"19868","Tithonia_diversifolia",-92.37,16.89
"27387","Tithonia_diversifolia",-82.95,9.51
"27395","Tithonia_diversifolia",-90.1351,15.9543
"27409","Tithonia_diversifolia",-76.61333,3.43027
"27840","Tithonia_diversifolia",-81.52,27.82
"34586","Tithonia_diversifolia",30.275556,-23.050278
"34652","Tithonia_diversifolia",142.976111,-6.055
"34708","Tithonia_diversifolia",11.601167,-1.629667
"34825","Tithonia_diversifolia",103.71,20.05
"35746","Tithonia_diversifolia",-105.991667,24.708333
"35829","Tithonia_diversifolia",-70.2714,9.4275
"37046","Tithonia_diversifolia",-76.636861,2.650722
"37050","Tithonia_diversifolia",-76.486944,2.881778
"37075","Tithonia_diversifolia",-76.113139,1.8775
"37401","Tithonia_diversifolia",10.416667,6.183333
"38069","Tithonia_diversifolia",120.605501,23.764154
"38285","Tithonia_diversifolia",120.447924,24.118724
"38395","Tithonia_diversifolia",120.738177,23.580587
"38483","Tithonia_diversifolia",120.594313,23.705061
"38519","Tithonia_diversifolia",120.740278,24.1325
"38690","Tithonia_diversifolia",120.454167,24.125278
"38695","Tithonia_diversifolia",120.433889,24.098056
"38696","Tithonia_diversifolia",120.390833,24.015556
"38723","Tithonia_diversifolia",120.844811,24.600567
"38738","Tithonia_diversifolia",120.741667,23.068056
"38739","Tithonia_diversifolia",120.839444,23.265556
"39178","Tithonia_diversifolia",-88.943611,15.716111
"39198","Tithonia_diversifolia",-90.530833,14.442222
"39317","Tithonia_diversifolia",-88.199444,13.7625
"39398","Tithonia_diversifolia",-86.55083,13.42861
"39524","Tithonia_diversifolia",-93.473611,16.368889
"39668","Tithonia_diversifolia",-98.152222,17.272778
"39880","Tithonia_diversifolia",-52.473583,4.548361
"39952","Tithonia_diversifolia",-88.3749095,18.5142123
"39959","Tithonia_diversifolia",-88.5884643,18.3581992
"39963","Tithonia_diversifolia",-88.391667,18.675
"39987","Tithonia_diversifolia",-88.1329058,19.4006511
"39995","Tithonia_diversifolia",-89.859722,20.541667
"40306","Tithonia_diversifolia",11.58,3.63
"40343","Tithonia_diversifolia",147.03,-6.71
"44217","Tithonia_diversifolia",152.9594,-27.406738
"49853","Tithonia_diversifolia",-89.573889,13.811389
"50157","Tithonia_diversifolia",-98.65233,16.82255
"50354","Tithonia_diversifolia",49.240556,-12.785278
"50368","Tithonia_diversifolia",-88.199444,13.762778
"52196","Tithonia_diversifolia",125.92643,-8.77558
"52295","Tithonia_diversifolia",131.05427,-12.5118
"52692","Tithonia_diversifolia",125.446186,-8.727347
"52974","Tithonia_diversifolia",145.5636,-17.1567
"54523","Tithonia_diversifolia",-43.4875,-19.946389
"61201","Tithonia_diversifolia",-83.958333,9.488889
"62303","Tithonia_diversifolia",-66.762167,18.157833
"62362","Tithonia_diversifolia",-97.4268,20.0607
"62388","Tithonia_diversifolia",-77.47,-0.75
"63686","Tithonia_diversifolia",152.1483,-25.6661
"63720","Tithonia_diversifolia",151.459822,-32.821661
"64881","Tithonia_diversifolia",-49.5,-28.620003
"65005","Tithonia_diversifolia",-47.52,-14.517222
"65063","Tithonia_diversifolia",-61.289722,-5.295278
"65143","Tithonia_diversifolia",-41.418611,-12.430556
"65144","Tithonia_diversifolia",-41.513056,-12.511667
"65175","Tithonia_diversifolia",-41.150833,-11.152778
"65230","Tithonia_diversifolia",-41.415556,-13.408611
"65248","Tithonia_diversifolia",-39.3925,-7.393611
"65354","Tithonia_diversifolia",-41.418333,-12.430278
"67459","Tithonia_diversifolia",-35.451667,-5.683056
"67636","Tithonia_diversifolia",2.666667,6.566667
"68063","Tithonia_diversifolia",115.15,-8.3
