"","species","lon","lat"
"1","Trichomycterus_knerii",-72.41572,5.37168
"2","Trichomycterus_knerii",-71.765306,6.502583
"3","Trichomycterus_knerii",-72.111333,5.799278
"4","Trichomycterus_knerii",-71.939611,6.269833
"5","Trichomycterus_knerii",-72.210639,5.791778
"6","Trichomycterus_knerii",-72.105611,5.7995
"7","Trichomycterus_knerii",-71.765306,6.502583
"8","Trichomycterus_knerii",-72.100056,5.822139
"9","Trichomycterus_knerii",-72.67,5
"10","Trichomycterus_knerii",-72.69,5.01
"11","Trichomycterus_knerii",-72.7,5.02
"12","Trichomycterus_knerii",-72.67,4.93
"13","Trichomycterus_knerii",-72.68,4.93
"14","Trichomycterus_knerii",-72.69,5.02
