"","species","lon","lat"
"20447","Urospermum_picroides",9.40063,44.264
"20456","Urospermum_picroides",9.73815,44.099732
"20605","Urospermum_picroides",9.656137,44.146296
"20742","Urospermum_picroides",9.794284,44.064094
"20749","Urospermum_picroides",9.787281,44.073695
"21249","Urospermum_picroides",22.94389,38.39111
"21250","Urospermum_picroides",23.05333,38.37611
"21251","Urospermum_picroides",22.92444,38.30556
"21252","Urospermum_picroides",23.33361,38.26611
"21253","Urospermum_picroides",23.2425,38.33361
"21254","Urospermum_picroides",22.03611,38.27639
"21255","Urospermum_picroides",23.23083,38.13361
"21256","Urospermum_picroides",22.26583,38.16722
"21257","Urospermum_picroides",22.24056,38.17722
"21258","Urospermum_picroides",22.285,38.12139
"21259","Urospermum_picroides",22.08972,38.20472
"21260","Urospermum_picroides",22.09417,38.225
"21261","Urospermum_picroides",22.17806,38.11194
"21262","Urospermum_picroides",22.23444,38.16917
"21264","Urospermum_picroides",22.02583,38.25361
"21265","Urospermum_picroides",22.39861,38.12
"21266","Urospermum_picroides",22.05222,38.12083
"21267","Urospermum_picroides",22.01194,38.24778
"21268","Urospermum_picroides",21.8925,38.035
"21269","Urospermum_picroides",21.91,38.00778
"21270","Urospermum_picroides",21.87917,37.705
"21271","Urospermum_picroides",21.86306,37.75778
"21272","Urospermum_picroides",21.87861,37.74389
"21273","Urospermum_picroides",21.9425,37.63306
"21274","Urospermum_picroides",22.13361,37.81806
"21275","Urospermum_picroides",21.78306,37.63889
"21276","Urospermum_picroides",21.96417,38.01583
"21283","Urospermum_picroides",22.16778,37.65167
"21284","Urospermum_picroides",22.03694,37.68472
"21285","Urospermum_picroides",22.05917,37.58333
"21286","Urospermum_picroides",22.11472,37.45417
"21287","Urospermum_picroides",22.12194,37.49333
"21288","Urospermum_picroides",22.38667,37.85333
"21295","Urospermum_picroides",21.92306,38.0475
"21298","Urospermum_picroides",21.90111,38.0975
"21300","Urospermum_picroides",21.83972,38.09472
"21302","Urospermum_picroides",21.87778,38.03917
"21303","Urospermum_picroides",22.12944,37.89861
"21304","Urospermum_picroides",22.04639,38.02833
"21305","Urospermum_picroides",22.07278,37.83028
"21306","Urospermum_picroides",22.1325,37.90306
"21307","Urospermum_picroides",22.10972,37.89889
"21308","Urospermum_picroides",22.1825,37.79361
"21309","Urospermum_picroides",22.13806,37.94333
"21310","Urospermum_picroides",22.19611,37.84444
"21311","Urospermum_picroides",22.21944,37.73056
"21312","Urospermum_picroides",22.02611,37.7975
"21313","Urospermum_picroides",22.22972,37.86167
"21314","Urospermum_picroides",21.95917,37.75944
"21315","Urospermum_picroides",21.98722,37.76778
"21316","Urospermum_picroides",22.15611,37.8475
"21317","Urospermum_picroides",22.13194,37.82528
"21318","Urospermum_picroides",22.005,38.04528
"21348","Urospermum_picroides",22.86861,38.44694
