"","species","lon","lat"
"13179","Urtica_chamaedryoides",-97.6512,19.7829
"13533","Urtica_chamaedryoides",-96.93825,19.62069
"13666","Urtica_chamaedryoides",-93.1046,17.19039
"27647","Urtica_chamaedryoides",-90.230278,37.803333
"35452","Urtica_chamaedryoides",-89.44888,36.54527
"35819","Urtica_chamaedryoides",-97.548,19.9333
"37163","Urtica_chamaedryoides",-90.607412,34.595506
"37164","Urtica_chamaedryoides",-90.608408,34.594967
"39217","Urtica_chamaedryoides",-89.25527,36.59416
"40247","Urtica_chamaedryoides",-91.178446,33.977673
"40248","Urtica_chamaedryoides",-91.103933,33.162475
"44643","Urtica_chamaedryoides",-97.045695,30.495104
"64052","Urtica_chamaedryoides",-87.625736,34.794203
"64053","Urtica_chamaedryoides",-86.619954,34.575852
"64054","Urtica_chamaedryoides",-86.130757,34.615954
"68605","Urtica_chamaedryoides",-96.945306,19.583083
"71534","Urtica_chamaedryoides",-97.924933,29.495967
"71557","Urtica_chamaedryoides",-98.14135,29.640967
"71662","Urtica_chamaedryoides",-98.159472,29.336222
"71761","Urtica_chamaedryoides",-97.98572,29.41254
"71779","Urtica_chamaedryoides",-98.14195,29.640717
"71784","Urtica_chamaedryoides",-97.92495,29.495917
"83862","Urtica_chamaedryoides",-108.933333,28.377778
"92843","Urtica_chamaedryoides",-99.474637,29.213835
"92875","Urtica_chamaedryoides",-95.24331,37.55361
"134053","Urtica_chamaedryoides",-82.0326,29.67305
"134469","Urtica_chamaedryoides",-82.0434,29.211217
"136909","Urtica_chamaedryoides",-97.5435,20.03
"139950","Urtica_chamaedryoides",-100.140833,25.3
"141131","Urtica_chamaedryoides",-99.924439,24.105278
"141132","Urtica_chamaedryoides",-100.004667,20.393
"143985","Urtica_chamaedryoides",-111.841667,24.958333
"158565","Urtica_chamaedryoides",-108.7875,28.391667
"161433","Urtica_chamaedryoides",-94.2906,36.6253
"161483","Urtica_chamaedryoides",-89.455556,36.5475
"161647","Urtica_chamaedryoides",-89.415111,36.546667
"161839","Urtica_chamaedryoides",-89.42221,36.53474
"179820","Urtica_chamaedryoides",-86.649718,35.76349
"179827","Urtica_chamaedryoides",-91.808018,32.67651
"180470","Urtica_chamaedryoides",-99.04806,30.87306
"183238","Urtica_chamaedryoides",-90.462778,30.024722
"183252","Urtica_chamaedryoides",-90.1681,29.7986
"183370","Urtica_chamaedryoides",-91.16992,30.36981
"183426","Urtica_chamaedryoides",-90.927167,30.181
"183440","Urtica_chamaedryoides",-90.159917,29.836861
"183461","Urtica_chamaedryoides",-91.183333,30.383333
"183520","Urtica_chamaedryoides",-91.032862,30.810447
"203439","Urtica_chamaedryoides",-91.1083,30.2644
"203469","Urtica_chamaedryoides",-91.1487,30.36535
"203679","Urtica_chamaedryoides",-99.8,26.033
"204244","Urtica_chamaedryoides",-97.7225,19.9223
"204314","Urtica_chamaedryoides",-85.51149,36.33116
"213183","Urtica_chamaedryoides",-91.28956,33.05262
"214517","Urtica_chamaedryoides",-97.5512,19.9377
"282320","Urtica_chamaedryoides",-97.531944,20.705
"282395","Urtica_chamaedryoides",-99.808333,26.041667
"282407","Urtica_chamaedryoides",-99.2025,20.889167
"283934","Urtica_chamaedryoides",-100.374,19.421
"288891","Urtica_chamaedryoides",-97.5305,33.3352
"289092","Urtica_chamaedryoides",-97.4827,32.8545
"289254","Urtica_chamaedryoides",-94.9416,33.7863
"292911","Urtica_chamaedryoides",-97.37433,28.65361
"292941","Urtica_chamaedryoides",-98.191196,26.51191
"293019","Urtica_chamaedryoides",-97.79892,27.51075
"293066","Urtica_chamaedryoides",-98.15067,30.50305
"293095","Urtica_chamaedryoides",-100.9,30.3
"293104","Urtica_chamaedryoides",-99.4,25.89861
"293118","Urtica_chamaedryoides",-97.15872,30.03997
"293180","Urtica_chamaedryoides",-98.29157,30.54978
"293219","Urtica_chamaedryoides",-98.77917,26.42167
"293234","Urtica_chamaedryoides",-97.91492,26.89543
"293404","Urtica_chamaedryoides",-97.76028,27.43528
"293546","Urtica_chamaedryoides",-99.80617,30.45156
"294220","Urtica_chamaedryoides",-97.53056,31.20389
"294243","Urtica_chamaedryoides",-108.93333,28.37778
"294305","Urtica_chamaedryoides",-98.31532,31.23998
"294306","Urtica_chamaedryoides",-98.36897,26.85975
"294315","Urtica_chamaedryoides",-98.77694,28.11667
"294332","Urtica_chamaedryoides",-97.045695,30.495104
"294347","Urtica_chamaedryoides",-97.82078,26.32296
"294373","Urtica_chamaedryoides",-97.39031,25.85142
"294406","Urtica_chamaedryoides",-99.35188,27.13368
"294456","Urtica_chamaedryoides",-97.03933,30.49317
"294518","Urtica_chamaedryoides",-97.76333,27.44
"294545","Urtica_chamaedryoides",-99.5994,29.53178
"294598","Urtica_chamaedryoides",-98.7307,26.67112
"294605","Urtica_chamaedryoides",-98.16167,29.09833
"294680","Urtica_chamaedryoides",-99.50135,30.11108
"295567","Urtica_chamaedryoides",-89.4333,37.3167
"295675","Urtica_chamaedryoides",-89.4,31.35
"300244","Urtica_chamaedryoides",-95.833565,31.681299
"300254","Urtica_chamaedryoides",-95.978292,31.185384
"300289","Urtica_chamaedryoides",-99.50135,30.11108
"300303","Urtica_chamaedryoides",-98.32267,31.24002
"300321","Urtica_chamaedryoides",-98.8525,19.501111
"303762","Urtica_chamaedryoides",-89.1325,36.877778
"312459","Urtica_chamaedryoides",-94.268613,33.821054
"312618","Urtica_chamaedryoides",-95.2799,37.5681
"313034","Urtica_chamaedryoides",-99.4725,29.220556
"313086","Urtica_chamaedryoides",-91.485901,36.313824
"313234","Urtica_chamaedryoides",-95.161892,37.465658
"313351","Urtica_chamaedryoides",-95.221685,37.281915
"327856","Urtica_chamaedryoides",-88.8778,32.2973
"327904","Urtica_chamaedryoides",-90.084333,32.867667
"334859","Urtica_chamaedryoides",-94.39377,33.71846
"335031","Urtica_chamaedryoides",-91.105446,34.081825
"335045","Urtica_chamaedryoides",-91.40711,36.24763
"335048","Urtica_chamaedryoides",-93.03924,35.12952
"335052","Urtica_chamaedryoides",-92.73678,34.60657
"344147","Urtica_chamaedryoides",-98.98128,27.33108
"344424","Urtica_chamaedryoides",-96.08472,28.63556
"344484","Urtica_chamaedryoides",-98.13092,27.19367
"344528","Urtica_chamaedryoides",-97.61528,26.02028
"344631","Urtica_chamaedryoides",-98.54158,29.9775
"344652","Urtica_chamaedryoides",-98.63722,28.71472
"344863","Urtica_chamaedryoides",-101.17597,29.97768
"344918","Urtica_chamaedryoides",-96.00447,33.0695
"349592","Urtica_chamaedryoides",-100.288333,19.667778
"349744","Urtica_chamaedryoides",-66.41666,-17.66666
"350351","Urtica_chamaedryoides",-93.1275,37.185
"351395","Urtica_chamaedryoides",-99.4725,29.2206
"368067","Urtica_chamaedryoides",-87.68,34.77
"368206","Urtica_chamaedryoides",-88.38,30.6
"369285","Urtica_chamaedryoides",-90.710278,32.9075
"369363","Urtica_chamaedryoides",-90.48006,32.37072
"369372","Urtica_chamaedryoides",-90.085,32.86833
"369410","Urtica_chamaedryoides",-91.0997,31.335
"369413","Urtica_chamaedryoides",-90.971,31.329
"369469","Urtica_chamaedryoides",-90.07176,32.49046
"369528","Urtica_chamaedryoides",-88.8778,32.2973
