"","species","lon","lat"
"20232","Vallisneria_spiralis",114.05,22.54
"34562","Vallisneria_spiralis",4.75595,51.776333
"34689","Vallisneria_spiralis",4.752,51.7635
"38968","Vallisneria_spiralis",6.18944,49.24083
"65968","Vallisneria_spiralis",30.779473,48.476871
"67633","Vallisneria_spiralis",4.7132,51.727883
"78255","Vallisneria_spiralis",37.680534,55.696513
"78694","Vallisneria_spiralis",37.8715,55.606033
"85208","Vallisneria_spiralis",140.580197,-36.748544
"86343","Vallisneria_spiralis",-0.44,39.27
"134834","Vallisneria_spiralis",4.65645,51.728717
"134867","Vallisneria_spiralis",5.2976,51.9974
"137594","Vallisneria_spiralis",-17.360001,66.110001
"143406","Vallisneria_spiralis",103.86666,22.1
"158447","Vallisneria_spiralis",-158.1,21.5833
"158496","Vallisneria_spiralis",-155.606,20.1044
"158507","Vallisneria_spiralis",-157.783,21.4
"171106","Vallisneria_spiralis",13.5475,47.835
"178686","Vallisneria_spiralis",13.06667,52.40722
"179612","Vallisneria_spiralis",12.58361,52.47583
"198577","Vallisneria_spiralis",146.7222,-19.3803
"204195","Vallisneria_spiralis",-158.1,21.58
"206055","Vallisneria_spiralis",37.668417,55.7
"206253","Vallisneria_spiralis",38.785,44.977889
"206299","Vallisneria_spiralis",39.83916,54.025218
"206694","Vallisneria_spiralis",39.341397,47.261233
"206791","Vallisneria_spiralis",36.129941,51.673835
"207125","Vallisneria_spiralis",13.07,52.4
"212590","Vallisneria_spiralis",140.566667,-36.75
"214548","Vallisneria_spiralis",-155.606,20.1044
"228700","Vallisneria_spiralis",10.460546,43.739176
"228786","Vallisneria_spiralis",10.46016,43.747481
"229068","Vallisneria_spiralis",11.96462,43.05772
"250507","Vallisneria_spiralis",20.94306,40.93694
"254352","Vallisneria_spiralis",8.870379,40.919942
"254693","Vallisneria_spiralis",11.266119,43.982587
"255605","Vallisneria_spiralis",-118.2125,49.045833
"255983","Vallisneria_spiralis",5.214166,51.248611
"256357","Vallisneria_spiralis",37.272406,45.24282
"256488","Vallisneria_spiralis",36.220315,51.706486
"256732","Vallisneria_spiralis",33.240681,54.175397
"302761","Vallisneria_spiralis",-121.492255,38.574947
"303529","Vallisneria_spiralis",69.7644,21.5618
"304264","Vallisneria_spiralis",39.56866,55.575782
"304322","Vallisneria_spiralis",44.55,48.5
"304387","Vallisneria_spiralis",48.383333,46.533333
"304578","Vallisneria_spiralis",41.10565,47.03081
"304699","Vallisneria_spiralis",37.680534,55.696513
"304745","Vallisneria_spiralis",33.240681,54.175397
"304914","Vallisneria_spiralis",37.972778,55.661389
"304981","Vallisneria_spiralis",37.8715,55.606033
"305089","Vallisneria_spiralis",37.785705,55.638033
"305130","Vallisneria_spiralis",41.73173,46.5647
"305131","Vallisneria_spiralis",41.34521,46.91625
"305228","Vallisneria_spiralis",47.183333,47.45
"305243","Vallisneria_spiralis",38.478457,55.736774
"328531","Vallisneria_spiralis",106.6,22.71666
"348663","Vallisneria_spiralis",-0.39,39.29
"352139","Vallisneria_spiralis",95.874722,16.888611
"352140","Vallisneria_spiralis",96.255556,26.680556
"352141","Vallisneria_spiralis",96.866667,26.933333
"353283","Vallisneria_spiralis",19.11583,42.23444
"360678","Vallisneria_spiralis",4.81115,44.09904
"365468","Vallisneria_spiralis",101.94111,4.2275
"365702","Vallisneria_spiralis",30,-19
"365843","Vallisneria_spiralis",146.72222,-19.38027
"367318","Vallisneria_spiralis",39.56866,55.575782
"367556","Vallisneria_spiralis",38.478457,55.736774
"399360","Vallisneria_spiralis",8.967833,45.9635
"401714","Vallisneria_spiralis",-2.233333,8.266667
"404235","Vallisneria_spiralis",4.80829,44.00906
"407549","Vallisneria_spiralis",6.1385,49.09976
"408817","Vallisneria_spiralis",6.05323,48.87746
"408859","Vallisneria_spiralis",6.06334,49.01219
"408899","Vallisneria_spiralis",6.07011,49.10201
"409438","Vallisneria_spiralis",6.12132,48.87523
"411744","Vallisneria_spiralis",6.06672,49.0571
"418268","Vallisneria_spiralis",4.771805,51.744592
"418949","Vallisneria_spiralis",8.320883,49.977617
"424060","Vallisneria_spiralis",20.9875,40.87083
"424726","Vallisneria_spiralis",22.75,41.183333
"426699","Vallisneria_spiralis",-56.529167,-20.8975
"426948","Vallisneria_spiralis",-56.516667,-20.900278
"436226","Vallisneria_spiralis",5.662619,51.45711
"436240","Vallisneria_spiralis",-2.233333,8.266667
"436963","Vallisneria_spiralis",39.8694,47.2361
"437408","Vallisneria_spiralis",40.012202,54.000794
"439331","Vallisneria_spiralis",145.7,-16.866667
"448688","Vallisneria_spiralis",138.601939,-35.469285
"449474","Vallisneria_spiralis",-0.39,39.29
"466060","Vallisneria_spiralis",-0.4041,39.2866
"468420","Vallisneria_spiralis",5.587667,51.9535
"469712","Vallisneria_spiralis",13.07003,52.41242
"469772","Vallisneria_spiralis",20.98778,40.87111
"469910","Vallisneria_spiralis",-2.23333,8.26667
"470345","Vallisneria_spiralis",13.82528,46.59278
"471428","Vallisneria_spiralis",13.82533,46.59269
"471488","Vallisneria_spiralis",31.40611,37.80194
"472015","Vallisneria_spiralis",116.2536,-21.7328
"480227","Vallisneria_spiralis",13.07639,52.41445
"480841","Vallisneria_spiralis",12.5825,52.47583
"481432","Vallisneria_spiralis",13.07,52.41222
"483974","Vallisneria_spiralis",23.375,-19.125
"484140","Vallisneria_spiralis",23.301944,-16.079444
"484299","Vallisneria_spiralis",30.375,-25.125
