"","species","lon","lat"
"31","Verbascum_nigrum",25.172695,61.045738
"32","Verbascum_nigrum",27.847566,60.915889
"43","Verbascum_nigrum",27.252699,61.645076
"388","Verbascum_nigrum",25.64237,61.014928
"389","Verbascum_nigrum",27.686869,61.200401
"474","Verbascum_nigrum",29.649637,61.676352
"519","Verbascum_nigrum",25.768734,60.975302
"625","Verbascum_nigrum",24.195969,62.873271
"627","Verbascum_nigrum",26.70564,60.86452
"699","Verbascum_nigrum",28.323599,61.164399
"758","Verbascum_nigrum",26.835765,61.415171
"843","Verbascum_nigrum",21.973565,61.24673
"1044","Verbascum_nigrum",26.616363,60.942733
"1086","Verbascum_nigrum",28.299115,60.936076
"1290","Verbascum_nigrum",23.827951,60.018918
"1437","Verbascum_nigrum",25.810395,61.071264
"1438","Verbascum_nigrum",27.500948,61.146473
"1462","Verbascum_nigrum",27.290627,61.696283
"1562","Verbascum_nigrum",21.847465,60.648405
"1789","Verbascum_nigrum",24.492675,60.993515
"1806","Verbascum_nigrum",27.520302,61.137874
"2085","Verbascum_nigrum",26.582833,63.645174
"2092","Verbascum_nigrum",24.878586,60.234854
"2163","Verbascum_nigrum",28.106378,61.202562
"2185","Verbascum_nigrum",27.353894,61.692994
"2244","Verbascum_nigrum",25.484699,60.344061
"2329","Verbascum_nigrum",25.786513,60.993415
"2534","Verbascum_nigrum",27.559027,61.17586
"2799","Verbascum_nigrum",24.556845,64.666151
"2881","Verbascum_nigrum",24.398181,61.018661
"2888","Verbascum_nigrum",26.126065,61.077714
"2934","Verbascum_nigrum",24.569264,60.959002
"3061","Verbascum_nigrum",21.997312,60.627125
"3068","Verbascum_nigrum",25.583716,60.982461
"3232","Verbascum_nigrum",28.075588,61.035876
"3233","Verbascum_nigrum",27.509628,61.051312
"3262","Verbascum_nigrum",23.771034,60.816478
"3294","Verbascum_nigrum",23.992345,60.417463
"3361","Verbascum_nigrum",25.681483,61.29759
"3508","Verbascum_nigrum",24.676113,60.251574
"3558","Verbascum_nigrum",22.485653,63.502893
"3590","Verbascum_nigrum",27.262515,61.612438
"3609","Verbascum_nigrum",27.265684,61.652364
"3754","Verbascum_nigrum",28.359211,61.090761
"3842","Verbascum_nigrum",24.763888,60.288997
"4029","Verbascum_nigrum",24.789556,60.711413
"4238","Verbascum_nigrum",24.449081,61.014506
"4265","Verbascum_nigrum",28.068835,61.192543
"4310","Verbascum_nigrum",25.226412,61.094927
"4570","Verbascum_nigrum",27.913054,61.176962
"4577","Verbascum_nigrum",24.644216,60.915847
"4657","Verbascum_nigrum",26.651815,61.2856
"4658","Verbascum_nigrum",28.488572,61.062472
"4663","Verbascum_nigrum",25.601393,61.000597
"4855","Verbascum_nigrum",27.278684,61.59349
"4887","Verbascum_nigrum",24.768777,60.21725
"4904","Verbascum_nigrum",25.325239,61.329567
"4944","Verbascum_nigrum",24.121471,60.507882
