"","species","lon","lat"
"73","Veronica_verna",23.63313,60.202247
"86","Veronica_verna",23.856013,60.324492
"118","Veronica_verna",24.689096,60.323633
"249","Veronica_verna",24.236486,60.108435
"564","Veronica_verna",23.336171,60.43695
"771","Veronica_verna",24.130163,60.707889
"1011","Veronica_verna",23.191199,60.43288
"1054","Veronica_verna",23.71808,60.189737
"1099","Veronica_verna",24.14208,60.779987
"1137","Veronica_verna",23.882824,60.612543
"1445","Veronica_verna",23.978123,60.179129
"1461","Veronica_verna",26.916844,61.557926
"1804","Veronica_verna",22.772004,61.552617
"1958","Veronica_verna",21.617567,60.927188
"1971","Veronica_verna",22.824646,60.314032
"2440","Veronica_verna",25.267615,62.702058
"2559","Veronica_verna",28.872131,61.300068
"2850","Veronica_verna",26.247225,60.929912
"3667","Veronica_verna",26.306421,61.723999
"3682","Veronica_verna",25.147907,60.214109
"3900","Veronica_verna",27.241706,60.65619
"3972","Veronica_verna",23.840398,60.485799
"4270","Veronica_verna",23.689844,60.176727
"4323","Veronica_verna",23.901056,60.612967
"4467","Veronica_verna",21.673292,60.704534
"5160","Veronica_verna",26.033807,64.176739
"5757","Veronica_verna",21.51229,60.680027
"5998","Veronica_verna",24.552312,62.844006
"6034","Veronica_verna",24.064363,60.625635
"6165","Veronica_verna",28.810501,61.202164
"6487","Veronica_verna",24.519554,60.410371
"6665","Veronica_verna",22.993173,60.121524
"6775","Veronica_verna",26.020046,61.21071
"6932","Veronica_verna",24.066986,60.304619
"6994","Veronica_verna",26.291276,60.980858
"7026","Veronica_verna",23.611429,60.237627
"7465","Veronica_verna",25.305117,61.356245
"7469","Veronica_verna",29.395861,62.530724
"7717","Veronica_verna",23.842142,60.467877
"7876","Veronica_verna",21.691526,60.705259
"8337","Veronica_verna",26.594653,60.938092
"8439","Veronica_verna",23.90792,60.541273
"8853","Veronica_verna",24.874616,60.254902
"9481","Veronica_verna",23.76122,60.367127
"9524","Veronica_verna",24.945685,60.273978
"9645","Veronica_verna",24.717745,60.431873
"9796","Veronica_verna",24.334363,60.676189
"9830","Veronica_verna",23.678808,60.463904
"9911","Veronica_verna",23.859459,60.288645
"9943","Veronica_verna",28.15472,61.074713
"10090","Veronica_verna",23.921107,60.296826
"10246","Veronica_verna",25.820464,61.074493
"10435","Veronica_verna",23.045091,63.384692
"10787","Veronica_verna",22.696235,63.707083
"10826","Veronica_verna",26.589733,61.682964
"10931","Veronica_verna",25.654755,61.485806
"10983","Veronica_verna",21.997312,60.627125
"11226","Veronica_verna",25.183467,60.223579
"11310","Veronica_verna",22.861871,60.306211
"11557","Veronica_verna",24.515011,64.665453
"11607","Veronica_verna",25.786855,60.984442
"11624","Veronica_verna",24.707674,61.40808
"11627","Veronica_verna",24.726676,61.404359
"11650","Veronica_verna",24.823451,60.20918
"12011","Veronica_verna",22.772324,60.438203
"14245","Veronica_verna",23.845484,60.620649
"14595","Veronica_verna",24.106226,60.770238
"15049","Veronica_verna",25.59279,61.610831
"15059","Veronica_verna",28.892702,61.640884
"15063","Veronica_verna",25.766996,61.020164
"15091","Veronica_verna",21.656547,60.694871
"15109","Veronica_verna",24.129454,60.510298
"15206","Veronica_verna",27.506969,62.011022
"15245","Veronica_verna",24.090233,60.246753
"15246","Veronica_verna",23.94592,60.283028
"15376","Veronica_verna",24.946807,60.256039
"15662","Veronica_verna",24.075727,60.500151
"15760","Veronica_verna",22.770515,60.312318
"15902","Veronica_verna",23.949564,60.263352
"15927","Veronica_verna",24.825063,61.537931
"16058","Veronica_verna",25.700135,61.297771
"16400","Veronica_verna",25.111851,60.2136
"16402","Veronica_verna",24.875778,60.236964
"16433","Veronica_verna",25.688127,61.584855
"16671","Veronica_verna",27.370179,61.711796
"16754","Veronica_verna",25.408553,61.160027
"17223","Veronica_verna",21.465308,60.681238
"17273","Veronica_verna",23.981896,60.157658
"17750","Veronica_verna",24.103499,60.392985
"17753","Veronica_verna",23.839676,60.30614
"17991","Veronica_verna",24.596349,60.953186
"18051","Veronica_verna",24.127761,60.734779
"18223","Veronica_verna",23.301731,60.579752
"18440","Veronica_verna",23.99648,60.37265
"18526","Veronica_verna",21.674775,60.695598
"18984","Veronica_verna",24.668412,60.487532
"19012","Veronica_verna",23.871046,60.233678
"19205","Veronica_verna",23.987366,60.471239
"19351","Veronica_verna",23.215277,59.912418
"24172","Veronica_verna",23.39083,40.4925
"26206","Veronica_verna",-6.6812609,40.248782
"26302","Veronica_verna",23.7,60.43
"28100","Veronica_verna",23.912193,60.496463
"28229","Veronica_verna",26.656033,60.899718
"28238","Veronica_verna",24.207165,60.295068
"28479","Veronica_verna",24.998416,64.358722
"28480","Veronica_verna",23.986228,63.618082
"28931","Veronica_verna",23.328413,61.784336
"28969","Veronica_verna",27.282925,61.680597
"29495","Veronica_verna",24.768168,60.226218
"29841","Veronica_verna",24.257107,61.366067
"29968","Veronica_verna",22.634452,60.110162
"30021","Veronica_verna",26.03996,64.180852
"30547","Veronica_verna",24.964859,60.256317
"30579","Veronica_verna",25.688506,61.575884
"30782","Veronica_verna",29.813438,61.80463
"30786","Veronica_verna",28.081437,61.640724
"30915","Veronica_verna",23.907059,60.273146
"31080","Veronica_verna",27.91722,61.094482
"31221","Veronica_verna",25.335228,61.141193
"31300","Veronica_verna",21.510764,60.688961
"31303","Veronica_verna",21.583648,60.691935
"31339","Veronica_verna",24.680799,61.454757
"31702","Veronica_verna",24.548929,60.743143
"31783","Veronica_verna",25.332735,60.835967
"31999","Veronica_verna",28.093066,61.855159
"32214","Veronica_verna",21.475864,60.678525
"32270","Veronica_verna",24.140473,60.178242
"32279","Veronica_verna",24.038141,60.203387
"32394","Veronica_verna",28.210284,61.074226
"32398","Veronica_verna",26.618765,60.865379
"32495","Veronica_verna",24.254748,61.392959
"32902","Veronica_verna",25.163925,60.250242
"32944","Veronica_verna",23.984687,60.215654
"33078","Veronica_verna",26.518688,61.514477
"33725","Veronica_verna",24.428891,61.324533
"33756","Veronica_verna",26.470444,61.147259
"33824","Veronica_verna",24.060802,60.463898
"34013","Veronica_verna",21.870351,60.964059
"34088","Veronica_verna",27.153993,61.007762
"34128","Veronica_verna",24.656146,60.27816
"34359","Veronica_verna",25.778023,60.733047
"36861","Veronica_verna",26.140212,61.759708
"38945","Veronica_verna",6.66806,49.17833
"42726","Veronica_verna",-6.69,40.24
"43750","Veronica_verna",9.892571,59.779705
"49538","Veronica_verna",-87.99765,45.22461
"49539","Veronica_verna",-87.95243,45.37153
"49540","Veronica_verna",-88.54668,45.30383
"49541","Veronica_verna",-88.7713,45.51226
"49542","Veronica_verna",-88.69447,45.56804
"49543","Veronica_verna",-88.19947,45.31556
"49544","Veronica_verna",-88.41913,45.11965
"49545","Veronica_verna",-87.40732,44.857195
"55296","Veronica_verna",11.98,50.36
"55398","Veronica_verna",10.96,49.42
"55599","Veronica_verna",7.766111,46.322222
"55645","Veronica_verna",7.810556,46.310555
"57404","Veronica_verna",-2.1567,38.15
"57633","Veronica_verna",9.305,40.0239
"57724","Veronica_verna",-3.4603,41.0903
"57946","Veronica_verna",1.99,42.35
"57954","Veronica_verna",-1.57,40.48
"57964","Veronica_verna",1.98,42.34
"58068","Veronica_verna",-6.68,40.25
"58071","Veronica_verna",-1.59,40.44
"58184","Veronica_verna",1.96,42.36
"58274","Veronica_verna",1.48,42.58
"58450","Veronica_verna",1.98,42.35
"58452","Veronica_verna",-5.32,40.52
"58475","Veronica_verna",1.85,42.4
"58560","Veronica_verna",1.1,42.62
"60579","Veronica_verna",12.14,50.16
"60594","Veronica_verna",11.29,48.62
"62613","Veronica_verna",14.93947,37.732717
"64378","Veronica_verna",80.41666,51.55
"64451","Veronica_verna",80.6,51.81666
"64541","Veronica_verna",84.12,49.05
"64542","Veronica_verna",80.58,45.87
"64546","Veronica_verna",79.85,45.42
"64547","Veronica_verna",79.85,49.42
"64548","Veronica_verna",78.53,44.2
"64564","Veronica_verna",85.18,47.45
"64580","Veronica_verna",80.34708,51.99711
"64642","Veronica_verna",85.12,47.52
"64738","Veronica_verna",84.58,48.38
"65666","Veronica_verna",30.732601,48.144805
"65688","Veronica_verna",30.862338,48.198016
"65730","Veronica_verna",30.887125,48.352814
"65754","Veronica_verna",30.862013,48.185048
"65779","Veronica_verna",30.904638,48.160551
"65795","Veronica_verna",30.844532,48.237207
"65815","Veronica_verna",30.8441,48.439525
"65844","Veronica_verna",30.843445,48.438518
"65866","Veronica_verna",30.802921,48.138675
"65916","Veronica_verna",30.821556,48.18415
"65942","Veronica_verna",30.81689,48.169878
"65952","Veronica_verna",31.658908,48.357782
"65953","Veronica_verna",30.815676,48.172561
"65988","Veronica_verna",31.27341,48.257658
"69173","Veronica_verna",10.93,49.92
"70836","Veronica_verna",-77.839996,46.200001
"70968","Veronica_verna",14.09037,56.17732
"71077","Veronica_verna",170.51,-44.0562
"71081","Veronica_verna",169.542,-45.114976
"71159","Veronica_verna",170.114008,-44.236085
"71284","Veronica_verna",169.180087,-45.060564
"78168","Veronica_verna",43.40962,49.77225
"78257","Veronica_verna",31.5528,56.7269
"78327","Veronica_verna",40.206785,55.662071
"78340","Veronica_verna",40.047092,55.150702
"78428","Veronica_verna",45.35509,50.22221
"78484","Veronica_verna",47.302516,56.573802
"78508","Veronica_verna",40.403611,56.526944
"78620","Veronica_verna",45.45168,50.30352
"78688","Veronica_verna",39.265539,51.728515
"78763","Veronica_verna",41.166667,56.380556
"78764","Veronica_verna",49.270321,54.320373
"78847","Veronica_verna",44.813343,56.524563
"80672","Veronica_verna",14.833611,48.390278
"81475","Veronica_verna",14.810278,48.40222
"82125","Veronica_verna",10.447823,57.224384
"82453","Veronica_verna",9.653091,56.296691
"82640","Veronica_verna",9.120108,56.370229
"82641","Veronica_verna",10.115854,57.200819
"82982","Veronica_verna",9.853988,56.609931
"83154","Veronica_verna",9.821214,56.601167
"83506","Veronica_verna",9.544469,56.61167
"83507","Veronica_verna",12.253894,55.926448
"85667","Veronica_verna",-2.12,40.17
"85968","Veronica_verna",-2.06,40.54
"86227","Veronica_verna",9.3,40.02
"86436","Veronica_verna",-1.76,40.6
"86637","Veronica_verna",9.32,40
"87084","Veronica_verna",13.74,41.86
"87113","Veronica_verna",46.02,39.55
"87186","Veronica_verna",-1.65,39.97
"87249","Veronica_verna",-1.65,41.45
"87300","Veronica_verna",-2.2,41.57
"87323","Veronica_verna",-1.77,40.15
"87440","Veronica_verna",-1.64,40.51
"87443","Veronica_verna",-1.69,40.51
"87811","Veronica_verna",-1.53,40.43
"87812","Veronica_verna",-6.68,40.25
"87867","Veronica_verna",-1.87,40.37
"88193","Veronica_verna",-4.7,40.14
"88233","Veronica_verna",-2.03,40.43
"88337","Veronica_verna",-1.49,41.37
"88356","Veronica_verna",23.7,60.43
"88520","Veronica_verna",-2.39,39.33
"88576","Veronica_verna",-4.04,41.26
"93017","Veronica_verna",-86.015,42.588
"93769","Veronica_verna",9.54,61.777
"93790","Veronica_verna",24.828,61.538
"94656","Veronica_verna",-85.600881,43.872612
"94687","Veronica_verna",-87.082261,45.759924
"94691","Veronica_verna",-85.40377,44.26973
"94695","Veronica_verna",-84.70418,45.03472
"95016","Veronica_verna",17.92908,59.52277
"97611","Veronica_verna",24.130163,60.707889
"97642","Veronica_verna",25.809646,64.919708
"97677","Veronica_verna",24.596053,60.962491
"97763","Veronica_verna",24.181895,60.744909
"97859","Veronica_verna",23.982649,60.198543
"98375","Veronica_verna",24.70528,61.886086
"98459","Veronica_verna",24.514087,64.664091
"98574","Veronica_verna",24.420721,60.740737
"98637","Veronica_verna",24.310096,60.747542
"98718","Veronica_verna",22.041046,61.898891
"98846","Veronica_verna",27.670459,64.406733
"122437","Veronica_verna",23.657896,60.49033
"122512","Veronica_verna",25.593197,61.601861
"122545","Veronica_verna",24.593402,61.614843
"122769","Veronica_verna",25.054904,60.868142
"122865","Veronica_verna",27.717142,60.566173
"122935","Veronica_verna",23.431615,63.978674
"123080","Veronica_verna",26.363529,61.706328
"123107","Veronica_verna",24.010466,60.615459
"123242","Veronica_verna",22.701091,60.013475
"123396","Veronica_verna",25.255831,60.423847
"123592","Veronica_verna",24.788012,60.199614
"123601","Veronica_verna",26.378831,62.819042
"123718","Veronica_verna",23.981704,60.267679
"123781","Veronica_verna",26.310348,61.463329
"123906","Veronica_verna",24.052111,60.158342
"123943","Veronica_verna",27.081731,61.662916
"123972","Veronica_verna",23.986536,63.618223
"124098","Veronica_verna",24.126389,61.363366
