"","species","lon","lat"
"1","Paspalum_vaginatum",-4.490278,11.239167
"2","Paspalum_vaginatum",-80.449472,26.180444
"3","Paspalum_vaginatum",151.633918,-33.161752
"4","Paspalum_vaginatum",-88.79194,19.94917
"5","Paspalum_vaginatum",-1.406111,6.541111
"6","Paspalum_vaginatum",1.833333,6.55
"7","Paspalum_vaginatum",-70.516667,19.033333
"8","Paspalum_vaginatum",-3.0112518,43.3788895
"9","Paspalum_vaginatum",-1.8012267,43.3489019
"10","Paspalum_vaginatum",43.733056,-21.711944
"11","Paspalum_vaginatum",9.116667,4.011667
"12","Paspalum_vaginatum",121.417222,25.167778
"13","Paspalum_vaginatum",120.577976,24.325436
"14","Paspalum_vaginatum",-41.67,-2.89
"15","Paspalum_vaginatum",-1.65,42.33
"16","Paspalum_vaginatum",-1.81,43.34
"17","Paspalum_vaginatum",-79.03333,-4.46666
"18","Paspalum_vaginatum",136.296525,-12.438038
"19","Paspalum_vaginatum",131.3492,-12.5556
"20","Paspalum_vaginatum",133.131896,-14.937219
"21","Paspalum_vaginatum",128.6986,-15.7022
"22","Paspalum_vaginatum",136.768889,-12.169167
"23","Paspalum_vaginatum",-117.368343,33.17766
"24","Paspalum_vaginatum",-117.358283,33.164799
"25","Paspalum_vaginatum",-117.666105,33.498604
"26","Paspalum_vaginatum",-117.86849,33.59003
"27","Paspalum_vaginatum",-118.159784,33.84702
"28","Paspalum_vaginatum",-117.673155,33.573418
"29","Paspalum_vaginatum",-116.299846,33.716899
"30","Paspalum_vaginatum",-117.350096,33.153079
"31","Paspalum_vaginatum",-117.717332,33.560471
"32","Paspalum_vaginatum",-117.721648,33.475718
"33","Paspalum_vaginatum",-118.16285,33.849877
"34","Paspalum_vaginatum",-117.709391,33.551091
"35","Paspalum_vaginatum",-117.893111,33.625834
"36","Paspalum_vaginatum",-117.23867,33.010344
"37","Paspalum_vaginatum",-117.342429,33.180656
"38","Paspalum_vaginatum",-0.041264,5.674519
"39","Paspalum_vaginatum",-0.030011,5.614267
"40","Paspalum_vaginatum",-0.030197,5.614717
"41","Paspalum_vaginatum",-0.0066,5.623886
"42","Paspalum_vaginatum",-0.032061,5.619136
"43","Paspalum_vaginatum",-0.030128,5.614528
"44","Paspalum_vaginatum",0.38746,5.813409
"45","Paspalum_vaginatum",-0.032672,5.621092
"46","Paspalum_vaginatum",1.832346,6.583152
"47","Paspalum_vaginatum",1.904999,6.453564
"48","Paspalum_vaginatum",1.968732,6.641011
"49","Paspalum_vaginatum",1.970979,6.407559
"50","Paspalum_vaginatum",1.690039,6.695312
"51","Paspalum_vaginatum",2.072107,6.342146
"52","Paspalum_vaginatum",1.809934,6.408435
"53","Paspalum_vaginatum",2.199995,6.355496
"54","Paspalum_vaginatum",1.93549,7.129059
"55","Paspalum_vaginatum",1.866543,6.31553
"56","Paspalum_vaginatum",1.929078,6.658988
"57","Paspalum_vaginatum",1.91693,6.474586
"58","Paspalum_vaginatum",1.83506,6.434712
"59","Paspalum_vaginatum",100.066,6.5
"60","Paspalum_vaginatum",-16.366,12.483
"61","Paspalum_vaginatum",-16.4,16.2
"62","Paspalum_vaginatum",-17.2,14.85
"63","Paspalum_vaginatum",-16.55,13.666
"64","Paspalum_vaginatum",-79.416,-4.466
"65","Paspalum_vaginatum",-15.966,15.933
"66","Paspalum_vaginatum",-16.483,15.883
"67","Paspalum_vaginatum",-17.183,14.85
"68","Paspalum_vaginatum",-17.233,14.816
"69","Paspalum_vaginatum",9.8239,2.3425
"70","Paspalum_vaginatum",-5.8872,41.4685
"71","Paspalum_vaginatum",-1.8169,43.3448
"72","Paspalum_vaginatum",-1.8,43.35
"73","Paspalum_vaginatum",0.58,40.58
"74","Paspalum_vaginatum",-5.49,42.47
"75","Paspalum_vaginatum",1.67,41.55
"76","Paspalum_vaginatum",1.66,41.57
"77","Paspalum_vaginatum",1.78,41.57
"78","Paspalum_vaginatum",-88.25,17.55
"79","Paspalum_vaginatum",151.5592,-33.2647
"80","Paspalum_vaginatum",151.3608,-33.4503
"81","Paspalum_vaginatum",-37.410833,-9.409444
"82","Paspalum_vaginatum",-38.946944,-15.933333
"83","Paspalum_vaginatum",-39.4,-17.404167
"84","Paspalum_vaginatum",-36.462778,-5.11
"85","Paspalum_vaginatum",-117.34243,33.18066
"86","Paspalum_vaginatum",-117.389037,33.202708
"87","Paspalum_vaginatum",-117.724688,33.481373
"88","Paspalum_vaginatum",-117.72401,33.4801
"89","Paspalum_vaginatum",-119.09542,34.30894
"90","Paspalum_vaginatum",-117.34877,33.151206
"91","Paspalum_vaginatum",174.449864,-36.426776
"92","Paspalum_vaginatum",-48.684444,-25.452222
"93","Paspalum_vaginatum",-117.269714,33.093448
"94","Paspalum_vaginatum",-117.27196,33.09389
"95","Paspalum_vaginatum",-117.689102,33.462022
"96","Paspalum_vaginatum",-117.688297,33.463686
"97","Paspalum_vaginatum",-117.347368,33.149262
"98","Paspalum_vaginatum",-117.233069,33.013602
"99","Paspalum_vaginatum",-117.682443,33.462302
"100","Paspalum_vaginatum",-117.673123,33.570631
"101","Paspalum_vaginatum",136.2944,-12.4408
"102","Paspalum_vaginatum",138.663884,-35.534285
"103","Paspalum_vaginatum",-0.27,39.27
"104","Paspalum_vaginatum",0.01,40.03
"105","Paspalum_vaginatum",-1.8,43.35
"106","Paspalum_vaginatum",-0.01,40.03
"107","Paspalum_vaginatum",-1.48,43.51
"108","Paspalum_vaginatum",-5.49,42.47
"109","Paspalum_vaginatum",-0.17,39.04
"110","Paspalum_vaginatum",-117.43111,33.24997
"111","Paspalum_vaginatum",-117.3425,33.18056
"112","Paspalum_vaginatum",-117.3475,33.14917
"113","Paspalum_vaginatum",-117.43729,33.25776
"114","Paspalum_vaginatum",-117.57805,33.38108
"115","Paspalum_vaginatum",-117.41012,33.22575
"116","Paspalum_vaginatum",-114.67743,33.21499
"117","Paspalum_vaginatum",-117.86861,33.59
"118","Paspalum_vaginatum",-117.35,33.15306
"119","Paspalum_vaginatum",121.187222,24.029444
"120","Paspalum_vaginatum",-117.704202,33.539459
"121","Paspalum_vaginatum",-117.683615,33.463622
"122","Paspalum_vaginatum",-117.883685,33.652986
"123","Paspalum_vaginatum",-117.366465,33.180047
"124","Paspalum_vaginatum",-117.4101,33.2257
"125","Paspalum_vaginatum",-81.087111,29.352667
"126","Paspalum_vaginatum",-85.980978,30.271331
"127","Paspalum_vaginatum",-80.902296,28.642642
"128","Paspalum_vaginatum",-65.34166,-17.63888
"129","Paspalum_vaginatum",-70.525,19.0417
"130","Paspalum_vaginatum",-40.566944,-12.085278
"131","Paspalum_vaginatum",-38.946944,-15.687222
"132","Paspalum_vaginatum",-37.038611,-10.908889
