"","species","lon","lat"
"1","Polypogon_monspeliensis",-116.97768,46.738245
"2","Polypogon_monspeliensis",-78.558753,33.865141
"3","Polypogon_monspeliensis",-79.8784,33.1025
"4","Polypogon_monspeliensis",-80.2127,34.25
"5","Polypogon_monspeliensis",-79.053,33.5157
"6","Polypogon_monspeliensis",-80.787111,33.819694
"7","Polypogon_monspeliensis",149.117862,-34.598441
"8","Polypogon_monspeliensis",143.574111,-30.734635
"9","Polypogon_monspeliensis",23.93,37.7
"10","Polypogon_monspeliensis",-100.497,19.97139
"11","Polypogon_monspeliensis",-89.2708,13.76389
"12","Polypogon_monspeliensis",-116.317,31.8834
"13","Polypogon_monspeliensis",-116.5,32.01679
"14","Polypogon_monspeliensis",-101.75,30.45
"15","Polypogon_monspeliensis",-116.267,32.31667
"16","Polypogon_monspeliensis",-124.06,48.182
"17","Polypogon_monspeliensis",150.717056,-34.921231
"18","Polypogon_monspeliensis",150.831042,-34.556505
"19","Polypogon_monspeliensis",-110.594444,29.306944
"20","Polypogon_monspeliensis",21.505,38.99194
"21","Polypogon_monspeliensis",21.84889,38.65472
"22","Polypogon_monspeliensis",21.76417,38.515
"23","Polypogon_monspeliensis",21.74389,38.50611
"24","Polypogon_monspeliensis",21.595,39.08
"25","Polypogon_monspeliensis",21.51417,38.82444
"26","Polypogon_monspeliensis",21.57278,38.87333
"27","Polypogon_monspeliensis",21.72778,39.0325
"28","Polypogon_monspeliensis",21.33472,38.71667
"29","Polypogon_monspeliensis",21.66139,38.57889
"30","Polypogon_monspeliensis",21.2475,38.63889
"31","Polypogon_monspeliensis",21.33472,38.77722
"32","Polypogon_monspeliensis",21.65389,38.55444
"33","Polypogon_monspeliensis",21.71944,38.43639
"34","Polypogon_monspeliensis",21.62861,38.35167
"35","Polypogon_monspeliensis",21.70917,38.45028
"36","Polypogon_monspeliensis",21.59,38.34444
"37","Polypogon_monspeliensis",21.85139,38.38111
"38","Polypogon_monspeliensis",21.73778,38.33833
"39","Polypogon_monspeliensis",21.81583,38.38194
"40","Polypogon_monspeliensis",21.8575,37.68472
"41","Polypogon_monspeliensis",21.98694,38.23694
"42","Polypogon_monspeliensis",22.2275,38.14611
"43","Polypogon_monspeliensis",22.03611,38.27639
"44","Polypogon_monspeliensis",23.31167,38.31
"45","Polypogon_monspeliensis",22.93417,38.37972
"46","Polypogon_monspeliensis",22.95833,38.41056
"47","Polypogon_monspeliensis",22.69694,38.49333
"48","Polypogon_monspeliensis",23.03972,38.58167
"49","Polypogon_monspeliensis",23.06667,38.48861
"50","Polypogon_monspeliensis",22.86389,38.42444
"51","Polypogon_monspeliensis",22.86861,38.42917
"52","Polypogon_monspeliensis",22.8425,38.49833
"53","Polypogon_monspeliensis",23.00417,38.495
"54","Polypogon_monspeliensis",22.97056,38.48222
"55","Polypogon_monspeliensis",22.9175,38.465
"56","Polypogon_monspeliensis",22.80806,38.44306
"57","Polypogon_monspeliensis",22.86861,38.44694
"58","Polypogon_monspeliensis",22.83722,38.44056
"59","Polypogon_monspeliensis",21.69639,39.70083
"60","Polypogon_monspeliensis",21.48528,39.67056
"61","Polypogon_monspeliensis",21.56694,39.72194
"62","Polypogon_monspeliensis",21.69306,39.67361
"63","Polypogon_monspeliensis",21.54306,39.74917
"64","Polypogon_monspeliensis",24.76667,41.04694
"65","Polypogon_monspeliensis",20.88917,39.17167
"66","Polypogon_monspeliensis",21.11833,39.0425
"67","Polypogon_monspeliensis",20.77639,38.98806
"68","Polypogon_monspeliensis",20.68556,38.84444
"69","Polypogon_monspeliensis",21.04528,39.06
"70","Polypogon_monspeliensis",20.68139,38.83528
"71","Polypogon_monspeliensis",21.07139,39.05056
"72","Polypogon_monspeliensis",20.70944,39.22583
"73","Polypogon_monspeliensis",26.09861,35.16556
"74","Polypogon_monspeliensis",26.11028,35.20389
"75","Polypogon_monspeliensis",25.295,35.03667
"76","Polypogon_monspeliensis",22.95889,38.87444
"77","Polypogon_monspeliensis",-3.2612442,42.7588725
"78","Polypogon_monspeliensis",-1.8912117,42.4988813
"79","Polypogon_monspeliensis",-1.8612179,42.8488896
"80","Polypogon_monspeliensis",-2.8912353,42.6788747
"81","Polypogon_monspeliensis",-1.4112001,42.3988841
"82","Polypogon_monspeliensis",-1.4812071,42.68889
"83","Polypogon_monspeliensis",-1.7512145,42.7888894
"84","Polypogon_monspeliensis",-1.9412162,42.6788849
"85","Polypogon_monspeliensis",-1.881217,42.7788878
"86","Polypogon_monspeliensis",-1.6011978,42.078875
"87","Polypogon_monspeliensis",-1.7912083,42.4288808
"88","Polypogon_monspeliensis",-1.9212156,42.6688849
"89","Polypogon_monspeliensis",-1.8112113,42.5588835
"90","Polypogon_monspeliensis",-1.8812174,42.7988883
"91","Polypogon_monspeliensis",-122.1864,37.03867
"92","Polypogon_monspeliensis",-121.7324,36.6264
"93","Polypogon_monspeliensis",-122.0659525,36.9508328
"94","Polypogon_monspeliensis",-122.186417,37.038667
"95","Polypogon_monspeliensis",116.213056,-25.283611
"96","Polypogon_monspeliensis",149.125,-34.6
"97","Polypogon_monspeliensis",5.172509,52.734664
"98","Polypogon_monspeliensis",36.031333,41.545333
"99","Polypogon_monspeliensis",39.066667,12.55
"100","Polypogon_monspeliensis",-69.83333,-30.83333
"101","Polypogon_monspeliensis",-70.828611,-37.952778
"102","Polypogon_monspeliensis",-69.545555,-35.471944
"103","Polypogon_monspeliensis",-124.18422,40.79388
"104","Polypogon_monspeliensis",-122.6274,39.9374
