"","species","lon","lat"
"1","Potamogeton_compressus",25.505372,65.069476
"2","Potamogeton_compressus",24.611294,65.849402
"3","Potamogeton_compressus",25.502433,65.046122
"4","Potamogeton_compressus",24.608538,64.792638
"5","Potamogeton_compressus",5.916271,53.021261
"6","Potamogeton_compressus",5.116383,52.171983
"7","Potamogeton_compressus",6.019017,52.912918
"8","Potamogeton_compressus",6.093344,52.9125
"9","Potamogeton_compressus",6.088279,52.59798
"10","Potamogeton_compressus",6.411649,53.170804
"11","Potamogeton_compressus",6.89935,53.00384
"12","Potamogeton_compressus",12.496944,58.078889
"13","Potamogeton_compressus",17.53593,59.70669
"14","Potamogeton_compressus",-3.11,52.77
"15","Potamogeton_compressus",18.17,59.8
"16","Potamogeton_compressus",6.098504,53.227004
"17","Potamogeton_compressus",6.033749,52.903852
"18","Potamogeton_compressus",6.340722,52.668117
"19","Potamogeton_compressus",4.886943,51.808058
"20","Potamogeton_compressus",14.17062,55.99427
"21","Potamogeton_compressus",36.395753,51.150074
"22","Potamogeton_compressus",35.204422,57.779223
"23","Potamogeton_compressus",39.241667,56.358333
"24","Potamogeton_compressus",26.554483,52.8875
"25","Potamogeton_compressus",114.6812,50.8588
"26","Potamogeton_compressus",38.1176,55.773839
"27","Potamogeton_compressus",35.003645,54.265111
"28","Potamogeton_compressus",31.906569,55.665883
"29","Potamogeton_compressus",36.918877,55.097524
"30","Potamogeton_compressus",34.825645,53.660905
"31","Potamogeton_compressus",45.070499,51.334458
"32","Potamogeton_compressus",96.8,52.633333
"33","Potamogeton_compressus",37.91833,56.867533
"34","Potamogeton_compressus",15.5382,67.3429
"35","Potamogeton_compressus",8.215598,56.268972
"36","Potamogeton_compressus",8.259308,55.676218
"37","Potamogeton_compressus",8.199641,56.259885
"38","Potamogeton_compressus",8.875118,57.026047
"39","Potamogeton_compressus",28.006487,66.679916
"40","Potamogeton_compressus",24.825629,67.820895
"41","Potamogeton_compressus",25.41851,67.723664
"42","Potamogeton_compressus",24.610314,65.849343
"43","Potamogeton_compressus",27.447857,67.19631
"44","Potamogeton_compressus",23.803587,61.487507
"45","Potamogeton_compressus",24.552371,64.680886
"46","Potamogeton_compressus",28.9135,66.876928
"47","Potamogeton_compressus",27.347651,66.978664
"48","Potamogeton_compressus",25.340912,65.354827
"49","Potamogeton_compressus",24.474849,64.658042
"50","Potamogeton_compressus",24.536953,64.642934
"51","Potamogeton_compressus",24.788452,67.837441
"52","Potamogeton_compressus",24.612002,65.854753
"53","Potamogeton_compressus",24.605344,64.793036
"54","Potamogeton_compressus",24.546498,64.6763
"55","Potamogeton_compressus",25.158248,66.333268
