"","species","lon","lat"
"1","Prunella_laciniata",9.638981,44.133635
"2","Prunella_laciniata",9.719699,44.125422
"3","Prunella_laciniata",9.777477,44.087924
"4","Prunella_laciniata",9.783761,44.080426
"5","Prunella_laciniata",7.60623,43.926895
"6","Prunella_laciniata",9.1747,44.576927
"7","Prunella_laciniata",9.078741,44.577192
"8","Prunella_laciniata",9.140882,44.557186
"9","Prunella_laciniata",9.720503,44.14351
"10","Prunella_laciniata",21.30333,39.905
"11","Prunella_laciniata",20.60972,39.84083
"12","Prunella_laciniata",20.90611,40.03583
"13","Prunella_laciniata",21.65361,39.40972
"14","Prunella_laciniata",21.33111,39.81083
"15","Prunella_laciniata",21.41222,40.34139
"16","Prunella_laciniata",21.48639,40.36917
"17","Prunella_laciniata",21.50694,39.82278
"18","Prunella_laciniata",21.49611,39.84806
"19","Prunella_laciniata",21.49889,40.59361
"20","Prunella_laciniata",21.64639,39.71889
"21","Prunella_laciniata",21.56694,39.89222
"22","Prunella_laciniata",21.57639,39.93056
"23","Prunella_laciniata",21.57194,39.8575
"24","Prunella_laciniata",21.11333,39.76694
"25","Prunella_laciniata",21.04278,39.72583
"26","Prunella_laciniata",21.46611,39.6675
"27","Prunella_laciniata",21.74694,39.72639
"28","Prunella_laciniata",21.98861,38.02861
"29","Prunella_laciniata",21.91194,38.00556
"30","Prunella_laciniata",21.99111,38.03667
"31","Prunella_laciniata",21.93472,38.07361
"32","Prunella_laciniata",21.95972,38.23528
"33","Prunella_laciniata",22.17806,38.11194
"34","Prunella_laciniata",22.07306,38.16278
"35","Prunella_laciniata",22.20639,37.64028
"36","Prunella_laciniata",22.22611,37.60139
"37","Prunella_laciniata",22.14611,37.54667
"38","Prunella_laciniata",22.13361,37.81806
"39","Prunella_laciniata",21.83917,37.71667
"40","Prunella_laciniata",22.04306,37.84306
"41","Prunella_laciniata",22.04972,37.91611
"42","Prunella_laciniata",22.03278,38.04722
"43","Prunella_laciniata",22.14389,37.86694
"44","Prunella_laciniata",22.16028,37.595
"45","Prunella_laciniata",22.12278,37.53917
"46","Prunella_laciniata",22.07806,37.65472
"47","Prunella_laciniata",22.06139,37.565
"48","Prunella_laciniata",21.86778,38.66333
"49","Prunella_laciniata",21.85639,38.65889
"50","Prunella_laciniata",21.80472,38.57472
"51","Prunella_laciniata",21.8625,38.68361
"52","Prunella_laciniata",21.56444,38.97667
"53","Prunella_laciniata",21.53611,38.96917
"54","Prunella_laciniata",21.75861,38.87694
"55","Prunella_laciniata",21.86139,38.68611
"56","Prunella_laciniata",21.60611,39.09639
"57","Prunella_laciniata",21.59833,39.07472
"58","Prunella_laciniata",21.60889,38.89083
"59","Prunella_laciniata",21.57278,38.87333
"60","Prunella_laciniata",21.33333,38.81861
"61","Prunella_laciniata",21.61861,38.65222
"62","Prunella_laciniata",21.69583,38.485
"63","Prunella_laciniata",21.67111,38.56694
"64","Prunella_laciniata",21.73028,38.58028
"65","Prunella_laciniata",21.69056,38.51056
"66","Prunella_laciniata",21.74861,38.50083
"67","Prunella_laciniata",21.51528,38.42972
"68","Prunella_laciniata",21.88472,38.59833
"69","Prunella_laciniata",21.92889,38.53889
"70","Prunella_laciniata",-3.0512424,42.8788775
"71","Prunella_laciniata",-3.2512428,42.6988713
"72","Prunella_laciniata",-3.0412314,42.3288652
"73","Prunella_laciniata",-3.00123,42.298865
"74","Prunella_laciniata",-3.1212475,43.0588809
"75","Prunella_laciniata",-2.7912389,42.9588822
"76","Prunella_laciniata",-2.4412348,43.1088894
"77","Prunella_laciniata",-3.101253,43.3488878
"78","Prunella_laciniata",-2.9912424,42.9388795
"79","Prunella_laciniata",-3.1012412,42.7688745
"80","Prunella_laciniata",-2.1512302,43.1688939
"81","Prunella_laciniata",-3.2312422,42.6888712
"82","Prunella_laciniata",-3.0412424,42.8888779
"83","Prunella_laciniata",-2.6312357,42.9588839
"84","Prunella_laciniata",2.05,42.14
"85","Prunella_laciniata",-3.0312447,43.0088807
"86","Prunella_laciniata",-3.3812466,42.7588712
"87","Prunella_laciniata",-2.9812423,42.9388797
"88","Prunella_laciniata",-2.4512354,43.1288898
"89","Prunella_laciniata",-2.2912256,42.7988839
"90","Prunella_laciniata",45.8033,41.6544
"91","Prunella_laciniata",20.77872,39.89703
"92","Prunella_laciniata",9.63556,44.13778
"93","Prunella_laciniata",14.58667,45.23361
"94","Prunella_laciniata",17.56917,46.99444
"95","Prunella_laciniata",14.01289,45.45514
"96","Prunella_laciniata",13.98115,45.60163
"97","Prunella_laciniata",2.05,42.14
"98","Prunella_laciniata",9.87,50.1
"99","Prunella_laciniata",-4.2301,40.5794
"100","Prunella_laciniata",-4.886,42.8492
"101","Prunella_laciniata",-6.6791,42.1117
"102","Prunella_laciniata",32.683333,41.266667
"103","Prunella_laciniata",9.4089,40.0136
"104","Prunella_laciniata",-5.1378,40.1428
"105","Prunella_laciniata",-3.4658,41.1044
"106","Prunella_laciniata",-6.0245,41.8432
"107","Prunella_laciniata",-3.7599,40.8978
"108","Prunella_laciniata",-2.3997,40.8117
"109","Prunella_laciniata",0.57,40.67
"110","Prunella_laciniata",0.32,40.92
"111","Prunella_laciniata",0.33,40.94
"112","Prunella_laciniata",1.95,42.36
"113","Prunella_laciniata",1.95,42.37
"114","Prunella_laciniata",1.26,41.57
"115","Prunella_laciniata",2.22,41.95
"116","Prunella_laciniata",0.24,40.78
"117","Prunella_laciniata",14.082532,37.916619
"118","Prunella_laciniata",12.776201,38.069113
"119","Prunella_laciniata",13.999917,37.866641
"120","Prunella_laciniata",13.548628,37.979723
"121","Prunella_laciniata",14.01797,37.98654
"122","Prunella_laciniata",14.249908,37.750036
"123","Prunella_laciniata",14.616667,46.2
"124","Prunella_laciniata",10.47,50.1
"125","Prunella_laciniata",-6.695,37.957
"126","Prunella_laciniata",173.210492,-41.742292
"127","Prunella_laciniata",172.993706,-34.459624
"128","Prunella_laciniata",175.289441,-37.79949
"129","Prunella_laciniata",3.85713,45.03344
"130","Prunella_laciniata",6.55679,46.65531
"131","Prunella_laciniata",37.48353,44.71932
"132","Prunella_laciniata",14.466666,48.15
"133","Prunella_laciniata",4.90051,46.5671
"134","Prunella_laciniata",-0.54,40
"135","Prunella_laciniata",0.1,40.66
"136","Prunella_laciniata",-2.36,39.97
"137","Prunella_laciniata",-2.29,41.93
"138","Prunella_laciniata",-2.07,40.38
"139","Prunella_laciniata",-0.42,40.5
"140","Prunella_laciniata",2.05,42.14
"141","Prunella_laciniata",-0.35,40.4
"142","Prunella_laciniata",-0.88,42.3
