"","species","lon","lat"
"1","Pseudopolydora_paucibranchiata",-122.3869,37.87937
"2","Pseudopolydora_paucibranchiata",-122.3645,37.91372
"3","Pseudopolydora_paucibranchiata",-122.3563,37.65642
"4","Pseudopolydora_paucibranchiata",-122.3416,37.81328
"5","Pseudopolydora_paucibranchiata",-122.4229,37.95235
"6","Pseudopolydora_paucibranchiata",-122.2439,37.7793
"7","Pseudopolydora_paucibranchiata",-122.3354,37.89798
"8","Pseudopolydora_paucibranchiata",-122.3685,37.71572
"9","Pseudopolydora_paucibranchiata",-122.2995,37.77715
"10","Pseudopolydora_paucibranchiata",-122.173,37.59415
"11","Pseudopolydora_paucibranchiata",-122.2574,37.67127
"12","Pseudopolydora_paucibranchiata",-122.1939,37.65778
"13","Pseudopolydora_paucibranchiata",-122.4781,37.87634
"14","Pseudopolydora_paucibranchiata",-122.3382,37.8544
"15","Pseudopolydora_paucibranchiata",-122.3176,37.86777
"16","Pseudopolydora_paucibranchiata",-122.332,37.61958
"17","Pseudopolydora_paucibranchiata",-122.2903,37.73627
"18","Pseudopolydora_paucibranchiata",-122.3772,37.70227
"19","Pseudopolydora_paucibranchiata",-122.3094,37.68848
"20","Pseudopolydora_paucibranchiata",144.97,-37
"21","Pseudopolydora_paucibranchiata",-122.30844,37.67796
"22","Pseudopolydora_paucibranchiata",138.514256,-34.76683
"23","Pseudopolydora_paucibranchiata",138.499915,-34.761686
"24","Pseudopolydora_paucibranchiata",138.496696,-34.764442
"25","Pseudopolydora_paucibranchiata",138.4819,-34.7767
"26","Pseudopolydora_paucibranchiata",138.504536,-34.763846
"27","Pseudopolydora_paucibranchiata",151.23666,-33.64333
"28","Pseudopolydora_paucibranchiata",153.19239,-29.62189
"29","Pseudopolydora_paucibranchiata",151.16166,-34.02166
"30","Pseudopolydora_paucibranchiata",151.311,-33.59683
"31","Pseudopolydora_paucibranchiata",151.23916,-33.865
"32","Pseudopolydora_paucibranchiata",11.54667,58.32
"33","Pseudopolydora_paucibranchiata",11.89052,57.38032
"34","Pseudopolydora_paucibranchiata",12.66122,56.48372
"35","Pseudopolydora_paucibranchiata",11.79357,57.52732
"36","Pseudopolydora_paucibranchiata",11.80417,57.505
"37","Pseudopolydora_paucibranchiata",11.80657,58.2844
"38","Pseudopolydora_paucibranchiata",11.715,57.95967
"39","Pseudopolydora_paucibranchiata",11.40167,58.34667
"40","Pseudopolydora_paucibranchiata",11.18033,58.70083
"41","Pseudopolydora_paucibranchiata",11.4775,58.2635
"42","Pseudopolydora_paucibranchiata",12.73108,56.5388
"43","Pseudopolydora_paucibranchiata",12.72,56.565
"44","Pseudopolydora_paucibranchiata",11.80597,58.09228
"45","Pseudopolydora_paucibranchiata",11.80502,58.09867
"46","Pseudopolydora_paucibranchiata",11.57403,58.34883
"47","Pseudopolydora_paucibranchiata",11.545,58.32167
"48","Pseudopolydora_paucibranchiata",11.80723,58.29985
"49","Pseudopolydora_paucibranchiata",11.80598,58.09513
"50","Pseudopolydora_paucibranchiata",11.77188,58.03627
"51","Pseudopolydora_paucibranchiata",11.77182,58.03962
"52","Pseudopolydora_paucibranchiata",11.15867,58.79833
"53","Pseudopolydora_paucibranchiata",11.16607,58.92885
"54","Pseudopolydora_paucibranchiata",11.54667,58.32067
"55","Pseudopolydora_paucibranchiata",11.13933,58.92916
"56","Pseudopolydora_paucibranchiata",11.56467,58.33397
"57","Pseudopolydora_paucibranchiata",11.44595,58.1036
"58","Pseudopolydora_paucibranchiata",11.42633,58.245
"59","Pseudopolydora_paucibranchiata",11.76733,58.31217
"60","Pseudopolydora_paucibranchiata",11.19918,58.5512
"61","Pseudopolydora_paucibranchiata",11.82505,58.27165
"62","Pseudopolydora_paucibranchiata",11.78058,58.29912
"63","Pseudopolydora_paucibranchiata",12.61738,56.53065
"64","Pseudopolydora_paucibranchiata",12.88083,55.70167
"65","Pseudopolydora_paucibranchiata",151.31216,-33.59783
"66","Pseudopolydora_paucibranchiata",151.07882,-33.83383
"67","Pseudopolydora_paucibranchiata",10.611,59.654
"68","Pseudopolydora_paucibranchiata",130.83191,-12.41271
"69","Pseudopolydora_paucibranchiata",138.4811,-34.7786
"70","Pseudopolydora_paucibranchiata",138.510322,-34.792409
"71","Pseudopolydora_paucibranchiata",138.48718,-34.776388
"72","Pseudopolydora_paucibranchiata",138.485939,-34.788525
"73","Pseudopolydora_paucibranchiata",138.492408,-34.76429
"74","Pseudopolydora_paucibranchiata",138.429547,-34.791943
"75","Pseudopolydora_paucibranchiata",138.49113,-34.767185
"76","Pseudopolydora_paucibranchiata",151.18599,-33.96882
"77","Pseudopolydora_paucibranchiata",151.31133,-33.59866
