"","species","lon","lat"
"1","Scrophularia_auriculata",7.606729,43.788822
"2","Scrophularia_auriculata",-3.3612462,42.7588714
"3","Scrophularia_auriculata",-2.4412346,43.0988892
"4","Scrophularia_auriculata",-2.4412354,43.1388901
"5","Scrophularia_auriculata",-2.7412435,43.2388892
"6","Scrophularia_auriculata",-2.8012441,43.2088878
"7","Scrophularia_auriculata",-1.3812018,42.5188872
"8","Scrophularia_auriculata",-2.0212206,42.8188872
"9","Scrophularia_auriculata",-2.4412352,43.1288899
"10","Scrophularia_auriculata",-2.4012338,43.0988896
"11","Scrophularia_auriculata",0.685,43.298333
"12","Scrophularia_auriculata",4.226233,51.489917
"13","Scrophularia_auriculata",6.055487,52.382468
"14","Scrophularia_auriculata",-72.343083,-35.443861
"15","Scrophularia_auriculata",-4.63,43.240002
"16","Scrophularia_auriculata",-4.81,43.150002
"17","Scrophularia_auriculata",-5.1,50.299999
"18","Scrophularia_auriculata",6.43,50.860001
"19","Scrophularia_auriculata",-89.32,42.89
"20","Scrophularia_auriculata",-7.1725,42.6159
"21","Scrophularia_auriculata",-4.0996,41.2653
"22","Scrophularia_auriculata",1.4589,42.4831
"23","Scrophularia_auriculata",-6.0264,41.8445
"24","Scrophularia_auriculata",-5.7654,38.8142
"25","Scrophularia_auriculata",-0.1979,39.8043
"26","Scrophularia_auriculata",-5.6829,42.5991
"27","Scrophularia_auriculata",-3.533,42.0439
"28","Scrophularia_auriculata",-4.0878,41.2744
"29","Scrophularia_auriculata",2.99,42.35
"30","Scrophularia_auriculata",1.85,42.38
"31","Scrophularia_auriculata",-4.91,42.93
"32","Scrophularia_auriculata",1.33,42.21
"33","Scrophularia_auriculata",-6.06,42.78
"34","Scrophularia_auriculata",1.74,42.36
"35","Scrophularia_auriculata",-0.3,39.04
"36","Scrophularia_auriculata",1.7,41.59
"37","Scrophularia_auriculata",-2.73,42.64
"38","Scrophularia_auriculata",1.74,41.59
"39","Scrophularia_auriculata",1.33,42.19
"40","Scrophularia_auriculata",0.34,40.58
"41","Scrophularia_auriculata",0.45,40.94
"42","Scrophularia_auriculata",1.3,42.06
"43","Scrophularia_auriculata",13.548628,37.979723
"44","Scrophularia_auriculata",14.082532,37.916619
"45","Scrophularia_auriculata",13.211331,38.023087
"46","Scrophularia_auriculata",12.79805,37.84324
"47","Scrophularia_auriculata",15,37.13
"48","Scrophularia_auriculata",5.986695,51.636814
"49","Scrophularia_auriculata",5.234885,51.827002
"50","Scrophularia_auriculata",5.103424,51.970571
"51","Scrophularia_auriculata",6.57,50.689999
"52","Scrophularia_auriculata",173.172494,-41.353154
"53","Scrophularia_auriculata",175.128111,-39.70346
"54","Scrophularia_auriculata",173.168958,-41.341459
"55","Scrophularia_auriculata",168.85088,-46.173379
"56","Scrophularia_auriculata",174.908284,-38.971194
"57","Scrophularia_auriculata",168.36044,-46.356001
"58","Scrophularia_auriculata",145.1431,-37.7389
"59","Scrophularia_auriculata",145.143694,-37.738639
"60","Scrophularia_auriculata",-0.48,39.95
"61","Scrophularia_auriculata",-2.13,40.38
"62","Scrophularia_auriculata",-0.94,39.7
"63","Scrophularia_auriculata",-1.51,40.34
"64","Scrophularia_auriculata",-0.96,39.78
"65","Scrophularia_auriculata",-0.21,38.92
"66","Scrophularia_auriculata",0.07,38.77
"67","Scrophularia_auriculata",-0.28,39.13
"68","Scrophularia_auriculata",-1.04,39.76
"69","Scrophularia_auriculata",-1.64,40.47
"70","Scrophularia_auriculata",-0.38,39.68
"71","Scrophularia_auriculata",-7.11,42.66
"72","Scrophularia_auriculata",-0.79,39.86
"73","Scrophularia_auriculata",-0.65,39.55
"74","Scrophularia_auriculata",-0.28,39.22
"75","Scrophularia_auriculata",-2.88,41.73
"76","Scrophularia_auriculata",-0.9,39.61
"77","Scrophularia_auriculata",-2.71,39.61
"78","Scrophularia_auriculata",-0.33,38.84
"79","Scrophularia_auriculata",-1.86,41.68
"80","Scrophularia_auriculata",-2.34,41.14
"81","Scrophularia_auriculata",-2.24,39.88
"82","Scrophularia_auriculata",-6.93,41.02
"83","Scrophularia_auriculata",-0.59,40.31
"84","Scrophularia_auriculata",-2.46,42.05
"85","Scrophularia_auriculata",-0.62,39.01
"86","Scrophularia_auriculata",-0.62,39.33
"87","Scrophularia_auriculata",-1.92,40.43
"88","Scrophularia_auriculata",-0.51,40.63
"89","Scrophularia_auriculata",-0.38,39.5
"90","Scrophularia_auriculata",-2.91,41.34
"91","Scrophularia_auriculata",-0.37,39.86
"92","Scrophularia_auriculata",-3.06,41.42
"93","Scrophularia_auriculata",-0.99,39.75
"94","Scrophularia_auriculata",-1.8,41.49
"95","Scrophularia_auriculata",-0.37,39.95
"96","Scrophularia_auriculata",-1.5,41.5
"97","Scrophularia_auriculata",-0.41,39.33
