"","species","lon","lat"
"1","Scrophularia_canina",8.232066,44.096357
"2","Scrophularia_canina",9.762375,44.087855
"3","Scrophularia_canina",9.751748,44.093984
"4","Scrophularia_canina",9.73815,44.099732
"5","Scrophularia_canina",9.704869,44.13016
"6","Scrophularia_canina",9.738904,44.092897
"7","Scrophularia_canina",9.642951,44.148144
"8","Scrophularia_canina",9.656541,44.172807
"9","Scrophularia_canina",9.775407,44.076684
"10","Scrophularia_canina",9.76876,44.107295
"11","Scrophularia_canina",9.783761,44.080426
"12","Scrophularia_canina",9.808796,44.278526
"13","Scrophularia_canina",9.816775,44.277362
"14","Scrophularia_canina",9.770934,44.083287
"15","Scrophularia_canina",9.656137,44.146296
"16","Scrophularia_canina",9.728898,44.107159
"17","Scrophularia_canina",9.748497,44.110643
"18","Scrophularia_canina",9.185389,44.587346
"19","Scrophularia_canina",9.150026,44.549143
"20","Scrophularia_canina",9.075182,44.581167
"21","Scrophularia_canina",9.098356,44.603699
"22","Scrophularia_canina",9.14934,44.567337
"23","Scrophularia_canina",9.690672,44.138988
"24","Scrophularia_canina",9.087625,44.466526
"25","Scrophularia_canina",9.794284,44.064094
"26","Scrophularia_canina",9.787281,44.073695
"27","Scrophularia_canina",23.3875,38.23333
"28","Scrophularia_canina",21.25167,39.35083
"29","Scrophularia_canina",21.18083,39.3575
"30","Scrophularia_canina",21.65722,39.44444
"31","Scrophularia_canina",21.30028,39.88667
"32","Scrophularia_canina",21.01778,39.71167
"33","Scrophularia_canina",21.24611,39.93861
"34","Scrophularia_canina",21.28278,39.89722
"35","Scrophularia_canina",21.24,39.94667
"36","Scrophularia_canina",21.24861,39.86889
"37","Scrophularia_canina",21.29722,39.89972
"38","Scrophularia_canina",21.22472,39.95444
"39","Scrophularia_canina",21.59611,40.18056
"40","Scrophularia_canina",21.46611,39.6675
"41","Scrophularia_canina",21.64444,39.78583
"42","Scrophularia_canina",21.58389,40.46694
"43","Scrophularia_canina",21.77333,40.50028
"44","Scrophularia_canina",21.49889,40.59361
"45","Scrophularia_canina",21.69167,40.63806
"46","Scrophularia_canina",21.325,40.2675
"47","Scrophularia_canina",21.64139,40.13194
"48","Scrophularia_canina",21.49667,40.42361
"49","Scrophularia_canina",21.54833,40.29361
"50","Scrophularia_canina",21.54222,40.28417
"51","Scrophularia_canina",21.34056,40.28611
"52","Scrophularia_canina",21.50194,40.29194
"53","Scrophularia_canina",21.60972,40.2525
"54","Scrophularia_canina",21.65889,40.29028
"55","Scrophularia_canina",21.59361,40.22972
"56","Scrophularia_canina",21.575,40.06806
"57","Scrophularia_canina",21.40111,40.12167
"58","Scrophularia_canina",21.26111,40.15278
"59","Scrophularia_canina",21.47278,40.18333
"60","Scrophularia_canina",21.38917,40.09944
"61","Scrophularia_canina",21.47472,40.07167
"62","Scrophularia_canina",21.46083,40.11417
"63","Scrophularia_canina",21.32194,40.075
"64","Scrophularia_canina",21.40944,40.07361
"65","Scrophularia_canina",21.30222,39.87639
"66","Scrophularia_canina",24.02417,41.36278
"67","Scrophularia_canina",24.00917,41.30639
"68","Scrophularia_canina",23.99306,41.30944
"69","Scrophularia_canina",24.90833,41.28972
"70","Scrophularia_canina",24.62361,41.03833
"71","Scrophularia_canina",24.63611,41.02694
"72","Scrophularia_canina",24.64556,41.12528
"73","Scrophularia_canina",21.6225,38.67083
"74","Scrophularia_canina",21.61139,38.71306
"75","Scrophularia_canina",21.66139,38.57889
"76","Scrophularia_canina",21.55806,38.63889
"77","Scrophularia_canina",21.51889,38.73944
"78","Scrophularia_canina",21.64,38.75139
"79","Scrophularia_canina",21.49278,38.80139
"80","Scrophularia_canina",21.63972,39.00528
"81","Scrophularia_canina",21.85222,38.76556
"82","Scrophularia_canina",21.86528,38.69833
"83","Scrophularia_canina",21.86139,38.68611
"84","Scrophularia_canina",21.85583,38.76833
"85","Scrophularia_canina",21.84167,38.755
"86","Scrophularia_canina",21.91167,38.59556
"87","Scrophularia_canina",21.88472,38.60444
"88","Scrophularia_canina",21.92028,38.64861
"89","Scrophularia_canina",21.67694,38.46889
"90","Scrophularia_canina",21.69306,38.59944
"91","Scrophularia_canina",21.97722,38.57222
"92","Scrophularia_canina",21.94861,38.52861
"93","Scrophularia_canina",21.69611,38.505
"94","Scrophularia_canina",21.69306,38.56222
"95","Scrophularia_canina",21.745,38.58361
"96","Scrophularia_canina",21.69583,38.485
"97","Scrophularia_canina",21.63083,38.61417
"98","Scrophularia_canina",21.54194,38.38444
"99","Scrophularia_canina",21.93778,38.59889
"100","Scrophularia_canina",21.95417,38.43833
"101","Scrophularia_canina",22,38.48611
"102","Scrophularia_canina",21.94667,38.62389
"103","Scrophularia_canina",21.87778,38.49361
"104","Scrophularia_canina",21.66278,38.35806
"105","Scrophularia_canina",21.73111,38.42972
"106","Scrophularia_canina",21.87806,38.42028
"107","Scrophularia_canina",21.84361,38.38861
"108","Scrophularia_canina",21.60861,39.38111
"109","Scrophularia_canina",21.26972,39.33778
"110","Scrophularia_canina",21.57528,39.35778
"111","Scrophularia_canina",21.89194,38.75361
"112","Scrophularia_canina",21.81722,38.55139
"113","Scrophularia_canina",21.1425,39.18222
"114","Scrophularia_canina",21.09528,39.12333
"115","Scrophularia_canina",21.24944,39.10472
"116","Scrophularia_canina",20.67472,39.12444
"117","Scrophularia_canina",20.35778,39.31028
"118","Scrophularia_canina",21.13167,39.10667
"119","Scrophularia_canina",20.76472,39.34861
"120","Scrophularia_canina",20.7675,39.30333
"121","Scrophularia_canina",20.69917,39.26778
"122","Scrophularia_canina",22.8375,38.40333
"123","Scrophularia_canina",22.84111,38.37806
"124","Scrophularia_canina",22.7425,38.5175
"125","Scrophularia_canina",22.64556,38.47528
"126","Scrophularia_canina",22.66056,38.42472
"127","Scrophularia_canina",23.06111,38.55667
"128","Scrophularia_canina",23.03944,38.60139
"129","Scrophularia_canina",22.9075,38.3425
"130","Scrophularia_canina",23.29917,38.15472
"131","Scrophularia_canina",22.16778,37.65167
"132","Scrophularia_canina",22.04444,37.61944
"133","Scrophularia_canina",22.04972,37.91611
"134","Scrophularia_canina",22.14139,37.97611
"135","Scrophularia_canina",22.38694,37.86694
"136","Scrophularia_canina",22.20083,37.66583
"137","Scrophularia_canina",22.13056,37.89167
"138","Scrophularia_canina",22.14389,37.86694
"139","Scrophularia_canina",22.07861,38.15833
"140","Scrophularia_canina",22.03194,38.09083
"141","Scrophularia_canina",22.38139,38.05778
"142","Scrophularia_canina",21.97222,38.2275
"143","Scrophularia_canina",21.85944,38.06222
"144","Scrophularia_canina",21.91194,38.00556
"145","Scrophularia_canina",21.8925,38.035
"146","Scrophularia_canina",21.90444,38.02472
"147","Scrophularia_canina",22.39861,38.12
"148","Scrophularia_canina",22.04722,37.95056
"149","Scrophularia_canina",21.915,38.56694
"150","Scrophularia_canina",20.67917,39.14667
"151","Scrophularia_canina",-0.7611185,38.5088104
"152","Scrophularia_canina",-1.5112015,42.3688824
"153","Scrophularia_canina",-3.7311553,37.2687581
"154","Scrophularia_canina",-1.2912019,42.6188904
"155","Scrophularia_canina",-1.9711788,40.6488403
"156","Scrophularia_canina",-1.7512035,42.2188765
"157","Scrophularia_canina",-2.0712198,42.7288846
"158","Scrophularia_canina",13.51,41.28
"159","Scrophularia_canina",-2.71,36.92
"160","Scrophularia_canina",-1.3112033,42.6688913
"161","Scrophularia_canina",1.94,41.47
"162","Scrophularia_canina",-3.2712432,42.698871
"163","Scrophularia_canina",7.01639,44.67333
"164","Scrophularia_canina",8.66089,42.42169
"165","Scrophularia_canina",14.30106,46.53606
"166","Scrophularia_canina",14.76833,46.51083
"167","Scrophularia_canina",13.74097,45.12469
"168","Scrophularia_canina",9.29434,42.5355
"169","Scrophularia_canina",-5.413015,42.976807
"170","Scrophularia_canina",-5.76,34.13
"171","Scrophularia_canina",-0.77,38.51
"172","Scrophularia_canina",-4.74,43.110001
"173","Scrophularia_canina",-4.59,43.209999
"174","Scrophularia_canina",8.474001,47.395214
"175","Scrophularia_canina",-7.59,30.7869
